Class ID,Class Name,Section,Room,Instruction Type,Time
16613,ANTH 100 - Non-Western Cultures and the Western Tradition,"01-LEC
Regular",MH 420 - Anthropology Lab,In Person,MoWe 1:00-2:15PM
16266,ANTH 100 - Non-Western Cultures and the Western Tradition,"02-LEC
Regular",MH 420 - Anthropology Lab,In Person,TuTh 1:00-2:15PM
15410,ANTH 100 - Non-Western Cultures and the Western Tradition,"50-LEC
Regular",Online,Fully Online,TBA
15409,ANTH 100 - Non-Western Cultures and the Western Tradition,"51-LEC
Regular",Online,Fully Online,TBA
20782,ANTH 100 - Non-Western Cultures and the Western Tradition,"52-LEC
Regular",Online,Fully Online,TBA
20784,ANTH 100 - Non-Western Cultures and the Western Tradition,"53-LEC
Regular",Online,Fully Online,TBA
20803,ANTH 100 - Non-Western Cultures and the Western Tradition,"54-LEC
Regular",Online,Fully Online,TBA
15483,ANTH 101 - Introduction to Biological Anthropology,"01-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,MoWe 1:00-2:15PM
19899,ANTH 101 - Introduction to Biological Anthropology,"02-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,MoWe 4:00-5:15PM
15554,ANTH 101 - Introduction to Biological Anthropology,"03-LEC
Regular",MH 121 - Lecture Room,In Person,TuTh 8:30-9:45AM
15580,ANTH 101 - Introduction to Biological Anthropology,"04-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,TuTh 1:00-2:15PM
15601,ANTH 101 - Introduction to Biological Anthropology,"05-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,TuTh 2:30-3:45PM
16284,ANTH 101 - Introduction to Biological Anthropology,"07-LEC
Regular",MH 554 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
16285,ANTH 101 - Introduction to Biological Anthropology,"08-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,MoWe 2:30-3:45PM
15288,ANTH 101 - Introduction to Biological Anthropology,"50-LEC
Regular",Online,Fully Online,TBA
15385,ANTH 101 - Introduction to Biological Anthropology,"51-LEC
Regular",Online,Fully Online,TBA
15386,ANTH 101 - Introduction to Biological Anthropology,"52-LEC
Regular",Online,Fully Online,TBA
15387,ANTH 101 - Introduction to Biological Anthropology,"53-LEC
Regular",Online,Fully Online,TBA
16346,ANTH 101 - Introduction to Biological Anthropology,"54-LEC
Regular",Online,Fully Online,TBA
16647,ANTH 101 - Introduction to Biological Anthropology,"57-LEC
Regular",Online,Fully Online,TBA
14912,ANTH 102 - Introduction to Cultural Anthropology,"01-LEC
Regular",MH 554 - Lecture Room,In Person,MoWe 10:00-11:15AM
16601,ANTH 102 - Introduction to Cultural Anthropology,"02-LEC
Regular",MH 408 - Lecture Room,In Person,TuTh 10:00-11:15AM
16300,ANTH 102 - Introduction to Cultural Anthropology,"50-LEC
Regular",Online,Fully Online,TBA
16614,ANTH 103 - Introduction to Archaeology,"01-LEC
Regular",MH 420 - Anthropology Lab,In Person,MoWe 10:00-11:15AM
15633,ANTH 103 - Introduction to Archaeology,"50-LEC
Regular",Online,Fully Online,TBA
15734,ANTH 105 - Introduction to Anthropology,"50-LEC
Regular",Online,Fully Online,TBA
21257,ANTH 215 - Urban Agroecology,"01-LEC
Regular",Arboretum OH-1,In Person,MoWe 10:00-11:15AM
16255,ANTH 300 - Language and Culture,"01-LEC
Regular",MH 554 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
14913,ANTH 300 - Language and Culture,"50-LEC
Regular",Online,Fully Online,TBA
15555,ANTH 301 - Primate Behavior,"01-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,MoWe 8:30-9:45AM
15924,ANTH 301 - Primate Behavior,"02-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,TuTh 4:00-5:15PM
15361,ANTH 301 - Primate Behavior,"50-LEC
Regular",Online,Fully Online,TBA
15388,ANTH 301 - Primate Behavior,"51-LEC
Regular",Online,Fully Online,TBA
16611,ANTH 304 - Traditional Cultures of the World,"01-LEC
Regular",MH 408 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
15993,ANTH 304 - Traditional Cultures of the World,"02-LEC
Regular",MH 554 - Lecture Room,In Person,MoWe 4:00-5:15PM
16612,ANTH 304 - Traditional Cultures of the World,"03-LEC
Regular",MH 408 - Lecture Room,In Person,Fr 1:00-3:45PM
14914,ANTH 304 - Traditional Cultures of the World,"50-LEC
Regular",Online,Fully Online,TBA
14915,ANTH 304 - Traditional Cultures of the World,"51-LEC
Regular",Online,Fully Online,TBA
16608,ANTH 304 - Traditional Cultures of the World,"52-LEC
Regular",Online,Fully Online,TBA
16609,ANTH 304 - Traditional Cultures of the World,"53-LEC
Regular",Online,Fully Online,TBA
19547,ANTH 305 - Anthropology of Religion,"01-LEC
Regular",MH 408 - Lecture Room,In Person,TuTh 2:30-3:45PM
14916,ANTH 305 - Anthropology of Religion,"50-LEC
Regular",Online,Fully Online,TBA
16602,ANTH 305 - Anthropology of Religion,"51-LEC
Regular",Online,Fully Online,TBA
16603,ANTH 305 - Anthropology of Religion,"52-LEC
Regular",Online,Fully Online,TBA
16808,ANTH 305 - Anthropology of Religion,"53-LEC
Regular",Online,Fully Online,TBA
15812,ANTH 306 - Culture and Art,"01-DIS
Regular",MH 554 - Lecture Room,In Person,MoWe 1:00-2:15PM
19887,ANTH 306 - Culture and Art,"50-DIS
Regular",Online,Fully Online,TBA
