Class ID,Class Name,Section,Room,Instruction Type,Time
17246,ANTH 102 - Introduction to Cultural Anthropology,"01-LEC
Regular",MH 554 - Lecture Room,In Person,MoWe 1:00-2:15PM
21265,ANTH 150 - Anthropology Now,"01-SEM
Regular","MH 463 - Lecture Room
MH 463 - Lecture Room
MH 463 - Lecture Room
MH 463 - Lecture Room
MH 463 - Lecture Room",In Person,"Fr 10:00AM-1:00PM
Fr 10:00AM-1:00PM
Fr 10:00AM-1:00PM
Fr 10:00AM-1:00PM
Fr 10:00AM-1:00PM"
17840,ANTH 300 - Language and Culture,"01-LEC
Regular",MH 554 - Lecture Room,In Person,MoWe 2:30-3:45PM
16379,ANTH 301 - Primate Behavior,"01-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,MoWe 8:30-9:45AM
20457,ANTH 305 - Anthropology of Religion,"02-LEC
Regular",MH 554 - Lecture Room,In Person,MoWe 8:30-9:45AM
17481,ANTH 310 - Urban Anthropology,"01-DIS
Regular",MH 408 - Lecture Room,In Person,TuTh 1:00-2:15PM
17856,ANTH 316 - Anthropology of Sex and Gender,"01-LEC
Regular",MH 408 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
16470,ANTH 322 - Human Behavioral Ecology,"01-LEC
Regular",MH 408 - Lecture Room,In Person,TuTh 2:30-3:45PM
16696,ANTH 406 - Descriptive Linguistics,"01-DIS
Regular",GH 246 - Lecture Room,In Person,Tu 4:00-6:45PM
20460,ANTH 416 - Anthropological Linguistics,"01-DIS
Regular",MH 554 - Lecture Room,In Person,Th 4:00-6:45PM
16599,ANTH 443 - Advanced Topics in Human Osteology,"01-LAB
Regular",MH 428 - Biol Anthro Lab,In Person,Mo 10:00AM-12:45PM
16849,ANTH 444 - Forensic Anthropology,"01-LEC
Regular",MH 428 - Biol Anthro Lab,In Person,We 10:00AM-12:45PM
22032,ANTH 445 - Quantitative Methods in Anthropology,"02-LEC
Regular",MH-422 - ANTH Computer Lab,In Person,TuTh 1:00-2:15PM
21238,ANTH 454 - Primate Conservation,"01-DIS
Regular",MH 428 - Biol Anthro Lab,In Person,MoWe 1:00-2:15PM
20402,ANTH 461 - California Archaeology,"01-DIS
Regular",MH 420 - Anthropology Lab,In Person,TuTh 2:30-3:45PM
15759,ANTH 481 - Contemporary Anthropology,"01-SEM
Regular",MH 554 - Lecture Room,In Person,Tu 4:00-6:45PM
20463,ANTH 498 - Museum Practicum,"01-SUP
Regular",MH-422 - ANTH Computer Lab,In Person,Mo 4:00-6:45PM
16579,ANTH 510 - Research Design in Anthropology,"01-SEM
Regular",MH-422 - ANTH Computer Lab,In Person,Tu 4:00-6:45PM
16857,ANTH 513 - Theory and Method in Cultural/Linguistic Anthropology,"01-SEM
Regular",MH 457 - Lecture Room,In Person,We 7:00-9:45PM
