Class ID,Class Name,Section,Room,Instruction Type,Time
15484,ASAM 101 - Introduction to Ethnic Studies,"01-LEC
Regular",MH 465 - Lecture Room,In Person,MoWe 8:30-9:45AM
15733,ASAM 101 - Introduction to Ethnic Studies,"02-LEC
Regular",Hum 224 - Lecture Room,In Person,MoWe 8:30-9:45AM
15711,ASAM 101 - Introduction to Ethnic Studies,"03-LEC
Regular",Hum 224 - Lecture Room,In Person,TuTh 8:30-9:45AM
15888,ASAM 101 - Introduction to Ethnic Studies,"05-LEC
Regular",MH 465 - Lecture Room,In Person,MoWe 10:00-11:15AM
15889,ASAM 101 - Introduction to Ethnic Studies,"06-LEC
Regular",MH 663 - Lecture Room,In Person,MoWe 10:00-11:15AM
15974,ASAM 101 - Introduction to Ethnic Studies,"07-LEC
Regular",MH 502 - Lecture Room,In Person,TuTh 10:00-11:15AM
15975,ASAM 101 - Introduction to Ethnic Studies,"08-LEC
Regular",Hum 224 - Lecture Room,In Person,TuTh 10:00-11:15AM
15977,ASAM 101 - Introduction to Ethnic Studies,"09-LEC
Regular",Hum 224 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
19565,ASAM 101 - Introduction to Ethnic Studies,"10-LEC
Regular",MH 465 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
19586,ASAM 101 - Introduction to Ethnic Studies,"13-LEC
Regular",LH 321 - Lecture Room,In Person,MoWe 1:00-2:15PM
16206,ASAM 101 - Introduction to Ethnic Studies,"16-LEC
Regular",MH 465 - Lecture Room,In Person,MoWe 2:30-3:45PM
16207,ASAM 101 - Introduction to Ethnic Studies,"17-LEC
Regular",Hum 224 - Lecture Room,In Person,MoWe 2:30-3:45PM
15987,ASAM 101 - Introduction to Ethnic Studies,"18-LEC
Regular",MH 465 - Lecture Room,In Person,TuTh 2:30-3:45PM
16676,ASAM 101 - Introduction to Ethnic Studies,"19-LEC
Regular",Hum 224 - Lecture Room,In Person,TuTh 2:30-3:45PM
19606,ASAM 101 - Introduction to Ethnic Studies,"20-LEC
Regular",MH 663 - Lecture Room,In Person,TuTh 2:30-3:45PM
16677,ASAM 101 - Introduction to Ethnic Studies,"21-LEC
Regular",Hum 224 - Lecture Room,In Person,Mo 4:00-6:45PM
15988,ASAM 101 - Introduction to Ethnic Studies,"22-LEC
Regular",Hum 224 - Lecture Room,In Person,Tu 4:00-6:45PM
16678,ASAM 101 - Introduction to Ethnic Studies,"23-LEC
Regular",MH 663 - Lecture Room,In Person,We 4:00-6:45PM
16115,ASAM 101 - Introduction to Ethnic Studies,"26-LEC
Regular",Hum 224 - Lecture Room,In Person,Th 7:00-9:45PM
16208,ASAM 101 - Introduction to Ethnic Studies,"50-LEC
Regular",Online,Fully Online,TBA
16209,ASAM 101 - Introduction to Ethnic Studies,"51-LEC
Regular",Online,Fully Online,TBA
16210,ASAM 101 - Introduction to Ethnic Studies,"52-LEC
Regular",Online,Fully Online,TBA
16824,ASAM 101 - Introduction to Ethnic Studies,"61-LEC
Regular",Online,Fully Online,TBA
16825,ASAM 101 - Introduction to Ethnic Studies,"62-LEC
Regular",Online,Fully Online,TBA
16859,ASAM 101 - Introduction to Ethnic Studies,"63-LEC
Regular",Online,Fully Online,TBA
16860,ASAM 101 - Introduction to Ethnic Studies,"64-LEC
Regular",Online,Fully Online,TBA
16673,ASAM 190 - Survey of American History with Emphasis on Ethnic Minorities,"01-DIS
Regular",MH 465 - Lecture Room,In Person,We 4:00-6:45PM
20880,ASAM 230 - Civic Engagement Through Asian American and Pacific Islander Studies,"01-DIS
Regular",LH 315A - Lecture Room,In Person,MoWe 10:00-11:15AM
16711,ASAM 250 - Introduction to Multi-Ethnic Literatures of the U.S.,"01-DIS
Regular",CP 127 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
19590,ASAM 300 - Introduction to Asian Pacific American Studies,"50-DIS
Regular","Online
MH 682 - Lecture Room
MH 682 - Lecture Room
MH 682 - Lecture Room",Mostly Online w/ In-Person Mtg,"TBA
We 10:00AM-10:50AM
We 10:00AM-10:50AM
We 10:00AM-10:50AM"
19591,ASAM 300 - Introduction to Asian Pacific American Studies,"51-DIS
Regular","Online
EC 167 - Lecture Room
EC 167 - Lecture Room
EC 167 - Lecture Room",Mostly Online w/ In-Person Mtg,"TBA
We 1:00PM-1:50PM
We 1:00PM-1:50PM
We 1:00PM-1:50PM"
20878,ASAM 300 - Introduction to Asian Pacific American Studies,"52-DIS
Regular","Online
Zoom
Zoom
Zoom",Fully Online,"TBA
We 2:00PM-2:50PM
We 2:00PM-2:50PM
We 2:00PM-2:50PM"
15529,ASAM 307 - Research and Writing in Ethnic Studies,"01-LEC
Regular",Hum 224 - Lecture Room,In Person,MoWe 10:00-11:15AM
16228,ASAM 308 - Asian American Women,"50-DIS
Regular",Online,Fully Online,TBA
19595,ASAM 308 - Asian American Women,"51-DIS
Regular",Online,Fully Online,TBA
21249,ASAM 308 - Asian American Women,"52-DIS
Regular",Online,Fully Online,TBA
14962,ASAM 320 - Asian Pacific American Cultural Studies,"50-DIS
Regular",Online,Fully Online,TBA
15550,ASAM 320 - Asian Pacific American Cultural Studies,"51-DIS
Regular",Online,Fully Online,TBA
19596,ASAM 320 - Asian Pacific American Cultural Studies,"52-DIS
Regular",Online,Fully Online,TBA
15415,ASAM 325 - Asian American Film and Video,"50-DIS
Regular",Online,Fully Online,TBA
15592,ASAM 325 - Asian American Film and Video,"51-DIS
Regular",Online,Fully Online,TBA
19598,ASAM 325 - Asian American Film and Video,"52-DIS
Regular",Online,Fully Online,TBA
19599,ASAM 325 - Asian American Film and Video,"53-DIS
Regular",Online,Fully Online,TBA
16226,ASAM 342 - Asian Pacific American Families,"01-DIS
Regular",Hum 224 - Lecture Room,In Person,MoWe 1:00-2:15PM
16813,ASAM 344 - Asian Pacific American Identities,"01-DIS
Regular",Hum 224 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
15990,ASAM 346 - Asian American Psychology,"01-DIS
Regular",Hum 224 - Lecture Room,In Person,We 4:00-6:45PM
16674,ASAM 346 - Asian American Psychology,"02-DIS
Regular",Hum 602 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
15976,ASAM 362A - Filipina/o American Experiences,"01-DIS
Regular",Hum 128 - Lecture Room,In Person,Mo 4:00-6:45PM
