Class ID,Class Name,Section,Room,Instruction Type,Time
19114,CHEM 100 - Survey of Chemistry,"04-LEC
Regular",LH 404 - Lecture Room,In Person,MoWe 2:30-3:45PM
19028,CHEM 100L - Survey of Chemistry Laboratory,"03-LAB
Regular",DBH 263 - Chem Teaching Lab,In Person,We 2:30-5:20PM
19030,CHEM 100L - Survey of Chemistry Laboratory,"05-LAB
Regular",DBH 263 - Chem Teaching Lab,In Person,Fr 8:00-10:50AM
19032,CHEM 100L - Survey of Chemistry Laboratory,"06-LAB
Regular",DBH 263 - Chem Teaching Lab,In Person,Th 8:00-10:50AM
20281,CHEM 100L - Survey of Chemistry Laboratory,"07-LAB
Regular",DBH 263 - Chem Teaching Lab,In Person,We 8:00-10:50AM
19047,CHEM 115 - Introductory General Chemistry,"05-LEC
Regular",MH 468 - Lecture Room,In Person,MoWeFr 11:00-11:50AM
19048,CHEM 115 - Introductory General Chemistry,"06-ACT
Regular",MH 468 - Lecture Room,In Person,MoWe 12:00-12:50PM
19674,CHEM 115 - Introductory General Chemistry,"07-LEC
Regular",MH 468 - Lecture Room,In Person,MoWe 8:00-9:15AM
19675,CHEM 115 - Introductory General Chemistry,"08-ACT
Regular",MH 468 - Lecture Room,In Person,MoWe 9:30-10:20AM
19781,CHEM 115 - Introductory General Chemistry,"11-LEC
Regular",MH 587 - Computer Lab,In Person,MoWe 11:30AM-12:45PM
19782,CHEM 115 - Introductory General Chemistry,"12-ACT
Regular",MH 587 - Computer Lab,In Person,MoWe 1:00-1:50PM
19116,CHEM 120A - General Chemistry,"16-LEC
Regular",MH 536 - Chem Computer Lab,In Person,MoWeFr 12:00-12:50PM
19117,CHEM 120A - General Chemistry,"17-ACT
Regular",MH 536 - Chem Computer Lab,In Person,MoWeFr 1:00-1:50PM
19118,CHEM 120A - General Chemistry,"18-LAB
Regular",DBH 261 - Chem Teaching Lab,In Person,We 8:00-10:50AM
19154,CHEM 120A - General Chemistry,"28-LEC
Regular",MH 587 - Computer Lab,In Person,TuTh 8:00-9:15AM
19155,CHEM 120A - General Chemistry,"29-ACT
Regular",MH 587 - Computer Lab,In Person,TuTh 9:30-10:45AM
19156,CHEM 120A - General Chemistry,"30-LAB
Regular",DBH 261 - Chem Teaching Lab,In Person,Th 11:00AM-1:50PM
19089,CHEM 120B - General Chemistry,"03-LEC
Regular",MOD 103 - Modular,In Person,MoWeFr 9:00-9:50AM
19090,CHEM 120B - General Chemistry,"04-LAB
Regular","DBH 244 - Chem Teaching Lab
DBH 268 - Chem Teaching Lab",In Person,"Mo 11:00AM-1:50PM
We 11:00AM-1:50PM"
19091,CHEM 120B - General Chemistry,"07-LEC
Regular",MH 513 - Lecture Room,In Person,TuTh 10:00-11:15AM
19092,CHEM 120B - General Chemistry,"08-LAB
Regular","DBH 268 - Chem Teaching Lab
DBH 244 - Chem Teaching Lab",In Person,Tu 2:30-5:20PM
19169,CHEM 120B - General Chemistry,"15-LEC
Regular",MOD 103 - Modular,In Person,MoWe 4:00-5:15PM
19170,CHEM 120B - General Chemistry,"16-LAB
Regular","DBH 268 - Chem Teaching Lab
DBH 244 - Chem Teaching Lab",In Person,Mo 5:30-8:20PM
19164,CHEM 120B - General Chemistry,"21-LEC
Regular",MH 536 - Chem Computer Lab,In Person,TuTh 4:00-5:15PM
19165,CHEM 120B - General Chemistry,"22-LAB
Regular","DBH 244 - Chem Teaching Lab
DBH 268 - Chem Teaching Lab",In Person,Tu 5:30-8:20PM
19119,CHEM 120B - General Chemistry,"23-LEC
Regular",MH 536 - Chem Computer Lab,In Person,TuTh 4:00-5:15PM
19120,CHEM 120B - General Chemistry,"24-LAB
Regular","DBH 268 - Chem Teaching Lab
DBH 244 - Chem Teaching Lab",In Person,Tu 5:30-8:20PM
21986,CHEM 120B - General Chemistry,"25-LEC
Regular",MH 468 - Lecture Room,In Person,TuTh 8:30-9:45AM
21987,CHEM 120B - General Chemistry,"26-LAB
Regular","DBH 268 - Chem Teaching Lab
DBH 244 - Chem Teaching Lab",In Person,"Tu 11:00AM-1:50PM
Th 11:00AM-1:50PM"
19111,CHEM 125 - General Chemistry B Lecture,"02-LEC
Regular",MOD 103 - Modular,In Person,MoWe 4:00-5:15PM
19031,CHEM 190 - Orientation to Chemistry and Biochemistry,"01-SEM
Regular",SGMH 1406 - Lecture,In Person,Fr 12:00-12:50PM
19100,CHEM 200 - Chemistry for Nursing and Allied Health Professionals,"03-LEC
Regular",MH 536 - Chem Computer Lab,In Person,MoWe 2:30-3:45PM
19055,CHEM 200 - Chemistry for Nursing and Allied Health Professionals,"04-LAB
Regular",DBH 261 - Chem Teaching Lab,In Person,We 11:00AM-1:50PM
19101,CHEM 200 - Chemistry for Nursing and Allied Health Professionals,"05-LEC
Regular",MH 536 - Chem Computer Lab,In Person,MoWe 2:30-3:45PM
19102,CHEM 200 - Chemistry for Nursing and Allied Health Professionals,"06-LAB
Regular",DBH 261 - Chem Teaching Lab,In Person,Tu 2:30-5:20PM
19139,CHEM 295 - Directed Study,"01-SUP
Regular",TBA,In Person,TBA
18878,CHEM 295 - Directed Study,"02-SUP
Regular",TBA,In Person,TBA
18879,CHEM 295 - Directed Study,"03-SUP
Regular",TBA,In Person,TBA
18880,CHEM 295 - Directed Study,"04-SUP
Regular",TBA,In Person,TBA
18881,CHEM 295 - Directed Study,"05-SUP
Regular",TBA,In Person,TBA
18882,CHEM 295 - Directed Study,"06-SUP
Regular",TBA,In Person,TBA
18883,CHEM 295 - Directed Study,"07-SUP
Regular",TBA,In Person,TBA
18956,CHEM 295 - Directed Study,"08-SUP
Regular",TBA,In Person,TBA
18884,CHEM 295 - Directed Study,"09-SUP
Regular",TBA,In Person,TBA
18885,CHEM 295 - Directed Study,"10-SUP
Regular",TBA,In Person,TBA
18886,CHEM 295 - Directed Study,"11-SUP
Regular",TBA,In Person,TBA
18952,CHEM 295 - Directed Study,"12-SUP
Regular",TBA,In Person,TBA
19034,CHEM 295 - Directed Study,"13-SUP
Regular",TBA,In Person,TBA
