Class ID,Class Name,Section,Room,Instruction Type,Time
16360,CHIC 102 - Communication Skills,"01-DIS
Regular",Hum 413 - Lecture Room,In Person,Fr 9:00-11:45AM
16587,CHIC 102 - Communication Skills,"07-DIS
Regular",GH 207 - Lecture Room,In Person,TuTh 10:00-11:15AM
16942,CHIC 102 - Communication Skills,"09-DIS
Regular",GH 204 - ALP owned,In Person,TuTh 2:30-3:45PM
21765,CHIC 102 - Communication Skills,"12-DIS
Regular",Hum 413 - Lecture Room,In Person,TuTh 10:00-11:15AM
22079,CHIC 102 - Communication Skills,"13-DIS
Regular",Hum 323 - Lecture Room,In Person,TuTh 8:30-9:45AM
17502,CHIC 106 - Introduction to Chicano Studies,"04-LEC
Regular",LH 321 - Lecture Room,In Person,TuTh 2:30-3:45PM
17301,CHIC 106 - Introduction to Chicano Studies,"08-LEC
Regular",EC 122 - Lecture Room,In Person,Fr 9:00-11:45AM
17875,CHIC 106 - Introduction to Chicano Studies,"10-LEC
Regular",MH 463 - Lecture Room,In Person,We 4:00-6:45PM
18003,CHIC 106 - Introduction to Chicano Studies,"12-LEC
Regular",EC 034 - Lecture Room,In Person,Mo 4:00-6:45PM
21961,CHIC 201 - Chicana and Chicano Environmentalisms,"03-LEC
Regular",MH 465 - Lecture Room,In Person,Mo 7:00-9:45PM
17864,CHIC 201 - Chicana and Chicano Environmentalisms,"50-LEC
Regular",Online,Fully Online,TBA
17207,CHIC 304 - Music of Mexico,"01-DIS
Regular",Hum 326B - Lecture Room,In Person,We 7:00-9:45PM
17282,CHIC 313 - La Chicana,"02-LEC
Regular",EC 122 - Lecture Room,In Person,Mo 4:00-6:45PM
21680,CHIC 313 - La Chicana,"51-LEC
Regular",Online,Fully Online,TBA
21665,CHIC 315 - Chicano/Latino Theatre,"02-DIS
Regular",CP 122 - Lecture Room,In Person,We 4:00-6:45PM
20173,CHIC 338 - Barrios and Health,"01-SEM
Regular",CP 130 - Lecture Room,In Person,MoWe 1:00-2:15PM
20174,CHIC 500 - Chicana/Chicano Studies Paradigms and Traditions,"01-SEM
Regular",Hum 125 - Lecture Room,In Person,Tu 4:00-6:45PM
21681,CHIC 506 - Latinx Cities and Storytelling,"01-SEM
Regular",CP 130 - Lecture Room,In Person,Th 4:00-6:45PM
