Class ID,Class Name,Section,Room,Instruction Type,Time
21640,CAS 100 - Foundations for Success in Child and Adolescent Studies,"05-DIS
Regular","GH 203 - Seminar
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM-12:45PM
TBA"
15292,CAS 141 - Intermediate Seminar in Early Childhood,"30-SEM
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),Mo 6:00-7:50PM
15293,CAS 141 - Intermediate Seminar in Early Childhood,"31-CLN
Regular",TBA,In Person,TBA
15614,"CAS 201 - Child, Family, and Community","02-LEC
Regular","CPAC 146 - Lecture Room
Online",Mostly In-Person (Hybrid),"Th 11:30AM-12:45PM
TBA"
21641,"CAS 201 - Child, Family, and Community","05-LEC
Regular","EC 067 - Lecture Room
Online",Mostly In-Person (Hybrid),TuTh 10:00-11:15AM
14880,CAS 250 - Introduction to Early Childhood Curriculum,"01-LEC
Regular","EC 032 - Lecture Room
Online",Mostly In-Person (Hybrid),We 4:00-5:15PM
22070,CAS 300 - Elements of Effective Professional Communication,"09-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),Mo 6:00-7:45PM
20761,CAS 301 - Inquiry and Methodology in Development,"01-SEM
Regular",EC 055 - Spec Computer Lab,In Person,MoWe 8:30-9:45AM
20762,CAS 301 - Inquiry and Methodology in Development,"02-SEM
Regular",EC 055 - Spec Computer Lab,In Person,MoWe 10:00-11:15AM
20769,CAS 301 - Inquiry and Methodology in Development,"07-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),Th 4:00-5:15PM
21716,CAS 302 - Cultural Competence in Developmental Contexts,"01-LEC
Regular","EC 044 - Lecture Room
Online",Mostly In-Person (Hybrid),Th 1:00-2:15PM
15706,CAS 305 - Advanced Assessment in Early Childhood,"01-LEC
Regular","EC 032 - Lecture Room
Online",Mostly In-Person (Hybrid),Mo 7:00-9:45PM
15616,CAS 310 - Assessing and Observing Development,"01-LEC
Regular","Hum 226 - Lecture Room
Online",Mostly In-Person (Hybrid),Mo 1:00-2:15PM
20690,CAS 310 - Assessing and Observing Development,"02-LEC
Regular","EC 063 - Lecture Room
Online",Mostly In-Person (Hybrid),Th 10:00-11:15AM
14491,CAS 310 - Assessing and Observing Development,"04-LEC
Regular","EC 032 - Lecture Room
Online",Mostly In-Person (Hybrid),Tu 4:00-6:45PM
15303,CAS 315 - Child Development,"51-LEC
Regular",Online,Fully Online,TBA
14902,CAS 325A - Conception Through Age 8,"01-DIS
Regular","EC 109 - Lecture Room
Online",Mostly In-Person (Hybrid),Th 10:00-11:15AM
20691,CAS 325A - Conception Through Age 8,"02-DIS
Regular","EC 124 - Lecture Room
Online",Mostly In-Person (Hybrid),Mo 1:00-2:15PM
14739,CAS 325A - Conception Through Age 8,"03-DIS
Regular",EC 203 - Lecture Room,In Person,TuTh 2:30-3:45PM
20694,CAS 325A - Conception Through Age 8,"06-DIS
Regular","EC 109 - Lecture Room
Online",Mostly In-Person (Hybrid),We 10:00-11:15AM
15304,CAS 325A - Conception Through Age 8,"52-DIS
Regular",Online,Fully Online,TBA
15465,CAS 325A - Conception Through Age 8,"54-DIS
Regular",Online,Fully Online,TBA
15306,CAS 325B - Age 9 Through Adolescence,"02-DIS
Regular","EC 203 - Lecture Room
Online",Mostly In-Person (Hybrid),MoWe 10:00-11:15AM
15522,CAS 325B - Age 9 Through Adolescence,"03-DIS
Regular",EC 203 - Lecture Room,In Person,Mo 4:00-6:45PM
14495,CAS 325B - Age 9 Through Adolescence,"04-DIS
Regular","Online
Online",Fully Online,Th 7:00-8:15PM
15308,CAS 325B - Age 9 Through Adolescence,"52-DIS
Regular",Online,Fully Online,TBA
14919,CAS 341 - Working with Parents of Young Children,"01-DIS
Regular","LH 320 - Lecture Room
Online",Mostly In-Person (Hybrid),Tu 4:00-6:45PM
15581,CAS 352 - Numeracy and Science in Early Childhood,"50-DIS
Regular",Online,Fully Online,TBA
20644,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"01-LEC
Regular",GH 302 - Lecture Room,In Person,Mo 7:00-8:50PM
20645,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"02-CLN
Regular",TBA,In Person,TBA
20646,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"03-LEC
Regular",EC 055 - Spec Computer Lab,In Person,Tu 11:00AM-12:50PM
20647,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"04-CLN
Regular",TBA,In Person,TBA
20648,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"05-LEC
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),"Th 11:00AM-12:50PM
TBA"
20649,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"06-CLN
Regular",TBA,In Person,TBA
20759,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"90-LEC
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),Fr 10:00-11:50AM
20760,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"91-CLN
Regular",TBA,In Person,TBA
15555,CAS 464 - Practicum Seminar in Early Care and Education,"03-DIS
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),We 7:00-8:50PM
15556,CAS 464 - Practicum Seminar in Early Care and Education,"04-CLN
Regular",TBA,In Person,TBA
15456,CAS 464 - Practicum Seminar in Early Care and Education,"30-DIS
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),Mo 5:00-6:50PM
15457,CAS 464 - Practicum Seminar in Early Care and Education,"31-CLN
Regular",TBA,In Person,TBA
15618,CAS 464 - Practicum Seminar in Early Care and Education,"50-DIS
Regular",Online,Fully Online,TBA
15619,CAS 464 - Practicum Seminar in Early Care and Education,"51-CLN
Regular",TBA,In Person,TBA
15620,CAS 474 - Practicum in Development in School Settings,"03-DIS
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),We 4:00-5:50PM
15621,CAS 474 - Practicum in Development in School Settings,"04-CLN
Regular",TBA,In Person,TBA
14881,CAS 474 - Practicum in Development in School Settings,"90-DIS
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),Fr 10:00-11:50AM
