Class ID,Class Name,Section,Room,Instruction Type,Time
13196,CTVA 102 - Inside The Movies,"01-LEC
Regular",Hum 123 - Lecture Room,In Person,Mo 7:00-10:00PM
20596,CTVA 220 - TV Studio Production,"03-DIS
Regular",PLS046 - Television Studio,In Person,Th 1:00-2:40PM
20597,CTVA 220 - TV Studio Production,"04-LAB
Regular",PLS075 - Titan Comm Studio,In Person,Th 2:45-5:15PM
21919,CTVA 225 - Production for Non-Production Track,"03-DIS
Regular",Hum 321A - Lecture Room,In Person,Mo 1:00-2:40PM
21920,CTVA 225 - Production for Non-Production Track,"04-LAB
Regular",PLS049 - Television Studio,In Person,Mo 2:45-5:15PM
20380,CTVA 246 - Evolution of Video Games: Beginnings to Present,"01-LEC
Regular",SGMH 1506 - Lecture,In Person,We 4:00-6:45PM
12906,CTVA 250 - Writing Short Scripts,"01-SEM
Regular",GH 204 - ALP owned,In Person,Th 4:00-6:45PM
13292,CTVA 300 - Language of Film,"51-LEC
Regular",Online,Fully Online,TBA
13293,CTVA 300 - Language of Film,"52-LEC
Regular",Online,Fully Online,TBA
13376,CTVA 301 - Critical Studies: Cinema,"01-LEC
Regular",CP 126 - Lecture Room,In Person,We 10:00AM-12:45PM
13414,CTVA 301 - Critical Studies: Cinema,"02-LEC
Regular",CP 126 - Lecture Room,In Person,Th 1:00-3:45PM
21541,CTVA 301 - Critical Studies: Cinema,"53-LEC
Regular",Online,Fully Online,TBA
12913,CTVA 302 - Critical Studies: Television,"01-LEC
Regular","Zoom
Online",Fully Online,We 1:00-2:15PM
13252,CTVA 304 - Film and Television Narrative: The Writer's Perspective,"01-LEC
Regular",SGMH 1506 - Lecture,In Person,Mo 4:00-6:45PM
12909,CTVA 325 - Production 1,"01-DIS
Regular",PLS061 - Lecture,In Person,Tu 8:30-10:10AM
12910,CTVA 325 - Production 1,"02-LAB
Regular",PLS061 - Lecture,In Person,Tu 10:15AM-12:45PM
13333,CTVA 325 - Production 1,"05-DIS
Regular",PLS061 - Lecture,In Person,We 8:30-10:10AM
13334,CTVA 325 - Production 1,"06-LAB
Regular",PLS061 - Lecture,In Person,We 10:15AM-12:45PM
13489,CTVA 325 - Production 1,"07-DIS
Regular",PLS061 - Lecture,In Person,Th 1:00-2:40PM
13490,CTVA 325 - Production 1,"08-LAB
Regular",PLS061 - Lecture,In Person,Th 2:45-5:15PM
20678,CTVA 325 - Production 1,"09-DIS
Regular",PLS061 - Lecture,In Person,Fr 1:00-2:40PM
20679,CTVA 325 - Production 1,"10-LAB
Regular",PLS061 - Lecture,In Person,Fr 2:45-5:15PM
12917,CTVA 341 - Business of Television,"01-LEC
Regular",MH 121 - Lecture Room,In Person,Tu 4:00-6:45PM
12889,CTVA 350 - Story Structure,"03-SEM
Regular",EC 024A - Lecture Room,In Person,We 10:00AM-12:45PM
12902,CTVA 350 - Story Structure,"51-SEM
Regular",Online,Fully Online,TBA
12912,CTVA 352 - TV Scriptwriting: Drama,"01-SEM
Regular",EC 024A - Lecture Room,In Person,Tu 1:00-3:45PM
13295,CTVA 362 - Media Literacy,"01-LEC
Regular",SGMH 1406 - Lecture,In Person,TuTh 2:30-3:45PM
20604,CTVA 373 - World Cinema: 1950-1990,"01-LEC
Regular",CP 126 - Lecture Room,In Person,Mo 1:00-3:45PM
20605,CTVA 373 - World Cinema: 1950-1990,"02-LEC
Regular",CP 126 - Lecture Room,In Person,Tu 1:00-3:45PM
20607,CTVA 375 - Documentary Film and TV,"01-LEC
Regular",CP 126 - Lecture Room,In Person,We 1:00-3:45PM
20599,CTVA 382 - Queer Film and Television,"01-LEC
Regular",CP 126 - Lecture Room,In Person,Th 4:00-6:45PM
13313,CTVA 410 - Sound Design for Film-TV,"01-DIS
Regular",PLS061 - Lecture,In Person,Mo 8:30-10:10AM
13314,CTVA 410 - Sound Design for Film-TV,"02-LAB
Regular",PLS061 - Lecture,In Person,Mo 10:15AM-12:45PM
13360,CTVA 427 - Documentary Production,"01-DIS
Regular",PLS061 - Lecture,In Person,We 1:00-2:40PM
13361,CTVA 427 - Documentary Production,"02-LAB
Regular",PLS061 - Lecture,In Person,We 2:45-5:15PM
