Class ID,Class Name,Section,Room,Instruction Type,Time
17374,EGCE 104 - Computer-Aided Architectural and Civil Engineering Drafting,"01-LAB
Regular",CS 207 - Self Instruct Lab,In Person,Tu 7:00-9:45PM
17207,EGCE 104 - Computer-Aided Architectural and Civil Engineering Drafting,"02-LAB
Regular",CS 207 - Self Instruct Lab,In Person,We 7:00-9:45PM
17560,EGCE 110 - Engineering Surveying,"01-LEC
Regular",E-SW011 - Lecture Room,In Person,Mo 8:00-9:50AM
17252,EGCE 110L - Engineering Surveying Laboratory,"02-LAB
Regular",CS 204 - Self Instruct Lab,In Person,We 10:00AM-12:45PM
21074,EGCE 110L - Engineering Surveying Laboratory,"05-LAB
Regular",CS 204 - Self Instruct Lab,In Person,Fr 8:00-11:15AM
17435,EGCE 201 - Statics,"01-LEC
Regular",E 221 - Lecture Room,In Person,MoWe 1:00-2:15PM
17437,EGCE 201 - Statics,"02-LEC
Regular",E 221 - Lecture Room,In Person,TuTh 1:00-2:15PM
17687,EGCE 202 - Dynamics,"02-LEC
Regular",MH 513 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
17689,EGCE 202 - Dynamics,"04-LEC
Regular",LH 306 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
17438,EGCE 203 - Mechanics of Materials,"01-LEC
Regular",CS 204 - Self Instruct Lab,In Person,MoWe 1:00-2:15PM
17439,EGCE 203 - Mechanics of Materials,"02-LEC
Regular",CS 204 - Self Instruct Lab,In Person,TuTh 1:00-2:15PM
17510,EGCE 204 - Technical Communication and Computing for Civil Engineers,"01-ACT
Regular",CS 204 - Self Instruct Lab,In Person,Tu 5:30-6:45PM
17511,EGCE 204 - Technical Communication and Computing for Civil Engineers,"02-ACT
Regular",CS 204 - Self Instruct Lab,In Person,Th 5:30-6:45PM
17387,EGCE 305 - Earthquake Impact on Structures,"01-DIS
Regular",Hum 523 - Lecture Room,In Person,Mo 7:00-9:45PM
17272,EGCE 308 - Engineering Analysis,"01-DIS
Regular",E 221 - Lecture Room,In Person,MoWe 10:00-11:15AM
17454,EGCE 308 - Engineering Analysis,"02-DIS
Regular",LH 315B - Lecture Room,In Person,MoWe 10:00-11:15AM
17532,EGCE 311L - Civil Engineering Materials Laboratory,"01-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,We 9:00-9:50AM
17533,EGCE 311L - Civil Engineering Materials Laboratory,"02-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,We 9:00-9:50AM
17534,EGCE 311L - Civil Engineering Materials Laboratory,"03-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,We 9:00-9:50AM
17441,EGCE 320 - Structural Analysis,"01-LEC
Regular",EC 049 - Lecture Room,In Person,MoWe 2:30-3:45PM
17442,EGCE 320 - Structural Analysis,"02-LEC
Regular",CS 204 - Self Instruct Lab,In Person,TuTh 2:30-3:45PM
17396,EGCE 321L - Structural Analysis Laboratory,"01-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Tu 9:00-9:50AM
17397,EGCE 321L - Structural Analysis Laboratory,"02-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Tu 9:00-9:50AM
17551,EGCE 321L - Structural Analysis Laboratory,"03-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Tu 9:00-9:50AM
17444,EGCE 330 - Engineering Hydraulics,"01-LEC
Regular",E 221 - Lecture Room,In Person,TuTh 5:30-6:45PM
17398,EGCE 331L - Engineering Hydraulics Laboratory,"01-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Th 9:00-9:50AM
17399,EGCE 331L - Engineering Hydraulics Laboratory,"02-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Th 9:00-9:50AM
17400,EGCE 331L - Engineering Hydraulics Laboratory,"03-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Th 9:00-9:50AM
17440,EGCE 340 - Soil Mechanics,"01-LEC
Regular",EC 008 - Lecture Room,In Person,TuTh 10:00-11:15AM
17528,EGCE 341L - Soil Mechanics Laboratory,"01-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,Mo 9:00-9:50AM
