Class ID,Class Name,Section,Room,Instruction Type,Time
13018,COMD 241 - Introduction to Phonetics,"01-DIS
Regular",CP 125 - Lecture Room,In Person,MoWe 10:00-11:15AM
13019,COMD 241 - Introduction to Phonetics,"02-DIS
Regular",LH 303 - Lecture Room,In Person,Mo 4:00-6:45PM
13033,COMD 242 - Introduction to Communicative Disorders,"01-DIS
Regular",LH 320 - Lecture Room,In Person,Th 4:00-6:45PM
13046,COMD 242 - Introduction to Communicative Disorders,"02-DIS
Regular",KHS 108 - Lecture Room,In Person,We 4:00-6:45PM
13029,COMD 300 - Introduction to Research in Communication Sciences and Disorders,"01-DIS
Regular",CP 125 - Lecture Room,In Person,TuTh 10:00-11:15AM
13248,COMD 300 - Introduction to Research in Communication Sciences and Disorders,"02-DIS
Regular",Hum 412 - Lecture Room,In Person,We 4:00-6:45PM
13043,COMD 302 - Introduction to Sign Language,"01-DIS
Regular",CP 125 - Lecture Room,In Person,Th 7:00-9:45PM
13034,COMD 307 - Speech/Language Development,"01-DIS
Regular",GH 302 - Lecture Room,In Person,We 4:00-6:45PM
13032,COMD 344 - The Anatomy and Physiology of Speech and Hearing,"01-SEM
Regular",LH 318 - Lecture Room,In Person,Tu 4:00-6:45PM
13249,COMD 344 - The Anatomy and Physiology of Speech and Hearing,"02-SEM
Regular",KHS 108 - Lecture Room,In Person,Th 4:00-6:45PM
13070,COMD 350 - Speech and Hearing Science,"01-LEC
Regular",GH 335 - Lecture Room,In Person,TuTh 2:30-3:45PM
13035,COMD 352 - Child Language and Phonological Disorders,"01-DIS
Regular",KHS 108 - Lecture Room,In Person,Tu 4:00-6:45PM
13071,COMD 404 - Communication Development/Disorders in Children from Culturally/Linguistically/Diverse Backgrounds,"01-DIS
Regular",Hum 523 - Lecture Room,In Person,We 7:00-9:45PM
20507,COMD 404 - Communication Development/Disorders in Children from Culturally/Linguistically/Diverse Backgrounds,"02-DIS
Regular",GH 246 - Lecture Room,In Person,Th 4:00-6:45PM
13030,COMD 461 - Audiology and Audiometry,"50-DIS
Regular",Online,Fully Online,TBA
13047,COMD 465 - Aural Rehabilitation,"01-SEM
Regular",GH 302 - Lecture Room,In Person,Th 4:00-6:45PM
13028,COMD 472 - Voice and Craniofacial Disorders,"01-DIS
Regular",GH 246 - Lecture Room,In Person,Tu 4:00-6:45PM
13045,COMD 474 - Neurology and Neurogenic Communicative Disorders,"01-DIS
Regular",CPAC 125 - Lecture Room,In Person,We 4:00-6:45PM
