Class ID,Class Name,Section,Room,Instruction Type,Time
13780,COUN 252 - Career and Life Planning,"01-LEC
Regular",Hum 511 - Lecture Room,In Person,Tu 4:00-6:45PM
13784,COUN 350 - Leadership Skills and Personal Development,"50-LEC
Regular",Online,Fully Online,TBA
14638,COUN 500 - The Counseling Profession,"01-SEM
Regular",LH 404 - Lecture Room,In Person,Tu 4:00-6:45PM
14639,COUN 500 - The Counseling Profession,"02-SEM
Regular",EC 047 - Seminar,In Person,Tu 4:00-6:45PM
14640,COUN 500 - The Counseling Profession,"03-SEM
Regular",Hum 413 - Lecture Room,In Person,Tu 4:00-6:45PM
14641,COUN 500 - The Counseling Profession,"04-SEM
Regular",LH 315A - Lecture Room,In Person,Tu 4:00-6:45PM
13782,COUN 502 - Career and Lifestyle Development,"02-SEM
Regular",Hum 426 - Lecture Room,In Person,We 7:00-9:45PM
14815,COUN 502 - Career and Lifestyle Development,"03-SEM
Regular",EC 165 - Lecture Room,In Person,We 4:00-6:45PM
14596,COUN 511A - Pre-Practicum,"01-CLN
Regular",EC 205 - Lecture Room,In Person,Mo 1:00-3:45PM
14597,COUN 511A - Pre-Practicum,"02-CLN
Regular",EC 205 - Lecture Room,In Person,Mo 7:00-9:45PM
14669,COUN 511A - Pre-Practicum,"03-CLN
Regular",EC 047 - Seminar,In Person,We 1:00-3:45PM
14600,COUN 511B - Pre-Practicum for Ánimo Emphasis,"01-CLN
Regular",EC 205 - Lecture Room,In Person,We 4:00-6:45PM
13779,COUN 518 - Human Development and Functioning,"01-SEM
Regular",EC 009 - Lecture Room,In Person,Mo 4:00-6:45PM
14487,COUN 518 - Human Development and Functioning,"02-SEM
Regular",EC 124 - Lecture Room,In Person,Tu 7:00-9:45PM
14589,COUN 521 - Research in Counseling,"01-SEM
Regular",EC 205 - Lecture Room,In Person,Mo 4:00-6:45PM
14590,COUN 521 - Research in Counseling,"02-SEM
Regular",EC 047 - Seminar,In Person,Tu 7:00-9:45PM
14836,COUN 521 - Research in Counseling,"03-SEM
Regular",Hum 516 - Lecture Room,In Person,Mo 4:00-6:45PM
13785,COUN 522A - Diagnosis and Treatment Planning,"01-SEM
Regular",EC 047 - Seminar,In Person,Th 4:00-6:45PM
14642,COUN 524 - Child and Adolescent Counseling,"01-CLN
Regular",EC 047 - Seminar,In Person,Mo 4:00-6:45PM
14643,COUN 524 - Child and Adolescent Counseling,"02-CLN
Regular",EC 047 - Seminar,In Person,Th 1:00-3:45PM
13770,COUN 525 - Psychopharmacology for Counselors,"01-SEM
Regular",Hum 530 - Lecture Room,In Person,Mo 4:00-6:45PM
14495,COUN 525 - Psychopharmacology for Counselors,"02-SEM
Regular",EC 047 - Seminar,In Person,Mo 1:00-3:45PM
14656,"COUN 526 - Professional, Ethical and Legal Issues in Counseling","01-DIS
Regular",EC 007 - Lecture Room,In Person,We 7:00-9:45PM
19748,COUN 527A - Systems of Family Counseling,"01-SEM
Regular",EC 049 - Lecture Room,In Person,We 4:00-6:45PM
14599,COUN 527B - Systems of Family Counseling for Ánimo Emphasis,"01-SEM
Regular",EC 047 - Seminar,In Person,We 4:00-6:45PM
14810,COUN 528 - Groups: Process and Practice,"01-CLN
Regular",EC 044 - Lecture Room,In Person,We 1:00-3:45PM
21143,COUN 528 - Groups: Process and Practice,"02-CLN
Regular",Hum 530 - Lecture Room,In Person,We 4:00-6:45PM
14586,COUN 530A - Practicum,"01-CLN
Regular",Hum 414 - Lecture Room,In Person,Mo 4:00-6:45PM
19794,COUN 530A - Practicum,"02-CLN
Regular",EC 009 - Lecture Room,In Person,Tu 4:00-6:45PM
19795,COUN 530A - Practicum,"03-CLN
Regular",EC 205 - Lecture Room,In Person,We 7:00-9:45PM
14587,COUN 530A - Practicum,"04-CLN
Regular",EC 047 - Seminar,In Person,Th 7:00-9:45PM
14588,COUN 530A - Practicum,"05-CLN
Regular",EC 203 - Lecture Room,In Person,Th 4:00-6:45PM
21352,COUN 530B - Practicum for Animo Emphasis,"03-CLN
Regular",Hum 124 - Lecture Room,In Person,Tu 7:00-9:45PM
13771,COUN 535 - Addictions Counseling,"01-DIS
Regular",EC 109 - Lecture Room,In Person,Mo 7:00-9:45PM
14684,COUN 538 - Crisis Intervention and Trauma Treatment,"51-SEM
Regular","Online
EC 165 - Lecture Room
EC 165 - Lecture Room",Mostly Online w/ In-Person Mtg,"TBA
Sa 10:00AM-4:00PM
Sa 10:00AM-4:00PM"
13783,COUN 560 - Appraisal in Counseling,"01-SEM
Regular",EC 165 - Lecture Room,In Person,Th 7:00-9:45PM
13772,COUN 562 - Intimate Partner and Couples Counseling,"01-DIS
Regular",EC 205 - Lecture Room,In Person,Th 4:00-6:45PM
13781,COUN 562 - Intimate Partner and Couples Counseling,"02-DIS
Regular",EC 109 - Lecture Room,In Person,Th 7:00-9:45PM
14591,COUN 584A - Advanced Practicum,"01-CLN
Regular",EC 047 - Seminar,In Person,Mo 7:00-9:45PM
14592,COUN 584A - Advanced Practicum,"02-CLN
Regular",EC 203 - Lecture Room,In Person,Tu 4:00-6:45PM
14602,COUN 584B - Advanced Practicum for Animo Emphasis,"01-CLN
Regular",EC 044 - Lecture Room,In Person,Th 4:00-6:45PM
14601,COUN 591 - Advanced Practicum II,"01-CLN
Regular",EC 124 - Lecture Room,In Person,We 7:00-9:45PM
21362,COUN 591 - Advanced Practicum II,"03-CLN
Regular",LH 315A - Lecture Room,In Person,Mo 4:00-6:45PM
14593,COUN 597 - Project,"01-SEM
Regular",EC 009 - Lecture Room,In Person,Mo 7:00-9:45PM
14594,COUN 597 - Project,"02-SEM
Regular",EC 009 - Lecture Room,In Person,We 4:00-6:45PM
14595,COUN 597 - Project,"03-SEM
Regular",EC 007 - Lecture Room,In Person,Th 10:00AM-12:45PM
13778,COUN 599 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
13773,COUN 599 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
13777,COUN 599 - Independent Study,"06-SUP
Regular",TBA,In Person,TBA
