Class ID,Class Name,Section,Room,Instruction Type,Time
22224,CRJU 100 - Myths and Realities of Crime and Justice,"05-LEC
Regular",SGMH 1112 - Lecture,In Person,TuTh 2:30-3:45PM
16706,CRJU 300 - Foundations of Criminal Justice,"01-LEC
Regular",Hum 110 - Lecture Room,In Person,MoWeFr 12:00-12:50PM
17122,CRJU 303 - Controlling Crime,"01-LEC
Regular",GH 305 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
17123,CRJU 303 - Controlling Crime,"02-LEC
Regular",GH 305 - Lecture Room,In Person,TuTh 1:00-2:15PM
16331,CRJU 310 - Criminal Law: Substantive,"01-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 2:30-3:45PM
21767,CRJU 310 - Criminal Law: Substantive,"05-LEC
Regular",LH 401 - Lecture Room,In Person,Th 7:00-9:45PM
16483,CRJU 315 - Police and Society,"01-DIS
Regular",LH 401A - Lecture Room,In Person,MoWe 8:30-9:45AM
16785,CRJU 315 - Police and Society,"02-DIS
Regular",GH 248 - Lecture Room,In Person,MoWe 10:00-11:15AM
16616,CRJU 315 - Police and Society,"04-DIS
Regular",Hum 322 - Lecture Room,In Person,We 7:00-9:45PM
16702,CRJU 320 - Introduction to Public Administration,"01-LEC
Regular",LH 401 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
16741,CRJU 320 - Introduction to Public Administration,"02-LEC
Regular",Hum 414 - Lecture Room,In Person,We 7:00-9:45PM
15780,CRJU 320 - Introduction to Public Administration,"50-LEC
Regular",Online,Fully Online,TBA
16916,CRJU 322 - Leadership for Public Service,"01-DIS
Regular",GH 246 - Lecture Room,In Person,Mo 7:00-9:45PM
17898,CRJU 325 - Juvenile Justice Administration,"02-DIS
Regular",LH 401A - Lecture Room,In Person,Tu 7:00-9:45PM
17276,CRJU 327 - Victims of Crime,"02-LEC
Regular",GH 335 - Lecture Room,In Person,We 7:00-9:45PM
17057,CRJU 340 - Criminal Justice Research Methodology,"02-LEC
Regular",LH 401 - Lecture Room,In Person,MoWe 2:30-3:45PM
16900,CRJU 340 - Criminal Justice Research Methodology,"03-LEC
Regular",LH 401 - Lecture Room,In Person,MoWe 5:30-6:45PM
16704,CRJU 345 - Corrections,"04-DIS
Regular",LH 401 - Lecture Room,In Person,Fr 9:00-11:45AM
21740,CRJU 345 - Corrections,"05-DIS
Regular",Hum 226 - Lecture Room,In Person,MoWe 8:30-9:45AM
21562,CRJU 360 - Comparative and International Criminal Justice Systems,"02-LEC
Regular",SGMH 1108 - Lecture,In Person,MoWe 10:00-11:15AM
16735,"CRJU 370 - Sex, Crime and Culture","01-LEC
Regular",LH 401A - Lecture Room,In Person,MoWe 5:30-6:45PM
17268,"CRJU 370 - Sex, Crime and Culture","02-LEC
Regular",GH 335 - Lecture Room,In Person,Th 7:00-9:45PM
17533,"CRJU 385 - Race, Inequality and the Criminal Justice System","02-DIS
Regular",LH 401 - Lecture Room,In Person,MoWe 1:00-2:15PM
16863,CRJU 404 - Capital Punishment,"01-DIS
Regular",LH 401A - Lecture Room,In Person,TuTh 11:30AM-12:45PM
21700,CRJU 404 - Capital Punishment,"03-DIS
Regular",GH 339 - Lecture Room,In Person,Tu 7:00-9:45PM
17751,CRJU 405 - Criminal Justice Policy,"01-DIS
Regular",MH 406 - Lecture Room,In Person,MoWe 10:00-11:15AM
17887,CRJU 406 - Crime and Popular Culture,"02-DIS
Regular",GH 250 - Lecture Room,In Person,Th 7:00-9:45PM
17783,CRJU 422 - Human Resources Management,"01-DIS
Regular",GH 305 - Lecture Room,In Person,MoWe 1:00-2:15PM
17899,CRJU 422 - Human Resources Management,"02-DIS
Regular",Hum 224 - Lecture Room,In Person,MoWe 4:00-5:15PM
17423,CRJU 440 - Correctional Rehabilitation,"02-DIS
Regular",GH 248 - Lecture Room,In Person,TuTh 1:00-2:15PM
16918,CRJU 474 - Civil Liberties,"01-DIS
Regular",MH 406 - Lecture Room,In Person,MoWe 1:00-2:15PM
20345,CRJU 474 - Civil Liberties,"02-DIS
Regular",GH 248 - Lecture Room,In Person,Th 7:00-9:45PM
16870,CRJU 492 - Prelaw Internship,"01-SUP
Regular",GH 305 - Lecture Room,In Person,MoWe 4:00-5:15PM
16710,CRJU 495 - Internships,"01-SUP
Regular",GH 248 - Lecture Room,In Person,Mo 7:00-9:45PM
