Class ID,Class Name,Section,Room,Instruction Type,Time
12261,ECON 100 - The Economic Environment,"01-LEC
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 10:00-11:15AM
12307,ECON 100 - The Economic Environment,"02-LEC
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 11:30AM-12:45PM
12362,ECON 201 - Principles of Microeconomics,"02-LEC
Regular",SGMH 2301 - Lecture,In Person,MoWe 10:00-11:15AM
20962,ECON 201 - Principles of Microeconomics,"03-LEC
Regular",SGMH 1303 - Lecture,In Person,MoWe 10:00-11:15AM
12367,ECON 201 - Principles of Microeconomics,"04-LEC
Regular",SGMH 2501 - Lecture,In Person,MoWe 11:30AM-12:45PM
12241,ECON 201 - Principles of Microeconomics,"05-LEC
Regular",SGMH 1303 - Lecture,In Person,MoWe 1:00-2:15PM
12363,ECON 201 - Principles of Microeconomics,"07-LEC
Regular",SGMH 1303 - Lecture,In Person,MoWe 4:00-5:15PM
12239,ECON 201 - Principles of Microeconomics,"11-LEC
Regular",SGMH 1308 - Lecture,In Person,TuTh 10:00-11:15AM
12541,ECON 201 - Principles of Microeconomics,"12-LEC
Regular",SGMH 2501 - Lecture,In Person,TuTh 11:30AM-12:45PM
12407,ECON 201 - Principles of Microeconomics,"13-LEC
Regular",SGMH 1303 - Lecture,In Person,TuTh 1:00-2:15PM
12411,ECON 201 - Principles of Microeconomics,"14-LEC
Regular",SGMH 1303 - Lecture,In Person,TuTh 2:30-3:45PM
12361,ECON 201 - Principles of Microeconomics,"15-LEC
Regular",SGMH 1303 - Lecture,In Person,TuTh 4:00-5:15PM
20837,ECON 201 - Principles of Microeconomics,"19-LEC
Regular","SGMH 2301 - Lecture
Online",Mostly In-Person (Hybrid),Th 1:00-2:15PM
20958,ECON 201 - Principles of Microeconomics,"20-LEC
Regular","SGMH 2504 - Computer Lab
Online",Mostly In-Person (Hybrid),"Th 11:30AM-12:45PM
TBA"
12164,ECON 201 - Principles of Microeconomics,"40-LEC
Regular",SGMH 2301 - Lecture,In Person,TuTh 11:30AM-12:45PM
12309,ECON 201 - Principles of Microeconomics,"50-LEC
Regular","Zoom
Online
SGMH 1307 - Lecture
SGMH 1307 - Lecture",Mostly Online w/ In-Person Mtg,Sa 1:00-2:15PM
12310,ECON 201 - Principles of Microeconomics,"51-LEC
Regular","Zoom
Online
SGMH 1307 - Lecture
SGMH 1307 - Lecture",Mostly Online w/ In-Person Mtg,Sa 1:00-2:15PM
12322,ECON 201 - Principles of Microeconomics,"52-LEC
Regular","Zoom
Online
SGMH 1307 - Lecture
SGMH 1307 - Lecture",Mostly Online w/ In-Person Mtg,Sa 1:00-2:15PM
20099,ECON 201 - Principles of Microeconomics,"53-LEC
Regular",Online,Mostly Online w/ In-Person Mtg,TBA
20094,ECON 202 - Principles of Macroeconomics,"01-LEC
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 8:30-9:45AM
12237,ECON 202 - Principles of Macroeconomics,"03-LEC
Regular",SGMH 2504 - Computer Lab,In Person,MoWe 11:30AM-12:45PM
12431,ECON 202 - Principles of Macroeconomics,"07-LEC
Regular",SGMH 2501 - Lecture,In Person,Mo 7:00-9:45PM
12493,ECON 202 - Principles of Macroeconomics,"08-LEC
Regular",SGMH 1506 - Lecture,In Person,TuTh 8:30-9:45AM
