Class ID,Class Name,Section,Room,Instruction Type,Time
14285,EDAD 502 - Clear Administrative Services Credential Program (CASC): Coaching,"01-SUP
Regular",Online,Fully Online,TBA
14262,EDAD 510 - Instructional Leadership and Assessment B,"01-SEM
Regular",Online,Fully Online,TBA
14250,EDAD 510 - Instructional Leadership and Assessment B,"02-SEM
Regular",Online,Fully Online,TBA
14282,EDAD 510 - Instructional Leadership and Assessment B,"51-SEM
Regular","CP 127 - Lecture Room
Online
CP 126 - Lecture Room
CP 127 - Lecture Room",Mostly Online w/ In-Person Mtg,"Sa 9:00AM-12:00PM
TBA
Sa 9:00AM-12:00PM
Sa 9:00AM-12:00PM"
14192,EDAD 520 - History and Function of Community Colleges,"48-SEM
Regular","TBA
TBA
TBA
TBA
TBA",In Person,"Sa 9:00AM-5:00PM
Sa 9:00AM-5:00PM
Sa 9:00AM-5:00PM
Sa 9:00AM-5:00PM
Sa 12:00AM-12:00AM"
20920,EDAD 522 - College Student Characteristics and Cultures,"01-SEM
Regular",LH 315 - Lecture Room,In Person,Mo 7:00-9:45PM
20921,EDAD 522 - College Student Characteristics and Cultures,"02-SEM
Regular",LH 306 - Lecture Room,In Person,Mo 4:00-6:45PM
20922,EDAD 524 - Diversity Access and Equity,"01-SEM
Regular",LH 315 - Lecture Room,In Person,Mo 4:00-6:45PM
20923,EDAD 524 - Diversity Access and Equity,"02-SEM
Regular",LH 315B - Lecture Room,In Person,Mo 7:00-9:45PM
20641,EDAD 561 - Political Leadership,"01-SEM
Regular",Online,Fully Online,TBA
20642,EDAD 561 - Political Leadership,"02-SEM
Regular",Online,Fully Online,TBA
14251,EDAD 566 - Community Engagement for School Leaders,"51-SEM
Regular","SGMH 1113 - Lecture
Online
SGMH 1113 - Lecture
SGMH 1113 - Lecture",Mostly Online w/ In-Person Mtg,Sa 1:00-4:00PM
14280,EDAD 568 - Higher Ed Fieldwork,"47-SUP
Regular",LH 315 - Lecture Room,In Person,We 4:00-6:45PM
14208,EDAD 568 - Higher Ed Fieldwork,"49-SUP
Regular",LH 306 - Lecture Room,In Person,We 7:00-9:45PM
14281,EDAD 595 - Professional Seminar in Higher Education,"47-SEM
Regular",LH 315 - Lecture Room,In Person,We 7:00-9:45PM
14238,EDAD 595 - Professional Seminar in Higher Education,"49-SEM
Regular",LH 306 - Lecture Room,In Person,We 4:00-6:45PM
14261,EDAD 597 - Project,"50-SEM
Regular","SGMH 2207 - Lecture
Online
SGMH 2207 - Lecture
SGMH 2207 - Lecture",Mostly Online w/ In-Person Mtg,"Sa 9:00AM-4:00PM
TBA
Sa 9:00AM-4:00PM
Sa 9:00AM-4:00PM"
