Class ID,Class Name,Section,Room,Instruction Type,Time
14979,ENGL 101 - Beginning College Writing,"01-DIS
Regular",GH 206 - Lecture Room,In Person,MoWeFr 7:00-7:50AM
16449,ENGL 101 - Beginning College Writing,"05-DIS
Regular",GH 203 - Seminar,In Person,MoWeFr 8:00-8:50AM
16450,ENGL 101 - Beginning College Writing,"06-DIS
Regular",GH 202 - Seminar,In Person,MoWeFr 8:00-8:50AM
16453,ENGL 101 - Beginning College Writing,"09-DIS
Regular",GH 203 - Seminar,In Person,MoWeFr 9:00-9:50AM
16454,ENGL 101 - Beginning College Writing,"10-DIS
Regular",GH 202 - Seminar,In Person,MoWeFr 9:00-9:50AM
16455,ENGL 101 - Beginning College Writing,"11-DIS
Regular",Hum 126 - Lecture Room,In Person,MoWeFr 9:00-9:50AM
16457,ENGL 101 - Beginning College Writing,"13-DIS
Regular",GH 203 - Seminar,In Person,MoWeFr 10:00-10:50AM
16458,ENGL 101 - Beginning College Writing,"14-DIS
Regular",GH 207 - Lecture Room,In Person,MoWeFr 10:00-10:50AM
16828,ENGL 101 - Beginning College Writing,"15-DIS
Regular",GH 204 - ALP owned,In Person,MoWeFr 10:00-10:50AM
16460,ENGL 101 - Beginning College Writing,"19-DIS
Regular",GH 203 - Seminar,In Person,MoWeFr 11:00-11:50AM
16958,ENGL 101 - Beginning College Writing,"1A-DIS
Regular",Hum 415 - Lecture Room,In Person,TuTh 1:00-2:15PM
16959,ENGL 101 - Beginning College Writing,"1B-DIS
Regular",GH 203 - Seminar,In Person,TuTh 1:00-2:15PM
16960,ENGL 101 - Beginning College Writing,"1C-DIS
Regular",GH 202 - Seminar,In Person,TuTh 1:00-2:15PM
16961,ENGL 101 - Beginning College Writing,"1D-DIS
Regular",GH 206 - Lecture Room,In Person,TuTh 1:00-2:15PM
16962,ENGL 101 - Beginning College Writing,"1E-DIS
Regular",GH 337 - Lecture Room,In Person,TuTh 1:00-2:15PM
16963,ENGL 101 - Beginning College Writing,"1F-DIS
Regular",GH 333 - Lecture Room,In Person,TuTh 1:00-2:15PM
16964,ENGL 101 - Beginning College Writing,"1G-DIS
Regular",GH 204 - ALP owned,In Person,TuTh 1:00-2:15PM
16965,ENGL 101 - Beginning College Writing,"1H-DIS
Regular",GH 207 - Lecture Room,In Person,TuTh 1:00-2:15PM
16966,ENGL 101 - Beginning College Writing,"1I-DIS
Regular",LH 403A - Lecture Room,In Person,TuTh 1:00-2:15PM
16967,ENGL 101 - Beginning College Writing,"1J-DIS
Regular",Hum 415 - Lecture Room,In Person,TuTh 2:30-3:45PM
16968,ENGL 101 - Beginning College Writing,"1K-DIS
Regular",GH 203 - Seminar,In Person,TuTh 2:30-3:45PM
16969,ENGL 101 - Beginning College Writing,"1L-DIS
Regular",GH 202 - Seminar,In Person,TuTh 2:30-3:45PM
16970,ENGL 101 - Beginning College Writing,"1M-DIS
Regular",GH 206 - Lecture Room,In Person,TuTh 2:30-3:45PM
16971,ENGL 101 - Beginning College Writing,"1N-DIS
Regular",GH 207 - Lecture Room,In Person,TuTh 2:30-3:45PM
16987,ENGL 101 - Beginning College Writing,"1O-DIS
Regular",LH 301 - Lecture Room,In Person,TuTh 2:30-3:45PM
16988,ENGL 101 - Beginning College Writing,"1P-DIS
Regular",EC 165 - Lecture Room,In Person,TuTh 2:30-3:45PM
16989,ENGL 101 - Beginning College Writing,"1Q-DIS
Regular",Hum 415 - Lecture Room,In Person,TuTh 4:00-5:15PM
17000,ENGL 101 - Beginning College Writing,"1S-DIS
Regular",GH 206 - Lecture Room,In Person,TuTh 4:00-5:15PM
19872,ENGL 101 - Beginning College Writing,"1U-DIS
Regular",MH 406 - Lecture Room,In Person,TuTh 4:00-5:15PM
19873,ENGL 101 - Beginning College Writing,"1V-DIS
Regular",GH 240 - Seminar,In Person,TuTh 4:00-5:15PM
19941,ENGL 101 - Beginning College Writing,"1X-DIS
Regular",GH 336 - Lecture Room,In Person,TuTh 4:00-5:15PM
16858,ENGL 101 - Beginning College Writing,"1Z-DIS
Regular",GH 206 - Lecture Room,In Person,TuTh 5:30-6:45PM
16461,ENGL 101 - Beginning College Writing,"20-DIS
Regular",GH 202 - Seminar,In Person,MoWeFr 11:00-11:50AM
16462,ENGL 101 - Beginning College Writing,"21-DIS
Regular",GH 204 - ALP owned,In Person,MoWeFr 11:00-11:50AM
16463,ENGL 101 - Beginning College Writing,"22-DIS
Regular",GH 207 - Lecture Room,In Person,MoWeFr 11:00-11:50AM
