Class ID,Class Name,Section,Room,Instruction Type,Time
12084,FIN 310 - Personal Financial Management,"01-LEC
Regular",CP 125 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
11960,FIN 310 - Personal Financial Management,"03-LEC
Regular",SGMH 1313 - Lecture,In Person,We 7:00-9:45PM
20173,FIN 310 - Personal Financial Management,"05-LEC
Regular",SGMH 1117 - Lecture,In Person,MoWe 2:30-3:45PM
12289,FIN 310 - Personal Financial Management,"06-LEC
Regular",SGMH 2508 - Computer Lab,In Person,MoWe 2:30-3:45PM
12290,FIN 310 - Personal Financial Management,"07-LEC
Regular",SGMH 1313 - Lecture,In Person,Tu 7:00-9:45PM
12295,FIN 310 - Personal Financial Management,"08-LEC
Regular",SGMH 2307 - Lecture,In Person,MoWe 4:00-5:15PM
12328,FIN 310 - Personal Financial Management,"09-LEC
Regular",SGMH 1117 - Lecture,In Person,Sa 10:00AM-12:45PM
12329,FIN 310 - Personal Financial Management,"10-LEC
Regular",SGMH 1313 - Lecture,In Person,Th 7:00-9:45PM
12206,FIN 310 - Personal Financial Management,"11-LEC
Regular",LH 315B - Lecture Room,In Person,Mo 7:00-9:45PM
12340,FIN 310 - Personal Financial Management,"12-LEC
Regular",GH 339 - Lecture Room,In Person,TuTh 10:00-11:15AM
12341,FIN 310 - Personal Financial Management,"13-LEC
Regular",LH 306 - Lecture Room,In Person,Tu 4:00-6:45PM
12394,FIN 310 - Personal Financial Management,"14-LEC
Regular",LH 315B - Lecture Room,In Person,Tu 7:00-9:45PM
12292,FIN 310 - Personal Financial Management,"50-LEC
Regular",Online,Fully Online,TBA
12291,FIN 310 - Personal Financial Management,"51-LEC
Regular",Zoom,Fully Online,We 7:00-9:45PM
12448,FIN 310 - Personal Financial Management,"52-LEC
Regular",Online,Fully Online,TBA
12083,FIN 320 - Financial Management I,"01-LEC
Regular",SGMH 1506 - Lecture,In Person,MoWe 10:00-11:15AM
11846,FIN 320 - Financial Management I,"02-LEC
Regular",SGMH 1313 - Lecture,In Person,MoWe 11:30AM-12:45PM
11902,FIN 320 - Financial Management I,"03-LEC
Regular",SGMH 1506 - Lecture,In Person,MoWe 1:00-2:15PM
12349,FIN 320 - Financial Management I,"04-LEC
Regular",SGMH 1313 - Lecture,In Person,MoWe 2:30-3:45PM
11961,FIN 320 - Financial Management I,"05-LEC
Regular",SGMH 1313 - Lecture,In Person,TuTh 11:30AM-12:45PM
12226,FIN 320 - Financial Management I,"06-LEC
Regular",SGMH 1313 - Lecture,In Person,TuTh 4:00-5:15PM
11847,FIN 320 - Financial Management I,"07-LEC
Regular",SGMH 1117 - Lecture,In Person,TuTh 11:30AM-12:45PM
11938,FIN 320 - Financial Management I,"08-LEC
Regular",SGMH 1313 - Lecture,In Person,TuTh 2:30-3:45PM
