Class ID,Class Name,Section,Room,Instruction Type,Time
12537,FIN 310 - Personal Financial Management,"07-LEC
Regular",SGMH 1117 - Lecture,In Person,TuTh 11:30AM-12:45PM
20838,FIN 310 - Personal Financial Management,"10-LEC
Regular",LH 404 - Lecture Room,In Person,Th 7:00-9:45PM
12560,FIN 310 - Personal Financial Management,"11-LEC
Regular",SGMH 1117 - Lecture,In Person,We 7:00-9:45PM
12769,FIN 310 - Personal Financial Management,"16-LEC
Regular",SGMH 1313 - Lecture,In Person,Mo 7:00-9:45PM
12175,FIN 320 - Financial Management I,"05-LEC
Regular",SGMH 1313 - Lecture,In Person,MoWe 4:00-5:15PM
20863,FIN 321 - Financial Management II,"03-DIS
Regular",SGMH 1308 - Lecture,In Person,MoWe 1:00-2:15PM
20864,FIN 321 - Financial Management II,"08-DIS
Regular",SGMH 1313 - Lecture,In Person,MoWe 10:00-11:15AM
21619,FIN 321 - Financial Management II,"09-DIS
Regular",SGMH 1313 - Lecture,In Person,TuTh 1:00-2:15PM
20865,FIN 328 - General Principles of Professional Financial Planning,"01-LEC
Regular",SGMH 1109 - Lecture,In Person,TuTh 5:30-6:45PM
12669,FIN 331 - Working Capital Management and Computer Applications,"01-LEC
Regular",SGMH 1117 - Lecture,In Person,MoWe 8:30-9:45AM
12488,FIN 335 - Financial Analysis for Investors and Lenders,"02-LEC
Regular",SGMH 2307 - Lecture,In Person,Mo 7:00-9:45PM
12167,FIN 340 - Introduction to Investments,"02-LEC
Regular",SGMH 2308A - Computer Lab,In Person,TuTh 10:00-11:15AM
12213,FIN 340 - Introduction to Investments,"03-LEC
Regular",SGMH 2308A - Computer Lab,In Person,TuTh 1:00-2:15PM
12418,FIN 340 - Introduction to Investments,"06-LEC
Regular",SGMH 2308A - Computer Lab,In Person,MoWe 4:00-5:15PM
20870,FIN 340 - Introduction to Investments,"09-LEC
Regular",SGMH 2504 - Computer Lab,In Person,TuTh 2:30-3:45PM
12435,FIN 340 - Introduction to Investments,"50-LEC
Regular","Online
Zoom
Zoom",Fully Online,"TBA
Fr 3:00PM-4:15PM
Fr 3:00PM-4:15PM"
12485,FIN 341 - Student Managed Investment Fund,"01-DIS
Regular",SGMH 2308A - Computer Lab,In Person,Tu 2:30-3:30PM
12486,FIN 341 - Student Managed Investment Fund,"02-DIS
Regular",SGMH 2308A - Computer Lab,In Person,Th 2:30-3:30PM
21580,FIN 341 - Student Managed Investment Fund,"03-DIS
Regular",SGMH 2109 - Computer Lab,In Person,Th 11:30AM-12:30PM
12159,FIN 342 - Capital and Money Markets,"01-LEC
Regular",SGMH 1307 - Lecture,In Person,TuTh 1:00-2:15PM
12408,FIN 355 - Real Estate Investment Analysis,"01-LEC
Regular",SGMH 2508 - Computer Lab,In Person,TuTh 1:00-2:15PM
12506,FIN 360 - Principles of Risk Management and Insurance,"02-LEC
Regular",SGMH 1117 - Lecture,In Person,Th 7:00-9:45PM
21907,FIN 379 - Fundamentals of Cryptocurrencies,"01-LEC
Regular",GH 208 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
12625,FIN 408 - Retirement Planning,"01-LEC
Regular",SGMH 2308A - Computer Lab,In Person,Tu 7:00-9:45PM
12294,FIN 415 - Quantitative Theory of Interest,"01-LEC
Regular",SGMH 1117 - Lecture,In Person,TuTh 5:30-6:45PM
12057,FIN 425 - Commercial Bank and Financial Institution Management,"01-LEC
Regular",LH 318 - Lecture Room,In Person,Tu 7:00-9:45PM
12232,FIN 432 - Financial Forecasting and Budgeting,"02-LEC
Regular",SGMH 1117 - Lecture,In Person,Mo 7:00-9:45PM
21616,FIN 442 - Portfolio Management for Stocks and Bonds,"02-LEC
Regular",SGMH 2308A - Computer Lab,In Person,Th 7:00-9:45PM
20904,FIN 443B - Advanced Security Analysis for Stocks,"01-LEC
Regular",SGMH 2308A - Computer Lab,In Person,TuTh 4:00-5:15PM
12383,FIN 444 - Options and Futures,"02-LEC
Regular",SGMH 2307 - Lecture,In Person,MoWe 11:30AM-12:45PM
21618,FIN 444 - Options and Futures,"03-LEC
Regular",SGMH 1117 - Lecture,In Person,MoWe 10:00-11:15AM
21235,FIN 451 - Real Estate Practice,"01-LEC
Regular",LH 307 - Lecture Room,In Person,Tu 7:00-9:45PM
12543,FIN 462 - Life and Health Insurance,"01-LEC
Regular",SGMH 2307 - Lecture,In Person,Tu 7:00-9:45PM
12736,"FIN 463 - Professional Ethics, Corporate Compliance and Regulation","01-SEM
Regular",SGMH 1313 - Lecture,In Person,We 7:00-9:45PM
12058,FIN 495 - Internship,"01-SUP
Regular",Zoom,Fully Online,Tu 7:00-9:45PM
12608,FIN 495 - Internship,"02-SUP
Regular",Zoom,Fully Online,We 7:00-9:45PM
20911,FIN 517 - Managerial Finance,"02-SEM
Regular",Zoom,Fully Online,Tu 7:00-9:45PM
12487,FIN 523 - Seminar in Corporate Financial Management,"01-SEM
Regular",SGMH 2308A - Computer Lab,In Person,Mo 7:00-9:45PM
12237,FIN 541 - Seminar in Investment Management,"01-SEM
Regular",SGMH 2308A - Computer Lab,In Person,We 7:00-9:45PM
20912,FIN 551 - Seminar in Real Estate Investment,"01-SEM
Regular",LH 403B - Lecture Room,In Person,Tu 7:00-9:45PM
12588,FIN 560 - Corporate Risk Management and Insurance Seminar,"50-SEM
Regular",Online,Fully Online,TBA
