Class ID,Class Name,Section,Room,Instruction Type,Time
16716,FREN 101 - Fundamental French-A,"01-DIS
Regular",Hum 325 - Language Lab,In Person,MoWe 11:30AM-12:45PM
16715,FREN 101 - Fundamental French-A,"02-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 1:00-2:15PM
16009,FREN 101 - Fundamental French-A,"50-DIS
Regular",Online,Fully Online,TBA
16081,FREN 101 - Fundamental French-A,"51-DIS
Regular",Online,Fully Online,TBA
16175,FREN 101 - Fundamental French-A,"52-DIS
Regular",Online,Fully Online,TBA
16176,FREN 101 - Fundamental French-A,"53-DIS
Regular",Online,Fully Online,TBA
15852,FREN 102 - Fundamental French-B,"01-DIS
Regular",Hum 321A - Lecture Room,In Person,MoWe 1:00-2:15PM
21259,FREN 203 - Intermediate French-A,"50-DIS
Regular",Online,Fully Online,TBA
14987,FREN 315 - Origins of Modern France,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
15600,FREN 375 - Explorations in Literature,"50-DIS
Regular",Online,Fully Online,TBA
19691,FREN 407 - French Film,"50-SEM
Regular",Online,Fully Online,TBA
19692,FREN 466 - Introduction to French Linguistics,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,TuTh 2:30-3:45PM
