Class ID,Class Name,Section,Room,Instruction Type,Time
20495,GEOG 100 - Global Geography,"50-LEC
Regular",Online,Fully Online,TBA
16585,GEOG 120 - Global Environmental Problems,"01-LEC
Regular",Hum 412 - Lecture Room,In Person,MoWe 2:30-3:45PM
16867,GEOG 180 - Digital Earth: Introduction to Geospatial Technologies,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,MoWe 10:00-11:15AM
21363,GEOG 183 - Welcome to Geography: Mapping the First Year,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,Fr 10:00AM-1:00PM
17815,GEOG 283 - Introduction to Spatial Data,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,MoWe 2:30-3:45PM
17415,GEOG 313 - Natural Vegetation,"01-LEC
Regular",Hum 412 - Lecture Room,In Person,TuTh 10:00-11:15AM
16868,GEOG 329 - Cities and Nature,"02-DIS
Regular",Hum 409 - Lecture Room,In Person,MoWe 2:30-3:45PM
17818,GEOG 329 - Cities and Nature,"04-DIS
Regular",Hum 409 - Lecture Room,In Person,TuTh 2:30-3:45PM
17821,GEOG 432 - Ecotourism,"01-SEM
Regular",Hum 422 - Geography Lab,In Person,We 4:00-6:45PM
16543,GEOG 481 - Geographic Information Systems: Introduction,"01-DIS
Regular",Hum 422 - Geography Lab,In Person,Tu 7:00-8:15PM
16544,GEOG 481 - Geographic Information Systems: Introduction,"02-LAB
Regular",Hum 422 - Geography Lab,In Person,Tu 8:30-9:45PM
17960,GEOG 485 - Geographic Information Systems: Principles and Applications,"01-ACT
Regular",Hum 422 - Geography Lab,In Person,Mo 7:00-9:45PM
17420,GEOG 489 - Digital Image Processing,"01-SEM
Regular",H 419 - Remote Sensing Lab,In Person,We 7:00-9:45PM
15829,GEOG 495 - Internship in Applied Geography,"01-SUP
Regular",TBA,In Person,TBA
17046,GEOG 495 - Internship in Applied Geography,"02-SUP
Regular",TBA,In Person,TBA
17047,GEOG 495 - Internship in Applied Geography,"03-SUP
Regular",TBA,In Person,TBA
20504,GEOG 500 - Geographic Research Design,"01-SEM
Regular",Hum 422 - Geography Lab,In Person,Mo 4:00-6:45PM
21444,GEOG 520 - Seminar in Physical Geography,"01-SEM
Regular",H 419 - Remote Sensing Lab,In Person,We 4:00-6:45PM
16987,GEOG 597 - Project,"01-SUP
Regular",TBA,In Person,TBA
17568,GEOG 597 - Project,"02-SUP
Regular",TBA,In Person,TBA
17569,GEOG 597 - Project,"03-SUP
Regular",TBA,In Person,TBA
17570,GEOG 597 - Project,"04-SUP
Regular",TBA,In Person,TBA
17571,GEOG 597 - Project,"05-SUP
Regular",TBA,In Person,TBA
17572,GEOG 597 - Project,"06-SUP
Regular",TBA,In Person,TBA
17573,GEOG 597 - Project,"07-SUP
Regular",TBA,In Person,TBA
17574,GEOG 597 - Project,"08-SUP
Regular",TBA,In Person,TBA
17575,GEOG 597 - Project,"09-SUP
Regular",TBA,In Person,TBA
