Class ID,Class Name,Section,Room,Instruction Type,Time
16152,HIST 110A - World Civilizations to the 16th Century,"04-LEC
Regular",MH 453 - Lecture Room,In Person,MoWe 2:30-3:45PM
19749,HIST 110A - World Civilizations to the 16th Century,"05-LEC
Regular",MH 453 - Lecture Room,In Person,MoWe 8:30-9:45AM
16544,HIST 110A - World Civilizations to the 16th Century,"06-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 1:00-2:15PM
19750,HIST 110A - World Civilizations to the 16th Century,"07-LEC
Regular",MH 406 - Lecture Room,In Person,TuTh 10:00-11:15AM
16153,HIST 110A - World Civilizations to the 16th Century,"08-LEC
Regular",MH 406 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
16756,HIST 110A - World Civilizations to the 16th Century,"10-LEC
Regular",MH 453 - Lecture Room,In Person,TuTh 8:30-9:45AM
20700,HIST 110A - World Civilizations to the 16th Century,"11-LEC
Regular",MH 453 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
16155,HIST 110A - World Civilizations to the 16th Century,"50-LEC
Regular",Online,Fully Online,TBA
19751,HIST 110A - World Civilizations to the 16th Century,"51-LEC
Regular",Online,Fully Online,TBA
16157,HIST 110B - World Civilizations Since the 16th Century,"50-LEC
Regular",Online,Fully Online,TBA
16159,HIST 110B - World Civilizations Since the 16th Century,"52-LEC
Regular",Online,Fully Online,TBA
16160,HIST 110B - World Civilizations Since the 16th Century,"53-LEC
Regular",Online,Fully Online,TBA
16717,HIST 170A - United States to 1877,"02-LEC
Regular",Hum 509 - Lecture Room,In Person,MoWe 1:00-2:15PM
19769,HIST 170A - United States to 1877,"07-LEC
Regular",MH 406 - Lecture Room,In Person,TuTh 1:00-2:15PM
19770,HIST 170A - United States to 1877,"08-LEC
Regular",MH 453 - Lecture Room,In Person,TuTh 10:00-11:15AM
16162,HIST 170B - United States Since 1877,"01-LEC
Regular",MH 453 - Lecture Room,In Person,MoWe 1:00-2:15PM
16548,HIST 170B - United States Since 1877,"02-LEC
Regular",Hum 509 - Lecture Room,In Person,MoWe 10:00-11:15AM
16163,HIST 170B - United States Since 1877,"03-LEC
Regular",Hum 509 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
16164,HIST 170B - United States Since 1877,"04-LEC
Regular",Hum 509 - Lecture Room,In Person,MoWe 2:30-3:45PM
16279,HIST 170B - United States Since 1877,"05-LEC
Regular",Hum 509 - Lecture Room,In Person,MoWe 8:30-9:45AM
16547,HIST 170B - United States Since 1877,"06-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 1:00-2:15PM
19785,HIST 170B - United States Since 1877,"08-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 10:00-11:15AM
19786,HIST 170B - United States Since 1877,"09-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
19787,HIST 170B - United States Since 1877,"10-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 2:30-3:45PM
19788,HIST 170B - United States Since 1877,"11-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 8:30-9:45AM
16595,HIST 180 - Survey of American History,"01-LEC
Regular",Hum 121 - Lecture Room,In Person,Mo 4:00-6:45PM
16593,HIST 180 - Survey of American History,"03-LEC
Regular",Hum 509 - Lecture Room,In Person,Tu 4:00-6:45PM
16592,HIST 180 - Survey of American History,"04-LEC
Regular",Hum 509 - Lecture Room,In Person,Tu 7:00-9:45PM
16591,HIST 180 - Survey of American History,"05-LEC
Regular",Hum 509 - Lecture Room,In Person,Th 4:00-6:45PM
16597,HIST 180 - Survey of American History,"08-LEC
Regular",Hum 509 - Lecture Room,In Person,We 7:00-9:45PM
20105,HIST 180 - Survey of American History,"09-LEC
Regular",Hum 121 - Lecture Room,In Person,We 4:00-6:45PM
20589,HIST 180 - Survey of American History,"12-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 2:30-3:45PM
