Class ID,Class Name,Section,Room,Instruction Type,Time
17427,HIST 110A - World Civilizations to the 16th Century,"03-LEC
Regular",MH 406 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
17434,HIST 170A - United States to 1877,"02-LEC
Regular",Hum 509 - Lecture Room,In Person,MoWe 8:30-9:45AM
20199,HIST 170A - United States to 1877,"09-LEC
Regular",MH 406 - Lecture Room,In Person,TuTh 2:30-3:45PM
20200,HIST 170B - United States Since 1877,"02-LEC
Regular",Hum 121 - Lecture Room,In Person,MoWe 8:30-9:45AM
20205,HIST 170B - United States Since 1877,"07-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
20219,HIST 180 - Survey of American History,"59-LEC
Regular",Online,Fully Online,TBA
17443,HIST 190 - Survey of American History with Emphasis on Ethnic Minorities,"01-DIS
Regular",Hum 509 - Lecture Room,In Person,Mo 4:00-6:45PM
20329,HIST 190 - Survey of American History with Emphasis on Ethnic Minorities,"09-DIS
Regular",Hum 121 - Lecture Room,In Person,TuTh 1:00-2:15PM
20257,HIST 231 - Roar of Cannons: Modern War and Society,"01-LEC
Regular",Hum 121 - Lecture Room,In Person,MoWe 10:00-11:15AM
17446,HIST 300A - Historical Thinking,"01-SEM
Regular",Hum 323 - Lecture Room,In Person,MoWe 10:00-11:15AM
20259,HIST 300A - Historical Thinking,"02-SEM
Regular",Hum 323 - Lecture Room,In Person,We 7:00-9:45PM
20261,HIST 300A - Historical Thinking,"04-SEM
Regular",Hum 323 - Lecture Room,In Person,TuTh 2:30-3:45PM
17450,HIST 310 - The California Experience,"01-LEC
Regular",Hum 509 - Lecture Room,In Person,TuTh 8:30-9:45AM
20274,HIST 320 - Modern European History 1789 - Present,"02-DIS
Regular",Hum 121 - Lecture Room,In Person,TuTh 10:00-11:15AM
17679,HIST 330 - History of Early Science and Technology,"03-LEC
Regular",Hum 121 - Lecture Room,In Person,Th 4:00-6:45PM
21228,HIST 330 - History of Early Science and Technology,"05-LEC
Regular",Hum 509 - Lecture Room,In Person,We 4:00-6:45PM
17919,HIST 377 - Women's Image in American Film,"01-DIS
Regular",Hum 121 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
21230,HIST 377 - Women's Image in American Film,"03-DIS
Regular",Hum 509 - Lecture Room,In Person,Th 4:00-6:45PM
21231,HIST 395 - World War I,"03-LEC
Regular",Hum 509 - Lecture Room,In Person,Th 7:00-9:45PM
17456,HIST 435A - The Holocaust,"01-DIS
Regular",Hum 126 - Lecture Room,In Person,We 4:00-6:45PM
17457,HIST 435C - The Spanish Civil War,"01-DIS
Regular",Hum 121 - Lecture Room,In Person,TuTh 2:30-3:45PM
20294,"HIST 436A - Cities in European Civilization, 1000-1915","01-DIS
Regular",Hum 509 - Lecture Room,In Person,Tu 7:00-9:45PM
20297,HIST 463C - Themes in Korean History,"01-DIS
Regular",Hum 126 - Lecture Room,In Person,Mo 7:00-9:45PM
17459,HIST 490T - Senior Seminar,"02-SEM
Regular",Hum 121 - Lecture Room,In Person,Mo 4:00-6:45PM
17460,HIST 490T - Senior Seminar,"03-SEM
Regular",Hum 530 - Lecture Room,In Person,TuTh 1:00-2:15PM
15850,HIST 498 - History Internship,"01-SUP
Regular",TBA,In Person,TBA
17462,HIST 501 - Theory and History,"01-SEM
Regular",Hum 121 - Lecture Room,In Person,We 7:00-9:45PM
20299,HIST 552T - Seminar in World and Comparative History,"01-SEM
Regular",Hum 323 - Lecture Room,In Person,Tu 7:00-9:45PM
17465,HIST 572 - Seminar in American History,"01-SEM
Regular",Zoom,Fully Online,Th 7:00-9:45PM
15879,HIST 596 - Graduate Internship in History,"01-SUP
Regular",TBA,In Person,TBA
16226,HIST 597 - History Project,"01-SUP
Regular",TBA,In Person,TBA
15880,HIST 597 - History Project,"02-SUP
Regular",TBA,In Person,TBA
15881,HIST 597 - History Project,"03-SUP
Regular",TBA,In Person,TBA
15882,HIST 597 - History Project,"04-SUP
Regular",TBA,In Person,TBA
16227,HIST 597 - History Project,"05-SUP
Regular",TBA,In Person,TBA
16228,HIST 597 - History Project,"06-SUP
Regular",TBA,In Person,TBA
16137,HIST 597 - History Project,"07-SUP
Regular",TBA,In Person,TBA
16138,HIST 597 - History Project,"08-SUP
Regular",TBA,In Person,TBA
16145,HIST 597 - History Project,"15-SUP
Regular",TBA,In Person,TBA
15883,HIST 598 - Thesis,"01-SUP
Regular",TBA,In Person,TBA
15884,HIST 598 - Thesis,"02-SUP
Regular",TBA,In Person,TBA
15888,HIST 598 - Thesis,"06-SUP
Regular",TBA,In Person,TBA
15920,HIST 599 - Independent Graduate Research,"10-SUP
Regular",TBA,In Person,TBA
16250,HIST 599 - Independent Graduate Research,"36-SUP
Regular",TBA,In Person,TBA
