Class ID,Class Name,Section,Room,Instruction Type,Time
13786,HUSR 201 - Introduction to Human Services,"01-LEC
Regular",EC 044 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
13826,HUSR 201 - Introduction to Human Services,"03-LEC
Regular",GH 302 - Lecture Room,In Person,MoWe 8:30-9:45AM
14670,HUSR 201 - Introduction to Human Services,"04-LEC
Regular",EC 203 - Lecture Room,In Person,MoWe 2:30-3:45PM
19963,HUSR 201 - Introduction to Human Services,"06-LEC
Regular",EC 044 - Lecture Room,In Person,TuTh 10:00-11:15AM
13788,HUSR 201 - Introduction to Human Services,"50-LEC
Regular",Online,Fully Online,TBA
13787,HUSR 201 - Introduction to Human Services,"51-LEC
Regular",Online,Fully Online,TBA
14582,HUSR 201 - Introduction to Human Services,"52-LEC
Regular",Online,Fully Online,TBA
14868,HUSR 201 - Introduction to Human Services,"53-LEC
Regular",Online,Fully Online,TBA
13815,HUSR 300 - Character and Conflict,"01-LEC
Regular",EC 067 - Lecture Room,In Person,Th 1:00-3:45PM
13789,HUSR 300 - Character and Conflict,"02-LEC
Regular",EC 044 - Lecture Room,In Person,Fr 11:00AM-1:45PM
19964,HUSR 300 - Character and Conflict,"04-LEC
Regular",EC 007 - Lecture Room,In Person,Tu 1:00-3:45PM
13834,HUSR 300 - Character and Conflict,"05-LEC
Regular",EC 007 - Lecture Room,In Person,Mo 1:00-3:45PM
13791,HUSR 310 - Case Management,"01-LEC
Regular",EC 125 - Computer Lab,In Person,TuTh 10:00-11:15AM
21185,HUSR 310 - Case Management,"04-LEC
Regular",LH 403A - Lecture Room,In Person,MoWe 4:00-5:15PM
13821,HUSR 310 - Case Management,"50-LEC
Regular",Online,Fully Online,TBA
14496,HUSR 310 - Case Management,"51-LEC
Regular",Online,Fully Online,TBA
21351,HUSR 310 - Case Management,"52-LEC
Regular",Online,Fully Online,TBA
13831,HUSR 315 - Research and Data Management in Human Services,"01-DIS
Regular",EC 125 - Computer Lab,In Person,MoWe 10:00-11:15AM
13814,HUSR 315 - Research and Data Management in Human Services,"50-DIS
Regular",Online,Fully Online,TBA
13844,HUSR 318 - Human Services for Immigrants and Refugees,"50-LEC
Regular",Online,Fully Online,TBA
13792,HUSR 350 - Leadership Skills and Personal Development,"02-LEC
Regular",EC 007 - Lecture Room,In Person,Th 4:00-6:45PM
13835,HUSR 350 - Leadership Skills and Personal Development,"07-LEC
Regular",EC 007 - Lecture Room,In Person,MoWe 8:30-9:45AM
13848,HUSR 350 - Leadership Skills and Personal Development,"51-LEC
Regular",Online,Fully Online,TBA
13793,HUSR 380 - Theories and Techniques of Counseling,"01-LEC
Regular",Online,Fully Online,TBA
13794,HUSR 380 - Theories and Techniques of Counseling,"02-LEC
Regular",EC 032 - Lecture Room,In Person,Th 4:00-6:45PM
13832,HUSR 380 - Theories and Techniques of Counseling,"03-LEC
Regular",EC 007 - Lecture Room,In Person,MoWe 10:00-11:15AM
13836,HUSR 380 - Theories and Techniques of Counseling,"04-LEC
Regular",EC 067 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
13818,HUSR 380 - Theories and Techniques of Counseling,"05-LEC
Regular",KHS 199 - Lecture Room,In Person,We 4:00-6:45PM
19965,HUSR 380 - Theories and Techniques of Counseling,"06-LEC
Regular",MOD 109 - Computer Lab (PC),In Person,TuTh 1:00-2:15PM
13822,HUSR 380 - Theories and Techniques of Counseling,"50-LEC
Regular",Online,Fully Online,TBA
14497,HUSR 380 - Theories and Techniques of Counseling,"51-LEC
Regular",Online,Fully Online,TBA
13840,HUSR 385 - Program Design and Proposal Writing,"05-LEC
Regular",EC 125 - Computer Lab,In Person,MoWe 11:30AM-12:45PM
14498,HUSR 385 - Program Design and Proposal Writing,"06-LEC
Regular",EC 125 - Computer Lab,In Person,TuTh 1:00-2:15PM
13850,HUSR 385 - Program Design and Proposal Writing,"50-LEC
Regular",Online,Fully Online,TBA
13846,HUSR 385 - Program Design and Proposal Writing,"51-LEC
Regular",Online,Fully Online,TBA
13851,HUSR 396 - Practicum Seminar,"50-DIS
Regular",Online,Fully Online,TBA
14391,HUSR 396 - Practicum Seminar,"52-DIS
Regular",Online,Fully Online,TBA
14392,HUSR 396 - Practicum Seminar,"53-CLN
Regular",Online,Fully Online,TBA
13847,HUSR 399 - Peer Mentoring for HUSR Student Success,"01-SEM
Regular",EC 044 - Lecture Room,In Person,Tu 4:00-6:45PM
14692,HUSR 400 - Ethical and Professional Issues in Human Services,"50-DIS
Regular",Online,Fully Online,TBA
13796,HUSR 410 - Crisis Intervention for Para-Professionals,"01-DIS
Regular",EC 008 - Lecture Room,In Person,TuTh 8:30-9:45AM
13823,HUSR 410 - Crisis Intervention for Para-Professionals,"02-DIS
Regular",EC 023 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
13839,HUSR 410 - Crisis Intervention for Para-Professionals,"03-DIS
Regular",LH 315 - Lecture Room,In Person,Tu 4:00-6:45PM
13829,HUSR 411 - Human Services Delivery to Communities,"01-DIS
Regular",EC 067 - Lecture Room,In Person,MoWe 8:30-9:45AM
13842,HUSR 411 - Human Services Delivery to Communities,"04-DIS
Regular",MOD 108 - Modular,In Person,TuTh 1:00-2:15PM
14333,HUSR 411 - Human Services Delivery to Communities,"05-DIS
Regular",EC 044 - Lecture Room,In Person,MoWe 10:00-11:15AM
13830,HUSR 411 - Human Services Delivery to Communities,"50-DIS
Regular",Online,Fully Online,TBA
14341,HUSR 411 - Human Services Delivery to Communities,"51-DIS
Regular",Online,Fully Online,TBA
13797,HUSR 415 - Treatment Issues in Drug Addiction,"01-DIS
Regular",EC 203 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
13798,HUSR 415 - Treatment Issues in Drug Addiction,"02-DIS
Regular",LH 403B - Lecture Room,In Person,MoWe 11:30AM-12:45PM
13845,HUSR 416 - Group Process and Membership,"01-SEM
Regular",TBA,In Person,TBA
