Class ID,Class Name,Section,Room,Instruction Type,Time
12095,ISDS 309 - Introduction to Programming,"01-DIS
Regular",SGMH 2101 - Computer Lab,In Person,Mo 7:00-9:45PM
12233,ISDS 351 - Principles of Information Systems,"02-DIS
Regular",LH 319 - Lect/Computer Lab,In Person,TuTh 4:00-5:15PM
12256,ISDS 351 - Principles of Information Systems,"03-DIS
Regular",LH 319 - Lect/Computer Lab,In Person,TuTh 5:30-6:45PM
12270,ISDS 351 - Principles of Information Systems,"04-DIS
Regular",LH 404 - Lecture Room,In Person,TuTh 2:30-3:45PM
12296,ISDS 351 - Principles of Information Systems,"05-DIS
Regular",LH 317 - Lecture Room,In Person,Th 4:00-6:45PM
12439,ISDS 351 - Principles of Information Systems,"08-DIS
Regular",SGMH 2109 - Computer Lab,In Person,MoWe 5:30-6:45PM
12503,ISDS 351 - Principles of Information Systems,"13-DIS
Regular",LH 317 - Lecture Room,In Person,Tu 7:00-9:45PM
12483,ISDS 351 - Principles of Information Systems,"51-DIS
Regular",Zoom,Fully Online,TuTh 10:00-11:15AM
12484,ISDS 351 - Principles of Information Systems,"52-DIS
Regular",Zoom,Fully Online,TuTh 11:30AM-12:45PM
12485,ISDS 351 - Principles of Information Systems,"53-DIS
Regular",SGMH 2508 - Computer Lab,In Person,Fr 10:00AM-12:45PM
12521,ISDS 351 - Principles of Information Systems,"60-DIS
Regular",SGMH 2508 - Computer Lab,In Person,TuTh 5:30-6:45PM
12576,ISDS 351 - Principles of Information Systems,"61-DIS
Regular",LH 317 - Lecture Room,In Person,TuTh 8:30-9:45AM
12577,ISDS 351 - Principles of Information Systems,"62-DIS
Regular",LH 317 - Lecture Room,In Person,TuTh 1:00-2:15PM
12202,ISDS 361A - Business Analytics I,"01-DIS
Regular",SGMH 2109 - Computer Lab,In Person,Tu 7:00-9:45PM
12204,ISDS 361A - Business Analytics I,"02-DIS
Regular",SGMH 2109 - Computer Lab,In Person,Th 7:00-9:45PM
