Class ID,Class Name,Section,Room,Instruction Type,Time
12516,ISDS 351 - Principles of Information Systems,"12-DIS
Regular",SGMH 2109 - Computer Lab,In Person,TuTh 4:00-5:15PM
12724,ISDS 351 - Principles of Information Systems,"17-DIS
Regular",GH 246 - Lecture Room,In Person,TuTh 7:00-8:15AM
12796,ISDS 351 - Principles of Information Systems,"40-DIS
Regular",SGMH 2101 - Computer Lab,In Person,TuTh 1:00-2:15PM
12846,ISDS 361A - Business Analytics I,"26-DIS
Regular",Hum 224 - Lecture Room,In Person,TuTh 5:30-6:45PM
21752,ISDS 361A - Business Analytics I,"44-DIS
Regular",SGMH 2105 - Computer Lab,In Person,TuTh 8:30-9:45AM
22153,ISDS 361A - Business Analytics I,"45-DIS
Regular",SGMH 2504 - Computer Lab,In Person,MoWe 10:00-11:15AM
21912,ISDS 361A - Business Analytics I,"51-DIS
Regular",Zoom,Fully Online,MoWe 8:30-9:45AM
21913,ISDS 361A - Business Analytics I,"52-DIS
Regular",LH 317 - Lecture Room,In Person,TuTh 7:00-8:15AM
12064,ISDS 361B - Business Analytics II,"01-DIS
Regular",SGMH 2508 - Computer Lab,In Person,TuTh 8:30-9:45AM
12066,ISDS 361B - Business Analytics II,"03-DIS
Regular",LH 319 - Lect/Computer Lab,In Person,MoWe 8:30-9:45AM
12351,ISDS 361B - Business Analytics II,"14-DIS
Regular",SGMH 2101 - Computer Lab,In Person,TuTh 2:30-3:45PM
12474,ISDS 361B - Business Analytics II,"22-DIS
Regular",Zoom,Fully Online,Sa 9:00-10:15AM
12720,ISDS 361B - Business Analytics II,"30-DIS
Regular",LH 317 - Lecture Room,In Person,MoWe 2:30-3:45PM
12798,ISDS 361B - Business Analytics II,"34-DIS
Regular","SGMH 2109 - Computer Lab
Online",Mostly In-Person (Hybrid),"Tu 11:30AM-12:45PM
Th 11:30AM-12:45PM"
12830,ISDS 361B - Business Analytics II,"36-DIS
Regular",Zoom,Fully Online,We 4:00-5:15PM
12841,ISDS 361B - Business Analytics II,"38-DIS
Regular","Zoom
Online",Fully Online,Fr 12:00-1:15PM
21941,ISDS 379 - Fundamentals of Cryptocurrencies,"01-LEC
Regular",GH 208 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
22003,ISDS 402 - Database Management Systems,"51-DIS
Regular",MH 512 - Lecture Room,In Person,Mo 7:00-9:45PM
12174,ISDS 406 - Systems Analysis and Design,"01-DIS
Regular",SGMH 2101 - Computer Lab,In Person,Tu 7:00-9:45PM
12466,ISDS 406 - Systems Analysis and Design,"02-DIS
Regular",SGMH 2101 - Computer Lab,In Person,Th 7:00-9:45PM
12847,ISDS 406 - Systems Analysis and Design,"51-DIS
Regular",Online,Fully Online,TBA
12069,ISDS 409 - Business Telecommunications for Information System Design,"01-DIS
Regular",SGMH 2109 - Computer Lab,In Person,MoWe 5:30-6:45PM
12362,ISDS 409 - Business Telecommunications for Information System Design,"02-DIS
Regular",SGMH 2101 - Computer Lab,In Person,MoWe 1:00-2:15PM
12491,ISDS 415 - Principles of Business Intelligence,"59-DIS
Regular",Online,Fully Online,TBA
12286,ISDS 418 - Privacy and Security,"01-DIS
Regular",SGMH 2109 - Computer Lab,In Person,MoWe 2:30-3:45PM
12395,ISDS 435 - Integrated Enterprise Information Systems,"01-DIS
Regular",LH 319 - Lect/Computer Lab,In Person,TuTh 1:00-2:15PM
12614,ISDS 454 - Senior Project: Information Systems Development,"02-DIS
Regular",SGMH 2508 - Computer Lab,In Person,MoWe 4:00-5:15PM
22086,ISDS 474 - Data Mining for Managers,"02-DIS
Regular",SGMH 2109 - Computer Lab,In Person,MoWe 10:00-11:15AM
12539,ISDS 477 - Applied Business Forecasting,"01-DIS
Regular",SGMH 2101 - Computer Lab,In Person,Fr 10:00AM-12:45PM
20974,ISDS 478 - Data Analytics for Risk and Insurance,"01-LEC
Regular",TBA,In Person,TBA
12380,ISDS 495 - Internship,"01-SUP
Regular",Zoom,Fully Online,Tu 7:00-9:45PM
12603,ISDS 495 - Internship,"02-SUP
Regular",Zoom,Fully Online,We 7:00-9:45PM
12071,ISDS 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
12072,ISDS 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
12073,ISDS 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
12260,ISDS 505 - Programming Concepts for Information Technology,"59-DIS
Regular",Online,Fully Online,TBA
12398,ISDS 513 - Statistical Analysis,"01-SEM
Regular",LH 317 - Lecture Room,Mostly Online w/ In-Person Mtg,Mo 7:00-9:45PM
12363,ISDS 514 - Decision Models for Business and Economics,"01-SEM
Regular",LH 319 - Lect/Computer Lab,In Person,Th 7:00-9:45PM
12604,ISDS 526 - Forecasting for Analytical Decision Making,"59-SEM
Regular",Online,Fully Online,TBA
12386,ISDS 540 - Statistics for Data Science,"59-LEC
Regular",Online,Fully Online,TBA
12832,ISDS 551 - Info Resources and IT Project Management,"02-SEM
Regular",LH 317 - Lecture Room,In Person,Th 7:00-9:45PM
12378,"ISDS 552 - Systems Analysis, Design and Development","50-DIS
Regular",Online,Fully Online,TBA
12376,ISDS 553 - Electronic Commerce: Analysis and Evaluation,"59-DIS
Regular",Online,Fully Online,TBA
12375,ISDS 555 - Business Databases: Design and Processing,"01-SEM
Regular",LH 319 - Lect/Computer Lab,In Person,Tu 7:00-9:45PM
12377,ISDS 556 - Data Warehousing and Foundations of Business Intelligence,"50-SEM
Regular",Online,Fully Online,TBA
12518,ISDS 557 - Issues in Business Information Technology,"59-LEC
Regular",Online,Fully Online,TBA
12352,ISDS 574 - Data Mining for Business Appl,"01-LEC
Regular",LH 319 - Lect/Computer Lab,In Person,MoWe 4:00-5:15PM
12492,ISDS 577 - Seminar in Information Systems Implementation,"59-DIS
Regular",Online,Fully Online,TBA
12074,ISDS 599 - Independent Graduate Research,"01-SUP
Regular",TBA,In Person,TBA
12075,ISDS 599 - Independent Graduate Research,"02-SUP
Regular",TBA,In Person,TBA
12076,ISDS 599 - Independent Graduate Research,"03-SUP
Regular",TBA,In Person,TBA
12842,ISDS 599 - Independent Graduate Research,"04-SUP
Regular",TBA,In Person,TBA
