Class ID,Class Name,Section,Room,Instruction Type,Time
15038,JAPN 101 - Fundamental Japanese-A,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 8:30-9:45AM
15440,JAPN 101 - Fundamental Japanese-A,"02-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 11:30AM-12:45PM
15037,JAPN 101 - Fundamental Japanese-A,"03-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 2:30-3:45PM
15846,JAPN 101 - Fundamental Japanese-A,"50-DIS
Regular",Online,Fully Online,TBA
15722,JAPN 102 - Fundamental Japanese-B,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 11:30AM-12:45PM
19701,JAPN 102 - Fundamental Japanese-B,"50-DIS
Regular",Online,Fully Online,TBA
15039,JAPN 203 - Intermediate Japanese-A,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,MoWe 10:00-11:15AM
15802,JAPN 204 - Intermediate Japanese-B,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,MoWe 1:00-2:15PM
15847,JAPN 213 - Japanese Cultural Conversation and Composition A,"01-DIS
Regular",Hum 516 - Lecture Room,In Person,TuTh 10:00-11:15AM
15848,JAPN 214 - Japanese Cultural Conversation and Composition B,"01-DIS
Regular",Hum 516 - Lecture Room,In Person,TuTh 1:00-2:15PM
15040,JAPN 305 - Advanced Japanese-A,"01-DIS
Regular",Hum 325 - Language Lab,In Person,TuTh 10:00-11:15AM
19702,JAPN 311 - Japanese for International Business,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,TuTh 2:30-3:45PM
15041,JAPN 315 - Introduction to Japanese Civilization,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
15042,JAPN 316 - Modern Japan,"01-DIS
Regular",Hum 321A - Lecture Room,In Person,TuTh 11:30AM-12:45PM
19703,JAPN 375 - Introduction to Japanese Literature,"01-DIS
Regular",Hum 321B - Lecture Room,In Person,MoWe 10:00-11:15AM
15395,JAPN 390 - Japanese Culture and Society: Anime,"50-DIS
Regular",Online,Fully Online,TBA
16264,JAPN 390 - Japanese Culture and Society: Anime,"51-DIS
Regular",Online,Fully Online,TBA
19704,JAPN 468 - Japanese-English Contrastive Analysis,"01-DIS
Regular",Hum 513 - Lecture Room,In Person,TuTh 1:00-2:15PM
