Class ID,Class Name,Section,Room,Instruction Type,Time
11856,MGMT 246 - Business and Its Legal Environment,"01-LEC
Regular",SGMH 2205 - Lecture,In Person,MoWe 8:30-9:45AM
11910,MGMT 246 - Business and Its Legal Environment,"02-LEC
Regular",SGMH 2205 - Lecture,In Person,MoWe 10:00-11:15AM
11903,MGMT 246 - Business and Its Legal Environment,"03-LEC
Regular",SGMH 1108 - Lecture,In Person,MoWe 1:00-2:15PM
12271,MGMT 246 - Business and Its Legal Environment,"04-LEC
Regular",SGMH 2205 - Lecture,In Person,MoWe 2:30-3:45PM
11948,MGMT 246 - Business and Its Legal Environment,"05-LEC
Regular",SGMH 2205 - Lecture,In Person,TuTh 8:30-9:45AM
12354,MGMT 246 - Business and Its Legal Environment,"06-LEC
Regular",SGMH 2205 - Lecture,In Person,TuTh 10:00-11:15AM
12355,MGMT 246 - Business and Its Legal Environment,"07-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 11:30AM-12:45PM
11990,MGMT 246 - Business and Its Legal Environment,"08-LEC
Regular",SGMH 2201 - Lecture,In Person,TuTh 1:00-2:15PM
12019,MGMT 246 - Business and Its Legal Environment,"09-LEC
Regular",SGMH 2205 - Lecture,In Person,TuTh 2:30-3:45PM
12081,MGMT 246 - Business and Its Legal Environment,"10-LEC
Regular",SGMH 1502 - Lecture,In Person,TuTh 4:00-5:15PM
20145,MGMT 246 - Business and Its Legal Environment,"11-LEC
Regular",Hum 426 - Lecture Room,In Person,Tu 7:00-9:45PM
12069,MGMT 246 - Business and Its Legal Environment,"40-LEC
Regular",SGMH 2205 - Lecture,In Person,MoWe 11:30AM-12:45PM
20146,MGMT 339 - Managing Operations,"01-LEC
Regular",SGMH 1406 - Lecture,In Person,MoWe 2:30-3:45PM
20147,MGMT 339 - Managing Operations,"02-LEC
Regular",SGMH 1502 - Lecture,In Person,MoWe 5:30-6:45PM
12382,MGMT 339 - Managing Operations,"03-LEC
Regular",SGMH 2211 - Lecture,In Person,TuTh 8:30-9:45AM
11857,MGMT 339 - Managing Operations,"04-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 10:00-11:15AM
20158,MGMT 339 - Managing Operations,"05-LEC
Regular",SGMH 1109 - Lecture,In Person,TuTh 11:30AM-12:45PM
11911,MGMT 339 - Managing Operations,"06-LEC
Regular",LH 307 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
12383,MGMT 339 - Managing Operations,"09-LEC
Regular",SGMH 2205 - Lecture,In Person,Fr 9:00-11:45AM
20164,MGMT 339 - Managing Operations,"10-LEC
Regular",SGMH 1108 - Lecture,Mostly In-Person (Hybrid),Mo 8:30-9:45AM
11958,MGMT 339 - Managing Operations,"11-LEC
Regular",LH 307 - Lecture Room,Mostly In-Person (Hybrid),Mo 10:00-11:15AM
20169,MGMT 339 - Managing Operations,"13-LEC
Regular",LH 308 - Lecture Room,Mostly In-Person (Hybrid),Th 1:00-2:15PM
20171,MGMT 339 - Managing Operations,"14-LEC
Regular","SGMH 2205 - Lecture
Online
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture",Mostly In-Person (Hybrid),Sa 1:00-3:45PM
20174,MGMT 339 - Managing Operations,"16-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 5:30-6:45PM
20176,MGMT 339 - Managing Operations,"19-LEC
Regular",SGMH 1112 - Lecture,In Person,MoWe 1:00-2:15PM
20601,MGMT 339 - Managing Operations,"22-LEC
Regular","Zoom
Online",Fully Online,Mo 1:00-2:15PM
20602,MGMT 339 - Managing Operations,"23-LEC
Regular","Zoom
Online",Fully Online,Mo 2:30-3:45PM
12522,MGMT 339 - Managing Operations,"24-LEC
Regular","Zoom
Online",Fully Online,We 2:30-3:45PM
12525,MGMT 339 - Managing Operations,"26-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 2:30-3:45PM
20748,MGMT 339 - Managing Operations,"28-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 4:00-5:15PM
12551,MGMT 339 - Managing Operations,"29-LEC
Regular",LH 319 - Lect/Computer Lab,Mostly In-Person (Hybrid),Mo 2:30-3:45PM
12587,MGMT 339 - Managing Operations,"30-LEC
Regular",SGMH 2307 - Lecture,In Person,MoWe 5:30-6:45PM
12557,MGMT 339 - Managing Operations,"31-LEC
Regular",SGMH 1303 - Lecture,In Person,TuTh 11:30AM-12:45PM
12582,MGMT 339 - Managing Operations,"33-LEC
Regular",Hum 110 - Lecture Room,In Person,TuTh 5:30-6:45PM
20798,MGMT 339 - Managing Operations,"34-LEC
Regular",SGMH 2405 - Lecture,Mostly In-Person (Hybrid),Th 11:30AM-12:45PM
20870,MGMT 339 - Managing Operations,"35-LEC
Regular",LH 317 - Lecture Room,In Person,TuTh 10:00-11:15AM
11858,MGMT 339 - Managing Operations,"40-LEC
Regular",SGMH 2205 - Lecture,In Person,TuTh 11:30AM-12:45PM
20172,MGMT 340 - Organizational Behavior,"03-LEC
Regular","SGMH 1109 - Lecture
Online",Mostly In-Person (Hybrid),Mo 1:00-2:15PM
11860,MGMT 340 - Organizational Behavior,"04-LEC
Regular","SGMH 1109 - Lecture
Online",Mostly In-Person (Hybrid),"We 11:30AM-12:45PM
TBA"
11953,MGMT 340 - Organizational Behavior,"05-LEC
Regular","SGMH 1109 - Lecture
Online",Mostly In-Person (Hybrid),Mo 2:30-3:45PM
11955,MGMT 340 - Organizational Behavior,"06-LEC
Regular","Zoom
Online",Fully Online,Mo 5:30-6:45PM
11957,MGMT 340 - Organizational Behavior,"07-LEC
Regular",SGMH 1108 - Lecture,Mostly In-Person (Hybrid),Mo 5:30-6:45PM
12001,MGMT 340 - Organizational Behavior,"09-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 5:30-6:45PM
12038,MGMT 340 - Organizational Behavior,"10-LEC
Regular",SGMH 1502 - Lecture,In Person,TuTh 2:30-3:45PM
20188,MGMT 340 - Organizational Behavior,"11-LEC
Regular",CP 125 - Lecture Room,In Person,TuTh 5:30-6:45PM
20193,MGMT 340 - Organizational Behavior,"12-LEC
Regular",LH 307 - Lecture Room,In Person,Mo 7:00-9:45PM
20194,MGMT 340 - Organizational Behavior,"13-LEC
Regular",SGMH 1108 - Lecture,In Person,We 7:00-9:45PM
20196,MGMT 340 - Organizational Behavior,"14-LEC
Regular",LH 404 - Lecture Room,Mostly In-Person (Hybrid),Mo 4:00-5:15PM
20197,MGMT 340 - Organizational Behavior,"15-LEC
Regular","LH 320 - Lecture Room
Online",Mostly In-Person (Hybrid),We 1:00-2:15PM
12274,MGMT 340 - Organizational Behavior,"17-LEC
Regular",GH 302 - Lecture Room,In Person,TuTh 1:00-2:15PM
20212,MGMT 340 - Organizational Behavior,"18-LEC
Regular","Hum 426 - Lecture Room
Online",Mostly In-Person (Hybrid),We 2:30-3:45PM
20213,MGMT 340 - Organizational Behavior,"19-LEC
Regular","SGMH 1109 - Lecture
Zoom",Mostly In-Person (Hybrid),Mo 5:30-6:45PM
12293,MGMT 340 - Organizational Behavior,"21-LEC
Regular",SGMH 1109 - Lecture,In Person,Th 7:00-9:45PM
11861,MGMT 340 - Organizational Behavior,"22-LEC
Regular",SGMH 1112 - Lecture,In Person,TuTh 11:30AM-12:45PM
20312,MGMT 340 - Organizational Behavior,"25-LEC
Regular","SGMH 2205 - Lecture
Online
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture",Mostly In-Person (Hybrid),Sa 9:00-11:45AM
12491,MGMT 340 - Organizational Behavior,"28-LEC
Regular",SGMH 1406 - Lecture,In Person,TuTh 5:30-6:45PM
20992,MGMT 340 - Organizational Behavior,"37-LEC
Regular",Zoom,Fully Online,Mo 4:00-5:15PM
20144,MGMT 340 - Organizational Behavior,"40-LEC
Regular",SGMH 2205 - Lecture,In Person,MoWe 1:00-2:15PM
21186,MGMT 340 - Organizational Behavior,"50-LEC
Regular","Zoom
Online",Fully Online,"Mo 11:30AM-12:45PM
TBA"
21163,MGMT 340 - Organizational Behavior,"51-LEC
Regular","Zoom
Online",Fully Online,Mo 2:30-3:45PM
11934,MGMT 343 - Human Resource Management,"01-LEC
Regular",SGMH 1109 - Lecture,In Person,TuTh 10:00-11:15AM
12070,MGMT 343 - Human Resource Management,"02-LEC
Regular",SGMH 2207 - Lecture,In Person,TuTh 1:00-2:15PM
12082,MGMT 343 - Human Resource Management,"03-LEC
Regular",Zoom,Fully Online,TuTh 4:00-5:15PM
12135,MGMT 346 - International Law for Business,"01-DIS
Regular",SGMH 1117 - Lecture,In Person,MoWe 5:30-6:45PM
12272,MGMT 346 - International Law for Business,"02-DIS
Regular",GH 339 - Lecture Room,In Person,Th 7:00-9:45PM
12275,MGMT 348 - Commercial Law,"01-LEC
Regular",LH 401 - Lecture Room,In Person,We 7:00-9:45PM
11862,MGMT 349 - Law for Small Business,"01-LEC
Regular",LH 301 - Lecture Room,In Person,Tu 7:00-9:45PM
