Class ID,Class Name,Section,Room,Instruction Type,Time
20809,MGMT 246 - Business and Its Legal Environment,"10-LEC
Regular",SGMH 1502 - Lecture,In Person,TuTh 4:00-5:15PM
12567,MGMT 246 - Business and Its Legal Environment,"12-LEC
Regular",GH 252 - Lecture Room,In Person,MoWe 5:30-6:45PM
12722,MGMT 246 - Business and Its Legal Environment,"13-LEC
Regular",SGMH 1109 - Lecture,In Person,TuTh 4:00-5:15PM
12146,MGMT 339 - Managing Operations,"09-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 5:30-6:45PM
12153,MGMT 339 - Managing Operations,"10-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 2:30-3:45PM
12214,MGMT 339 - Managing Operations,"14-LEC
Regular",SGMH 1502 - Lecture,In Person,TuTh 5:30-6:45PM
12387,MGMT 339 - Managing Operations,"19-LEC
Regular",SGMH 1406 - Lecture,In Person,Th 7:00-9:45PM
12581,MGMT 339 - Managing Operations,"22-LEC
Regular","Online
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture",Mostly In-Person (Hybrid),"TBA
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM"
20909,MGMT 339 - Managing Operations,"40-LEC
Regular",SGMH 2405 - Lecture,In Person,TuTh 10:00-11:15AM
12732,MGMT 340 - Organizational Behavior,"24-LEC
Regular",SGMH 1112 - Lecture,In Person,Fr 9:00-11:45AM
12839,MGMT 340 - Organizational Behavior,"25-LEC
Regular","Zoom
Online",Fully Online,Mo 10:00-11:15AM
21011,MGMT 340 - Organizational Behavior,"28-LEC
Regular",Hum 123 - Lecture Room,In Person,TuTh 4:00-5:15PM
21381,MGMT 340 - Organizational Behavior,"35-LEC
Regular",Hum 228 - Lecture Room,In Person,Mo 7:00-9:45PM
21389,MGMT 340 - Organizational Behavior,"36-LEC
Regular",LH 320 - Lecture Room,In Person,TuTh 2:30-3:45PM
12090,MGMT 340 - Organizational Behavior,"40-LEC
Regular",SGMH 1112 - Lecture,In Person,MoWe 10:00-11:15AM
20893,MGMT 340 - Organizational Behavior,"41-LEC
Regular",SGMH 1112 - Lecture,In Person,MoWe 11:30AM-12:45PM
12091,MGMT 343 - Human Resource Management,"01-LEC
Regular",SGMH 1112 - Lecture,In Person,TuTh 8:30-9:45AM
12293,MGMT 346 - International Law for Business,"01-DIS
Regular",SGMH 1112 - Lecture,In Person,MoWe 5:30-6:45PM
12192,MGMT 348 - Commercial Law,"01-LEC
Regular",SGMH 1109 - Lecture,In Person,Mo 7:00-9:45PM
21443,MGMT 350 - International Business and Management,"03-LEC
Regular",SGMH 1303 - Lecture,In Person,Th 7:00-9:45PM
12145,MGMT 365 - Entertainment Business,"01-DIS
Regular","SGMH 2211 - Lecture
Online",Mostly In-Person (Hybrid),Th 1:00-2:15PM
12773,MGMT 365 - Entertainment Business,"02-DIS
Regular",SGMH 2406 - Lecture,In Person,Th 7:00-9:45PM
20895,MGMT 422 - Operations Planning and Control,"01-DIS
Regular","LH 315B - Lecture Room
Online",Mostly In-Person (Hybrid),Mo 1:00-2:15PM
12438,MGMT 422 - Operations Planning and Control,"02-DIS
Regular",SGMH 1308 - Lecture,In Person,MoWe 5:30-6:45PM
12457,MGMT 425 - Quality Management,"04-DIS
Regular",SGMH 2406 - Lecture,In Person,MoWe 5:30-6:45PM
12634,MGMT 426 - Logistics Management,"01-LEC
Regular",CP 127 - Lecture Room,In Person,Tu 7:00-9:45PM
12183,MGMT 430 - Supply Chain Management,"01-DIS
Regular",SGMH 2205 - Lecture,In Person,TuTh 2:30-3:45PM
20965,MGMT 430 - Supply Chain Management,"02-DIS
Regular",SGMH 1112 - Lecture,In Person,Th 7:00-9:45PM
12248,MGMT 432 - Staffing,"02-DIS
Regular","SGMH 1112 - Lecture
Online",Mostly In-Person (Hybrid),We 2:30-3:45PM
12731,MGMT 434 - Compensation,"02-DIS
Regular",SGMH 1112 - Lecture,In Person,Mo 7:00-9:45PM
12573,MGMT 435 - Management of Service Organizations,"02-DIS
Regular",SGMH 1108 - Lecture,In Person,Th 7:00-9:45PM
12197,MGMT 436 - Training and Development,"01-DIS
Regular",GH 246 - Lecture Room,In Person,We 7:00-9:45PM
20967,MGMT 436 - Training and Development,"02-DIS
Regular",SGMH 2307 - Lecture,In Person,MoWe 5:30-6:45PM
20968,MGMT 440 - Business and Society,"03-SEM
Regular",SGMH 1109 - Lecture,In Person,MoWe 5:30-6:45PM
12540,MGMT 441 - Labor-Management Relations,"01-LEC
Regular",CP 120 - Lecture Room,In Person,Tu 7:00-9:45PM
12149,MGMT 443 - Team Leadership Skills,"01-LEC
Regular",GH 335 - Lecture Room,In Person,TuTh 4:00-5:15PM
12184,MGMT 443 - Team Leadership Skills,"02-LEC
Regular",SGMH 1109 - Lecture,In Person,MoWe 2:30-3:45PM
12552,MGMT 443 - Team Leadership Skills,"03-LEC
Regular",LH 320 - Lecture Room,In Person,Th 7:00-9:45PM
12243,MGMT 444 - Project Management,"01-DIS
Regular",SGMH 1109 - Lecture,In Person,MoWe 4:00-5:15PM
12837,MGMT 444 - Project Management,"04-DIS
Regular",SGMH 1109 - Lecture,In Person,Th 7:00-9:45PM
12144,MGMT 445 - Employment Law,"01-DIS
Regular",SGMH 2211 - Lecture,In Person,TuTh 11:30AM-12:45PM
12206,MGMT 445 - Employment Law,"02-DIS
Regular",LH 320 - Lecture Room,In Person,We 7:00-9:45PM
12358,MGMT 446 - Entertainment Business Law,"02-LEC
Regular",SGMH 2406 - Lecture,In Person,TuTh 5:30-6:45PM
20908,MGMT 447 - Internet Legal Issues,"01-DIS
Regular",GH 204 - ALP owned,In Person,MoWe 2:30-3:45PM
12096,MGMT 449 - Seminar in Strategic Management,"01-SEM
Regular",EC 024A - Lecture Room,In Person,Mo 10:00AM-12:45PM
12099,MGMT 449 - Seminar in Strategic Management,"05-SEM
Regular",SGMH 2505 - Lecture,In Person,Mo 7:00-9:45PM
12105,MGMT 449 - Seminar in Strategic Management,"11-SEM
Regular",Zoom,Fully Online,Tu 10:00AM-12:45PM
12106,MGMT 449 - Seminar in Strategic Management,"12-SEM
Regular",EC 067 - Lecture Room,In Person,We 10:00AM-12:45PM
12651,MGMT 449 - Seminar in Strategic Management,"13-SEM
Regular",SGMH 1108 - Lecture,In Person,We 1:00-3:45PM
12107,MGMT 449 - Seminar in Strategic Management,"14-SEM
Regular",LH 308 - Lecture Room,In Person,We 4:00-6:45PM
20783,MGMT 449 - Seminar in Strategic Management,"20-SEM
Regular",SGMH 1108 - Lecture,In Person,Fr 9:00-11:45AM
12220,MGMT 449 - Seminar in Strategic Management,"21-SEM
Regular",SGMH 1108 - Lecture,In Person,Fr 1:00-3:45PM
12221,MGMT 449 - Seminar in Strategic Management,"22-SEM
Regular",SGMH 1109 - Lecture,In Person,Sa 9:00-11:45AM
12308,MGMT 449 - Seminar in Strategic Management,"24-SEM
Regular",MH 617 - Lecture Room,In Person,Mo 7:00-9:45PM
12528,MGMT 449 - Seminar in Strategic Management,"27-SEM
Regular",LH 403B - Lecture Room,In Person,We 1:00-3:45PM
20970,MGMT 449 - Seminar in Strategic Management,"28-SEM
Regular",MH 504 - Lecture Room,In Person,We 4:00-6:45PM
21367,MGMT 449 - Seminar in Strategic Management,"52-SEM
Regular",GH 302 - Lecture Room,In Person,We 1:00-3:45PM
21391,MGMT 449 - Seminar in Strategic Management,"54-SEM
Regular",LH 318 - Lecture Room,In Person,We 4:00-6:45PM
21393,MGMT 449 - Seminar in Strategic Management,"56-SEM
Regular",EC 023 - Lecture Room,In Person,We 8:30-11:15AM
21686,MGMT 449 - Seminar in Strategic Management,"63-SEM
Regular",LH 403A - Lecture Room,In Person,Tu 7:00-9:45PM
21007,MGMT 455 - Cross-Cultural Management,"01-LEC
Regular",LH 301 - Lecture Room,In Person,TuTh 4:00-5:15PM
12577,MGMT 460 - Lean Startup Entrepreneurship,"01-LEC
Regular",CP 120 - Lecture Room,In Person,Mo 7:00-9:45PM
12280,MGMT 461 - Entrepreneurial Management,"01-DIS
Regular",CP 125 - Lecture Room,In Person,Tu 7:00-9:45PM
12476,MGMT 464 - Entrepreneurial Leadership,"02-DIS
Regular",SGMH 1108 - Lecture,In Person,We 4:00-6:45PM
20972,MGMT 465A - New Venture Creation and Funding,"01-DIS
Regular",Online,Fully Online,Mo 1:00-3:45PM
12790,MGMT 477 - Music Business,"01-LEC
Regular","SGMH 2205 - Lecture
Online",Mostly In-Person (Hybrid),"Tu 11:30AM-12:45PM
TBA"
12109,MGMT 495 - Internship,"01-SUP
Regular",Zoom,Fully Online,Tu 7:00-9:45PM
12609,MGMT 495 - Internship,"02-SUP
Regular",Zoom,Fully Online,We 7:00-9:45PM
12610,MGMT 495 - Internship,"03-SUP
Regular",Online,Fully Online,TBA
12112,MGMT 516 - Operations Management,"01-SEM
Regular",SGMH 1113 - Lecture,In Person,Tu 7:00-9:45PM
12281,MGMT 516 - Operations Management,"02-SEM
Regular","Online
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture
SGMH 2211 - Lecture",Mostly In-Person (Hybrid),"TBA
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM
Sa 9:00AM-11:45AM"
12113,MGMT 518 - Legal and Ethical Environment of Business,"01-SEM
Regular",SGMH 1108 - Lecture,In Person,Tu 7:00-9:45PM
12114,MGMT 524 - Seminar in Organizational Behavior,"01-SEM
Regular",SGMH 2205 - Lecture,In Person,We 4:00-6:45PM
12282,MGMT 524 - Seminar in Organizational Behavior,"02-SEM
Regular","Online
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture
SGMH 2205 - Lecture",Mostly In-Person (Hybrid),"TBA
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM
Sa 1:00PM-3:45PM"
21402,MGMT 540 - Leading and Managing People in Entrepreneurial Organizations,"01-DIS
Regular",GH 208 - Lecture Room,In Person,We 7:00-9:45PM
12650,MGMT 543 - Seminar in Human Resource Management,"01-SEM
Regular","SGMH 2505 - Lecture
Online",Mostly In-Person (Hybrid),We 4:00-5:30PM
12580,MGMT 544 - Project Management,"01-LEC
Regular",SGMH 1109 - Lecture,In Person,We 7:00-9:45PM
