Class ID,Class Name,Section,Room,Instruction Type,Time
18378,MAED 442 - Teaching Mathematics in Secondary School,"01-DIS
Regular",MH 380 - Teaching Lab,In Person,We 5:30-8:15PM
19323,MAED 449E - Externship in Single Subject Teaching,"01-SUP
Regular",TBA,In Person,TBA
19324,MAED 449E - Externship in Single Subject Teaching,"02-SUP
Regular",TBA,In Person,TBA
19325,MAED 449E - Externship in Single Subject Teaching,"03-SUP
Regular",TBA,In Person,TBA
19326,MAED 449E - Externship in Single Subject Teaching,"04-SUP
Regular",TBA,In Person,TBA
19327,MAED 449E - Externship in Single Subject Teaching,"05-SUP
Regular",TBA,In Person,TBA
19328,MAED 449E - Externship in Single Subject Teaching,"06-SUP
Regular",TBA,In Person,TBA
19329,MAED 449E - Externship in Single Subject Teaching,"07-SUP
Regular",TBA,In Person,TBA
19330,MAED 449E - Externship in Single Subject Teaching,"08-SUP
Regular",TBA,In Person,TBA
19331,MAED 449E - Externship in Single Subject Teaching,"09-SUP
Regular",TBA,In Person,TBA
19332,MAED 449E - Externship in Single Subject Teaching,"10-SUP
Regular",TBA,In Person,TBA
19333,MAED 449E - Externship in Single Subject Teaching,"11-SUP
Regular",TBA,In Person,TBA
19334,MAED 449E - Externship in Single Subject Teaching,"12-SUP
Regular",TBA,In Person,TBA
19335,MAED 449E - Externship in Single Subject Teaching,"13-SUP
Regular",TBA,In Person,TBA
19336,MAED 449E - Externship in Single Subject Teaching,"14-SUP
Regular",TBA,In Person,TBA
19337,MAED 449E - Externship in Single Subject Teaching,"15-SUP
Regular",TBA,In Person,TBA
19308,MAED 449I - Second Semester Student Teaching,"01-SUP
Regular",TBA,In Person,TBA
19309,MAED 449I - Second Semester Student Teaching,"02-SUP
Regular",TBA,In Person,TBA
19310,MAED 449I - Second Semester Student Teaching,"03-SUP
Regular",TBA,In Person,TBA
19311,MAED 449I - Second Semester Student Teaching,"04-SUP
Regular",TBA,In Person,TBA
19312,MAED 449I - Second Semester Student Teaching,"05-SUP
Regular",TBA,In Person,TBA
19313,MAED 449I - Second Semester Student Teaching,"06-SUP
Regular",TBA,In Person,TBA
19314,MAED 449I - Second Semester Student Teaching,"07-SUP
Regular",TBA,In Person,TBA
19315,MAED 449I - Second Semester Student Teaching,"08-SUP
Regular",TBA,In Person,TBA
19316,MAED 449I - Second Semester Student Teaching,"09-SUP
Regular",TBA,In Person,TBA
19317,MAED 449I - Second Semester Student Teaching,"10-SUP
Regular",TBA,In Person,TBA
19318,MAED 449I - Second Semester Student Teaching,"11-SUP
Regular",TBA,In Person,TBA
19319,MAED 449I - Second Semester Student Teaching,"12-SUP
Regular",TBA,In Person,TBA
19320,MAED 449I - Second Semester Student Teaching,"13-SUP
Regular",TBA,In Person,TBA
19321,MAED 449I - Second Semester Student Teaching,"14-SUP
Regular",TBA,In Person,TBA
19322,MAED 449I - Second Semester Student Teaching,"15-SUP
Regular",TBA,In Person,TBA
18611,MAED 449S - Seminar in Secondary Teaching,"01-SEM
Regular",MH 390 - Teaching Lab,In Person,We 5:30-8:15PM
17941,MAED 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
17942,MAED 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
18640,MAED 542 - Teaching Mathematics at the College Level,"01-SEM
Regular",MH 380 - Teaching Lab,In Person,Fr 10:00AM-12:45PM
