Class ID,Class Name,Section,Room,Instruction Type,Time
19708,MAED 442 - Teaching Mathematics in Secondary School,"01-DIS
Regular",MH 380 - Teaching Lab,In Person,We 5:30-8:15PM
19731,MAED 449E - Externship in Single Subject Teaching,"01-SUP
Regular",TBA,In Person,TBA
19732,MAED 449E - Externship in Single Subject Teaching,"02-SUP
Regular",TBA,In Person,TBA
19733,MAED 449E - Externship in Single Subject Teaching,"03-SUP
Regular",TBA,In Person,TBA
19734,MAED 449E - Externship in Single Subject Teaching,"04-SUP
Regular",TBA,In Person,TBA
19735,MAED 449E - Externship in Single Subject Teaching,"05-SUP
Regular",TBA,In Person,TBA
19736,MAED 449E - Externship in Single Subject Teaching,"06-SUP
Regular",TBA,In Person,TBA
19737,MAED 449E - Externship in Single Subject Teaching,"07-SUP
Regular",TBA,In Person,TBA
19738,MAED 449E - Externship in Single Subject Teaching,"08-SUP
Regular",TBA,In Person,TBA
19739,MAED 449E - Externship in Single Subject Teaching,"09-SUP
Regular",TBA,In Person,TBA
19740,MAED 449E - Externship in Single Subject Teaching,"10-SUP
Regular",TBA,In Person,TBA
19741,MAED 449E - Externship in Single Subject Teaching,"11-SUP
Regular",TBA,In Person,TBA
19742,MAED 449E - Externship in Single Subject Teaching,"12-SUP
Regular",TBA,In Person,TBA
19719,MAED 449I - Second Semester Student Teaching,"01-SUP
Regular",TBA,In Person,TBA
19720,MAED 449I - Second Semester Student Teaching,"02-SUP
Regular",TBA,In Person,TBA
19721,MAED 449I - Second Semester Student Teaching,"03-SUP
Regular",TBA,In Person,TBA
19722,MAED 449I - Second Semester Student Teaching,"04-SUP
Regular",TBA,In Person,TBA
19723,MAED 449I - Second Semester Student Teaching,"05-SUP
Regular",TBA,In Person,TBA
19724,MAED 449I - Second Semester Student Teaching,"06-SUP
Regular",TBA,In Person,TBA
19725,MAED 449I - Second Semester Student Teaching,"07-SUP
Regular",TBA,In Person,TBA
19726,MAED 449I - Second Semester Student Teaching,"08-SUP
Regular",TBA,In Person,TBA
19727,MAED 449I - Second Semester Student Teaching,"09-SUP
Regular",TBA,In Person,TBA
19728,MAED 449I - Second Semester Student Teaching,"10-SUP
Regular",TBA,In Person,TBA
19729,MAED 449I - Second Semester Student Teaching,"11-SUP
Regular",TBA,In Person,TBA
19730,MAED 449I - Second Semester Student Teaching,"12-SUP
Regular",TBA,In Person,TBA
19709,MAED 449S - Seminar in Secondary Teaching,"01-SEM
Regular",MH 390 - Teaching Lab,In Person,We 5:30-8:15PM
19885,MAED 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
19886,MAED 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
19743,MAED 532 - Teaching Problem Solving in Middle School Mathematics,"50-DIS
Regular",Zoom,Fully Online,Tu 4:30-7:15PM
