Class ID,Class Name,Section,Room,Instruction Type,Time
14475,MLSC 102 - Introduction to Tactical Leadership,"01-LEC
Regular",EC 165 - Lecture Room,In Person,MoWe 8:30-9:45AM
14476,MLSC 102 - Introduction to Tactical Leadership,"02-LAB
Regular","Other - Field
Other - Field",In Person,MoWeFr 6:00-7:00AM
14477,MLSC 102 - Introduction to Tactical Leadership,"03-LEC
Regular",TBA,In Person,TBA
14478,MLSC 102 - Introduction to Tactical Leadership,"04-LAB
Regular",TBA,In Person,TBA
14479,MLSC 202 - Foundations of Tactical Leadership,"01-LEC
Regular",EC 008 - Lecture Room,In Person,MoWe 8:30-9:45AM
14480,MLSC 202 - Foundations of Tactical Leadership,"02-LAB
Regular","Other - Field
Other - Field",In Person,MoWeFr 6:00-7:00AM
14481,MLSC 202 - Foundations of Tactical Leadership,"03-LEC
Regular",TBA,In Person,TBA
14482,MLSC 202 - Foundations of Tactical Leadership,"04-LAB
Regular",TBA,In Person,TBA
14483,MLSC 302 - Leadership in Changing Environments,"01-LEC
Regular",LH 403B - Lecture Room,In Person,MoWe 8:30-9:45AM
14484,MLSC 302 - Leadership in Changing Environments,"02-LAB
Regular","Other - Field
Other - Field",In Person,MoWeFr 6:00-7:00AM
14485,MLSC 402 - Adaptive Leadership,"01-LEC
Regular",EC 109 - Lecture Room,In Person,MoWe 7:00-8:15AM
14486,MLSC 402 - Adaptive Leadership,"02-LAB
Regular","Other - Field
Other - Field",In Person,MoWeFr 6:00-7:00AM
14487,MLSC 450 - Military History Seminar,"01-SEM
Regular",EC 203 - Lecture Room,In Person,Tu 8:00-10:50AM
15280,MLSC 499 - Independent Study,"02-SUP
Regular",Other - Field,In Person,Fr 11:30AM-2:20PM
