Class ID,Class Name,Section,Room,Instruction Type,Time
20957,MUSE 353 - School Instrumental Music,"01-LEC
Regular",TBA,In Person,TBA
11060,MUSE 394 - Music Education Practicum,"01-DIS
Regular",CPAC 254 - Special Instruct Mu,In Person,Mo 8:00-10:20AM
11061,MUSE 394 - Music Education Practicum,"02-ACT
Regular",CPAC 254 - Special Instruct Mu,In Person,We 8:00-10:20AM
11339,MUSE 394 - Music Education Practicum,"03-DIS
Regular",CPAC 253 - Teaching Lab,In Person,Mo 8:00-10:20AM
11340,MUSE 394 - Music Education Practicum,"04-ACT
Regular",CPAC 253 - Teaching Lab,In Person,We 8:00-10:20AM
21329,MUSE 442 - Principles and Methods of Teaching Music in the Public Schools,"02-DIS
Regular",TBA,In Person,MoWe 5:00-7:00PM
11690,MUSE 449E - Externship in Single Subject Teaching,"01-SUP
Regular",TBA,In Person,TBA
11691,MUSE 449E - Externship in Single Subject Teaching,"02-SUP
Regular",TBA,In Person,TBA
11692,MUSE 449E - Externship in Single Subject Teaching,"03-SUP
Regular",TBA,In Person,TBA
11693,MUSE 449E - Externship in Single Subject Teaching,"04-SUP
Regular",TBA,In Person,TBA
11694,MUSE 449E - Externship in Single Subject Teaching,"05-SUP
Regular",TBA,In Person,TBA
11695,MUSE 449E - Externship in Single Subject Teaching,"06-SUP
Regular",TBA,In Person,TBA
11696,MUSE 449E - Externship in Single Subject Teaching,"07-SUP
Regular",TBA,In Person,TBA
11697,MUSE 449E - Externship in Single Subject Teaching,"08-SUP
Regular",TBA,In Person,TBA
11698,MUSE 449E - Externship in Single Subject Teaching,"09-SUP
Regular",TBA,In Person,TBA
11699,MUSE 449E - Externship in Single Subject Teaching,"10-SUP
Regular",TBA,In Person,TBA
11796,MUSE 449E - Externship in Single Subject Teaching,"11-SUP
Regular",TBA,In Person,TBA
