Class ID,Class Name,Section,Room,Instruction Type,Time
10502,MUSE 395 - Clinical Practice in Conducting,"01-ACT
Regular",CPAC 254 - Special Instruct Mu,In Person,MoWe 8:00-9:45AM
11457,MUSE 395 - Clinical Practice in Conducting,"02-ACT
Regular",CPAC 216 - Teaching Lab,In Person,MoWe 8:00-9:45AM
21494,MUSE 449I - Second Semester Student Teaching,"02-SUP
Regular",TBA,In Person,TBA
21495,MUSE 449I - Second Semester Student Teaching,"03-SUP
Regular",TBA,In Person,TBA
21496,MUSE 449I - Second Semester Student Teaching,"04-SUP
Regular",TBA,In Person,TBA
21497,MUSE 449I - Second Semester Student Teaching,"05-SUP
Regular",TBA,In Person,TBA
21498,MUSE 449I - Second Semester Student Teaching,"06-SUP
Regular",TBA,In Person,TBA
21499,MUSE 449I - Second Semester Student Teaching,"07-SUP
Regular",TBA,In Person,TBA
21500,MUSE 449I - Second Semester Student Teaching,"08-SUP
Regular",TBA,In Person,TBA
21501,MUSE 449I - Second Semester Student Teaching,"09-SUP
Regular",TBA,In Person,TBA
21493,MUSE 449I - Second Semester Student Teaching,"1-SUP
Regular",TBA,In Person,TBA
11990,MUSE 449I - Second Semester Student Teaching,"10-SUP
Regular",TBA,In Person,TBA
21502,MUSE 449I - Second Semester Student Teaching,"11-SUP
Regular",TBA,In Person,TBA
21819,MUSE 527 - Seminar in Choral Pedagogy,"01-SEM
Regular",CPAC 253 - Teaching Lab,In Person,Tu 6:30-8:15PM
