Class ID,Class Name,Section,Room,Instruction Type,Time
15260,NURS 305 - Professional Nursing,"10-LEC
Regular",See Class Note Mtg Location,In Person,Mo 2:00-4:50PM
14968,NURS 305 - Professional Nursing,"50-LEC
Regular",Online,Fully Online,TBA
15261,NURS 305 - Professional Nursing,"52-LEC
Regular",Online,Fully Online,TBA
15497,NURS 310 - Nursing Research/Evidence-Based Practice,"02-LEC
Regular",EC 049 - Lecture Room,In Person,Th 4:00-6:50PM
15247,NURS 310 - Nursing Research/Evidence-Based Practice,"10-LEC
Regular",See Class Note Mtg Location,In Person,Mo 8:00-10:50AM
14904,NURS 310 - Nursing Research/Evidence-Based Practice,"50-LEC
Regular",Online,Fully Online,TBA
15498,NURS 310 - Nursing Research/Evidence-Based Practice,"51-LEC
Regular",Online,Fully Online,TBA
15568,NURS 324 - Cultural Diversity in Health and Illness,"01-LEC
First 10",EC 067 - Lecture Room,In Person,Th 7:00-8:50AM
15333,NURS 340 - Health Assessment,"51-LEC
Regular",Online,Fully Online,TBA
15334,NURS 340 - Health Assessment,"52-LEC
Regular",Online,Fully Online,TBA
15335,NURS 340L - Health Assessment Lab,"02-LAB
Regular","KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room",Mostly In-Person (Hybrid),We 5:00-7:50PM
15337,NURS 340L - Health Assessment Lab,"05-LAB
Regular","KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room",Mostly In-Person (Hybrid),"Sa 8:00AM-5:00PM
Sa 8:00AM-5:00PM
Sa 8:00AM-5:00PM"
15499,NURS 340L - Health Assessment Lab,"06-LAB
Regular","KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room",In Person,"Sa 8:00AM-5:00PM
Sa 8:00AM-5:00PM
Sa 8:00AM-5:00PM"
15535,NURS 340L - Health Assessment Lab,"07-LAB
Regular","KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room",In Person,"Su 8:00AM-5:00PM
Su 8:00AM-5:00PM
Su 8:00AM-5:00PM"
15536,NURS 340L - Health Assessment Lab,"08-LAB
Regular","KHS 182L - Lecture Room
KHS 182L - Lecture Room
KHS 182L - Lecture Room",In Person,"Su 8:00AM-5:00PM
Su 8:00AM-5:00PM
Su 8:00AM-5:00PM"
15597,NURS 340L - Health Assessment Lab,"10-LAB
Regular","See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location
See Class Note Mtg Location",Mostly In-Person (Hybrid),Th 5:00-7:50PM
14905,NURS 345 - Pathophysiology,"50-LEC
Regular",Online,Fully Online,TBA
14991,NURS 345 - Pathophysiology,"51-LEC
Regular",Online,Fully Online,TBA
15263,NURS 345 - Pathophysiology,"52-LEC
Regular",Online,Fully Online,TBA
15339,NURS 390 - Critical Thinking in Nursing,"01-LEC
Special",TBA,In Person,Mo 6:00-7:50PM
22161,NURS 390 - Critical Thinking in Nursing,"02-LEC
Regular",KHS 182L - Lecture Room,In Person,Mo 6:00-7:50PM
14846,NURS 402 - Population Health Nursing,"01-LEC
Regular",LH 315B - Lecture Room,In Person,Mo 8:00-10:50AM
14906,NURS 402 - Population Health Nursing,"50-LEC
Regular","Online
Online",Mostly Online w/ In-Person Mtg,"TBA
TBA"
15264,NURS 402 - Population Health Nursing,"52-LEC
Regular","Online
See Class Note Mtg Location",Mostly Online w/ In-Person Mtg,"TBA
TBA"
14972,NURS 402L - Population Health Nursing Lab,"06-LAB
Regular",See Class Note Mtg Location,In Person,Th 12:00-12:00AM
15007,NURS 402L - Population Health Nursing Lab,"10-LAB
Regular",See Class Note Mtg Location,In Person,Tu 12:00-12:00AM
15341,NURS 403L - Foundations of Nursing Practice Lab,"01-LAB
Regular",See Class Note Mtg Location,In Person,Fr 7:00AM-7:00PM
15342,NURS 403L - Foundations of Nursing Practice Lab,"02-LAB
Regular",See Class Note Mtg Location,In Person,Th 7:00AM-7:00PM
15343,NURS 403L - Foundations of Nursing Practice Lab,"03-LAB
Regular",See Class Note Mtg Location,In Person,Fr 7:00AM-7:00PM
15450,NURS 403L - Foundations of Nursing Practice Lab,"04-LAB
Regular",See Class Note Mtg Location,In Person,Fr 7:00AM-7:00PM
15688,NURS 403L - Foundations of Nursing Practice Lab,"05-LAB
Regular",See Class Note Mtg Location,In Person,Fr 7:00AM-7:00PM
15458,NURS 404 - Mental Health Nursing,"01-LEC
Regular",LH 306 - Lecture Room,In Person,Th 9:00-11:50AM
15344,NURS 404L - Mental Health Nursing Lab,"01-LAB
Regular",See Class Note Mtg Location,In Person,Mo 7:00AM-7:00PM
