Class ID,Class Name,Section,Room,Instruction Type,Time
16426,PHIL 100 - Introduction to Philosophy,"05-LEC
Regular",Hum 521 - Lecture Room,In Person,TuTh 10:00-11:15AM
17591,PHIL 105 - Critical Thinking,"09-DIS
Regular",GH 339 - Lecture Room,In Person,MoWe 2:30-3:45PM
17731,PHIL 105 - Critical Thinking,"13-DIS
Regular",LH 304 - Lecture Room,In Person,TuTh 2:30-3:45PM
15964,PHIL 106 - Introduction to Logic,"02-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 8:30-9:45AM
16707,PHIL 106 - Introduction to Logic,"04-DIS
Regular",EC 032 - Lecture Room,In Person,MoWe 2:30-3:45PM
17416,PHIL 106 - Introduction to Logic,"05-DIS
Regular",MH 657 - Lecture Room,In Person,MoWe 4:00-5:15PM
17417,PHIL 106 - Introduction to Logic,"06-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 8:30-9:45AM
17736,PHIL 106 - Introduction to Logic,"08-DIS
Regular",EC 032 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
17737,PHIL 106 - Introduction to Logic,"09-DIS
Regular",EC 032 - Lecture Room,In Person,TuTh 1:00-2:15PM
17738,PHIL 106 - Introduction to Logic,"10-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 2:30-3:45PM
16853,PHIL 120 - Introduction to Ethics,"01-DIS
Regular",Hum 521 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
17158,"PHIL 227 - Video Games, the Arts and Philosophy","01-LEC
Regular",LH 304 - Lecture Room,In Person,MoWe 10:00-11:15AM
16482,PHIL 290 - History of Philosophy: Greek Philosophy,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,We 4:00-6:45PM
17740,PHIL 291 - History of Philosophy: Medieval Philosophy,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
15966,PHIL 300 - History of Philosophy: Rationalism and Empiricism,"01-DIS
Regular",MH 657 - Lecture Room,In Person,MoWe 8:30-9:45AM
16359,PHIL 300 - History of Philosophy: Rationalism and Empiricism,"02-DIS
Regular",MH 657 - Lecture Room,In Person,TuTh 1:00-2:15PM
15967,PHIL 301 - History of Philosophy: Kant and the 19th Century,"01-DIS
Regular",GH 335 - Lecture Room,In Person,TuTh 1:00-2:15PM
16965,PHIL 303 - Introduction to the Philosophy of Science,"01-DIS
Regular",Hum 522 - Lecture Room,In Person,MoWe 10:00-11:15AM
17166,PHIL 303 - Introduction to the Philosophy of Science,"02-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 2:30-3:45PM
16909,PHIL 312 - Business and Professional Ethics,"01-DIS
Regular",GH 208 - Lecture Room,In Person,MoWe 5:30-6:45PM
16187,PHIL 320 - Contemporary Moral Issues,"01-DIS
Regular",Hum 125 - Lecture Room,In Person,TuTh 8:30-9:45AM
16295,PHIL 320 - Contemporary Moral Issues,"02-DIS
Regular",LH 304 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
21212,PHIL 320 - Contemporary Moral Issues,"03-DIS
Regular",Hum 326B - Lecture Room,In Person,MoWe 10:00-11:15AM
17167,PHIL 320 - Contemporary Moral Issues,"50-DIS
Regular",Zoom,Fully Online,TuTh 5:30-6:45PM
20407,"PHIL 322 - Ethics, Artificial Intelligence and Robots","01-LEC
Regular",Hum 125 - Lecture Room,In Person,TuTh 1:00-2:15PM
15969,PHIL 323 - Existentialism,"01-DIS
Regular",GH 339 - Lecture Room,In Person,MoWe 10:00-11:15AM
16101,PHIL 325 - Philosophy of Sex and Love,"02-LEC
Regular",LH 315B - Lecture Room,In Person,MoWe 5:30-6:45PM
16312,PHIL 325 - Philosophy of Sex and Love,"03-LEC
Regular",Hum 125 - Lecture Room,In Person,MoWe 8:30-9:45AM
