Class ID,Class Name,Section,Room,Instruction Type,Time
19534,PHYS 211 - Elementary Physics,"03-LEC
Regular",MH 682 - Lecture Room,In Person,MoWeFr 11:00-11:50AM
19561,PHYS 211L - Elementary Physics: Laboratory,"03-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,We 11:30AM-2:20PM
19498,PHYS 211L - Elementary Physics: Laboratory,"05-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,Tu 3:00-5:50PM
19574,PHYS 211L - Elementary Physics: Laboratory,"10-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,We 3:00-5:50PM
20618,PHYS 212 - Elementary Physics,"04-LEC
Regular",SGMH 1406 - Lecture,In Person,MoWeFr 11:00-11:50AM
19516,PHYS 212L - Elementary Physics: Laboratory,"16-LAB
Regular",MH 605 - Teaching Lab,In Person,Th 7:00-9:50PM
19650,PHYS 212L - Elementary Physics: Laboratory,"20-LAB
Regular",MH 605 - Teaching Lab,In Person,We 8:00-10:50AM
19651,PHYS 212L - Elementary Physics: Laboratory,"21-LAB
Regular",MH 605 - Teaching Lab,In Person,We 11:30AM-2:20PM
19657,PHYS 225 - Fundamental Physics: Mechanics,"06-LEC
Regular",RGC 013 - Auditorium,In Person,MoWeFr 9:00-9:50AM
19474,PHYS 225L - Fundamental Physics: Laboratory,"03-LAB
Regular",MH 656 - Teaching Lab,In Person,Th 11:30AM-2:20PM
21965,PHYS 225L - Fundamental Physics: Laboratory,"05-LAB
Regular",MH 656 - Teaching Lab,In Person,Mo 3:00-5:50PM
22027,PHYS 225L - Fundamental Physics: Laboratory,"08-LAB
Regular",MH 656 - Teaching Lab,In Person,Mo 8:00-10:50AM
19648,PHYS 225L - Fundamental Physics: Laboratory,"19-LAB
Regular",MH 656 - Teaching Lab,In Person,Fr 8:00-10:50AM
22162,PHYS 225L - Fundamental Physics: Laboratory,"20-LAB
Regular",MH 650 - Physics Teaching Lab,In Person,Fr 9:00-11:50AM
19548,PHYS 226 - Fundamental Physics: Electricity and Magnetism,"01-LEC
Regular",MH 682 - Lecture Room,In Person,MoWe 2:30-3:45PM
20619,PHYS 226 - Fundamental Physics: Electricity and Magnetism,"03-LEC
Regular",MH 682 - Lecture Room,In Person,MoWeFr 10:00-10:50AM
21646,PHYS 226 - Fundamental Physics: Electricity and Magnetism,"04-LEC
Regular",KHS 199 - Lecture Room,In Person,TuTh 4:00-5:15PM
19475,PHYS 226L - Fundamental Physics: Laboratory,"01-LAB
Regular",MH 606 - Teaching Lab,In Person,We 11:30AM-2:15PM
19549,PHYS 226L - Fundamental Physics: Laboratory,"04-LAB
Regular",MH 606 - Teaching Lab,In Person,Th 3:00-5:50PM
21969,PHYS 226L - Fundamental Physics: Laboratory,"05-LAB
Regular",MH 606 - Teaching Lab,In Person,Th 8:00-10:50AM
21970,PHYS 226L - Fundamental Physics: Laboratory,"06-LAB
Regular",MH 606 - Teaching Lab,In Person,Th 7:00-9:50PM
19562,PHYS 226L - Fundamental Physics: Laboratory,"12-LAB
Regular",MH 606 - Teaching Lab,In Person,We 8:00-10:50AM
19580,PHYS 226L - Fundamental Physics: Laboratory,"14-LAB
Regular",MH 606 - Teaching Lab,In Person,Tu 3:00-5:50PM
19619,PHYS 226L - Fundamental Physics: Laboratory,"20-LAB
Regular",MH 606 - Teaching Lab,In Person,Tu 8:00-10:50AM
19582,"PHYS 227 - Fundamental Physics: Waves, Optics, and Modern Physics","02-DIS
Regular",KHS 199 - Lecture Room,In Person,TuTh 2:30-3:45PM
19583,"PHYS 227 - Fundamental Physics: Waves, Optics, and Modern Physics","04-DIS
Mini 1",KHS 199 - Lecture Room,In Person,TuTh 2:30-3:45PM
19553,PHYS 227L - Fundamental Physics: Laboratory,"01-LAB
Regular",MH 606 - Teaching Lab,In Person,Mo 7:00-9:50PM
19856,PHYS 300 - Survey of Mathematical Physics,"02-DIS
Regular",MH 629 - Computer Lab,In Person,TuTh 12:00-1:15PM
19652,PHYS 301 - Energy and Sustainability,"50-LEC
Regular",Online,Fully Online,TBA
19658,PHYS 305 - Physics of Sound,"50-LEC
Regular",Online,Fully Online,TBA
21712,"PHYS 310 - Thermodynamics, Kinetic Theory, and Statistical Physics","02-DIS
Regular",MH 629 - Computer Lab,In Person,MoWe 1:00-2:15PM
19655,PHYS 320 - Classical Mechanics,"05-DIS
Regular",MH 629 - Computer Lab,In Person,TuTh 9:00-10:15AM
19653,PHYS 330B - Electromagnetic Theory II,"02-DIS
Regular",MH 629 - Computer Lab,In Person,TuTh 1:30-2:45PM
21647,PHYS 455 - Quantum Mechanics 2,"01-DIS
Regular",MH 629 - Computer Lab,In Person,TuTh 10:30-11:45AM
19502,PHYS 481 - Experimental Physics,"01-LEC
Regular",MH 690 - Physics Shop,In Person,Mo 2:00-5:50PM
19503,PHYS 481 - Experimental Physics,"02-LAB
Regular",MH 690 - Physics Shop,In Person,We 2:00-4:50PM
19479,PHYS 496 - Student-to-Student Tutorials,"01-SUP
Regular",TBA,In Person,TBA
19480,PHYS 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
19481,PHYS 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
19482,PHYS 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
