Class ID,Class Name,Section,Room,Instruction Type,Time
14185,PUBH 101 - Personal Health,"01-LEC
Regular",KHS 104 - Lecture Room,In Person,TuTh 8:30-9:45AM
14530,PUBH 101 - Personal Health,"02-LEC
Regular",KHS 199 - Lecture Room,In Person,TuTh 10:00-11:15AM
14186,PUBH 101 - Personal Health,"03-LEC
Regular",KHS 199 - Lecture Room,In Person,TuTh 11:30AM-12:45PM
14234,PUBH 101 - Personal Health,"04-LEC
Regular",KHS 270 - Lecture Room,In Person,Tu 4:00-6:45PM
14268,PUBH 101 - Personal Health,"05-LEC
Regular",Zoom,Fully Online,MoWe 10:00-11:15AM
14235,PUBH 101 - Personal Health,"06-LEC
Regular",Zoom,Fully Online,MoWe 11:30AM-12:45PM
14187,PUBH 101 - Personal Health,"50-LEC
Regular",Online,Fully Online,TBA
14188,PUBH 101 - Personal Health,"51-LEC
Regular",Online,Fully Online,TBA
14248,PUBH 101 - Personal Health,"52-LEC
Regular",Online,Fully Online,TBA
14254,PUBH 101 - Personal Health,"53-LEC
Regular",Online,Fully Online,TBA
14257,PUBH 101 - Personal Health,"54-LEC
Regular",Online,Fully Online,TBA
14269,PUBH 101 - Personal Health,"55-LEC
Regular",Online,Fully Online,TBA
14258,PUBH 101 - Personal Health,"56-LEC
Regular",Online,Fully Online,TBA
14331,PUBH 101 - Personal Health,"57-LEC
Regular",Online,Fully Online,TBA
14431,PUBH 101 - Personal Health,"58-LEC
Regular",Online,Fully Online,TBA
14432,PUBH 101 - Personal Health,"59-LEC
Regular",Online,Fully Online,TBA
14748,PUBH 115 - Introduction to Environmental Health and Safety,"50-LEC
Regular",Online,Fully Online,TBA
14760,PUBH 115 - Introduction to Environmental Health and Safety,"51-LEC
Regular",Online,Fully Online,TBA
14270,PUBH 133 - Introduction to Aging Studies,"01-LEC
Regular",TBA,In Person,TBA
14323,PUBH 201 - Introduction to Public Health,"01-LEC
Regular",KHS 104 - Lecture Room,In Person,TuTh 1:00-2:15PM
14342,PUBH 201 - Introduction to Public Health,"02-LEC
Regular","Zoom
Online",Fully Online,We 10:00-11:15AM
14344,PUBH 201 - Introduction to Public Health,"50-LEC
Regular",Online,Fully Online,TBA
14387,PUBH 201 - Introduction to Public Health,"51-LEC
Regular",Online,Fully Online,TBA
14343,PUBH 201 - Introduction to Public Health,"52-LEC
Regular",Online,Fully Online,TBA
14327,PUBH 202 - Exploration of Health and Allied Health Professions,"50-LEC
Regular",Online,Fully Online,TBA
14290,"PUBH 203 - CPR, Automated External Defibrillator and First Aid","01-LEC
Mini 1",KHS 110 - Teaching Lab,In Person,Tu 5:00-6:45PM
14321,"PUBH 203 - CPR, Automated External Defibrillator and First Aid","02-LEC
Mini 2",KHS 110 - Teaching Lab,In Person,Tu 5:00-6:45PM
20905,"PUBH 203 - CPR, Automated External Defibrillator and First Aid","03-LEC
Mini 3",KHS 110 - Teaching Lab,In Person,Tu 5:00-6:45PM
14544,PUBH 300 - Integrative Health,"01-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 10:00-11:15AM
14241,PUBH 301 - Promotion of Optimal Health,"50-LEC
Regular",Online,Fully Online,TBA
14247,PUBH 320 - Concepts in Public Health,"04-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 8:30-9:45AM
14272,PUBH 320 - Concepts in Public Health,"05-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 2:30-3:45PM
14767,PUBH 320 - Concepts in Public Health,"07-LEC
Regular","Zoom
Online",Fully Online,Tu 1:00-2:15PM
20820,PUBH 320 - Concepts in Public Health,"08-LEC
Regular","Zoom
Online",Fully Online,Th 10:00-11:15AM
