Class ID,Class Name,Section,Room,Instruction Type,Time
15095,PUBH 101 - Personal Health,"52-LEC
Regular",Online,Fully Online,TBA
15105,PUBH 101 - Personal Health,"54-LEC
Regular",Online,Fully Online,TBA
15409,PUBH 115 - Introduction to Environmental Health and Safety,"02-LEC
Regular","Zoom
Online",Fully Online,Th 10:00-11:15AM
15188,PUBH 201 - Introduction to Public Health,"01-LEC
Regular","Zoom
Online",Fully Online,"Tu 11:30AM-12:45PM
TBA"
15238,PUBH 201 - Introduction to Public Health,"04-LEC
Regular","KHS 104 - Lecture Room
Online",Mostly In-Person (Hybrid),Mo 5:30-6:45PM
15086,PUBH 301 - Promotion of Optimal Health,"50-LEC
Regular",Online,Fully Online,TBA
15205,PUBH 320 - Concepts in Public Health,"03-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 8:30-9:45AM
15093,PUBH 320 - Concepts in Public Health,"04-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 2:30-3:45PM
15189,PUBH 320 - Concepts in Public Health,"08-LEC
Regular",Zoom,Fully Online,Th 4:00-6:45PM
15079,PUBH 321 - Drugs and Society,"01-LEC
Regular",KHS 164 - Lecture Room,In Person,MoWe 10:00-11:15AM
15206,PUBH 325 - Consumer Health,"50-LEC
Regular",Online,Fully Online,TBA
15096,PUBH 342 - Stress Management,"01-LEC
Regular",KHS 174 - Lecture Room,In Person,TuTh 8:30-9:45AM
15103,PUBH 342 - Stress Management,"03-LEC
Regular",KHS 164 - Lecture Room,In Person,MoWe 1:00-2:15PM
15197,PUBH 342 - Stress Management,"05-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
15134,PUBH 342 - Stress Management,"54-LEC
Regular",Online,Fully Online,TBA
15186,PUBH 349 - Measurement and Statistics in Health Science,"06-LEC
Regular",KHS 272 - Computer Lab,In Person,MoWe 10:00-11:15AM
20867,PUBH 349 - Measurement and Statistics in Health Science,"07-LEC
Regular",EC 121 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
15101,PUBH 349 - Measurement and Statistics in Health Science,"50-LEC
Regular",Online,Fully Online,TBA
15108,PUBH 349 - Measurement and Statistics in Health Science,"51-LEC
Regular",Online,Fully Online,TBA
15469,PUBH 349 - Measurement and Statistics in Health Science,"54-LEC
Regular",KHS 272 - Computer Lab,In Person,TuTh 1:00-2:15PM
22137,PUBH 349 - Measurement and Statistics in Health Science,"55-LEC
Regular",Online,Fully Online,TBA
15187,PUBH 349L - Applied Measurement and Statistics in Health Science,"50-LEC
Regular",Online,Fully Online,TBA
15201,PUBH 349L - Applied Measurement and Statistics in Health Science,"51-LEC
Regular",Online,Fully Online,TBA
15202,PUBH 349L - Applied Measurement and Statistics in Health Science,"52-LEC
Regular",Online,Fully Online,TBA
15203,PUBH 349L - Applied Measurement and Statistics in Health Science,"53-LEC
Regular",Online,Fully Online,TBA
15241,PUBH 349L - Applied Measurement and Statistics in Health Science,"54-LEC
Regular",Online,Fully Online,TBA
15242,PUBH 349L - Applied Measurement and Statistics in Health Science,"55-LEC
Regular",Online,Fully Online,TBA
15071,PUBH 350 - Nutrition,"03-LEC
Regular",KHS 104 - Lecture Room,In Person,MoWe 1:00-2:15PM
15159,PUBH 353 - Physical Activity and Lifelong Well-Being,"53-LEC
Regular",Online,Fully Online,TBA
15192,PUBH 358 - Contemporary Issues in Children's Health,"50-LEC
Regular",Online,Fully Online,TBA
15636,PUBH 381 - Climate Change and Global Health,"01-LEC
Regular",Zoom,Fully Online,TuTh 10:00-11:15AM
15557,PUBH 400 - Program Design in Kinesiology and Health Promotion,"04-LEC
Regular",KHS 174 - Lecture Room,In Person,MoWe 10:00-11:15AM
15558,PUBH 400 - Program Design in Kinesiology and Health Promotion,"05-LEC
Regular",KHS 174 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
15072,PUBH 401 - Epidemiology,"01-LEC
Regular","LH 306 - Lecture Room
Online",Mostly In-Person (Hybrid),Tu 10:00-11:15AM
15183,PUBH 401 - Epidemiology,"02-LEC
Regular","LH 306 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 11:30AM-12:45PM
TBA"
15177,PUBH 401 - Epidemiology,"51-LEC
Regular","Online
Zoom
Zoom
Zoom",Fully Online,"TBA
Th 10:00AM-11:15AM
Tu 10:00AM-11:15AM
Tu 10:00AM-11:15AM"
15184,PUBH 401 - Epidemiology,"52-LEC
Regular","Online
Zoom
Zoom
Zoom",Fully Online,"TBA
Th 11:30AM-12:45PM
Tu 11:30AM-12:45PM
Tu 11:30AM-12:45PM"
15244,PUBH 402 - Introduction to the U.S. Healthcare System,"04-LEC
Regular","EC 165 - Lecture Room
Online",Mostly In-Person (Hybrid),Tu 2:30-3:45PM
15274,PUBH 402 - Introduction to the U.S. Healthcare System,"05-LEC
Regular","LH 315B - Lecture Room
Online",Mostly In-Person (Hybrid),"We 11:30AM-12:45PM
TBA"
