Class ID,Class Name,Section,Room,Instruction Type,Time
15803,RLST 100 - Introduction to the Study of Religion,"50-LEC
Regular",Online,Fully Online,TBA
16776,RLST 105 - Religion and the Quest for Meaning,"01-LEC
Regular",Hum 128 - Lecture Room,In Person,TuTh 1:00-2:15PM
15643,RLST 110 - Religions of the World,"01-LEC
Regular",Hum 128 - Lecture Room,In Person,MoWe 10:00-11:15AM
15813,RLST 110 - Religions of the World,"03-LEC
Regular",Hum 128 - Lecture Room,In Person,TuTh 10:00-11:15AM
16278,RLST 110 - Religions of the World,"50-LEC
Regular",Online,Fully Online,TBA
16283,RLST 110 - Religions of the World,"51-LEC
Regular",Online,Fully Online,TBA
21160,RLST 110 - Religions of the World,"52-LEC
Regular",Online,Fully Online,TBA
21161,RLST 110 - Religions of the World,"53-LEC
Regular",Online,Fully Online,TBA
16051,RLST 200 - Introduction to Christianity,"50-LEC
Regular",Online,Fully Online,TBA
21151,RLST 200 - Introduction to Christianity,"51-LEC
Regular",Online,Fully Online,TBA
15645,RLST 246A - Basic Hatha Yoga,"01-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 8:00-8:30AM
15646,RLST 246A - Basic Hatha Yoga,"02-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 8:30-9:15AM
15676,RLST 246A - Basic Hatha Yoga,"03-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 9:30-10:00AM
15677,RLST 246A - Basic Hatha Yoga,"04-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 10:00-10:45AM
15647,RLST 246A - Basic Hatha Yoga,"05-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 12:30-1:00PM
15648,RLST 246A - Basic Hatha Yoga,"06-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 1:00-1:45PM
15649,RLST 246A - Basic Hatha Yoga,"07-DIS
Regular",KHS 202 - PE/Indoor,In Person,TuTh 11:00-11:30AM
15650,RLST 246A - Basic Hatha Yoga,"08-ACT
Regular",KHS 202 - PE/Indoor,In Person,TuTh 11:30AM-12:15PM
15652,RLST 246A - Basic Hatha Yoga,"11-DIS
Regular",KHS 202 - PE/Indoor,In Person,TuTh 9:30-10:00AM
15653,RLST 246A - Basic Hatha Yoga,"12-ACT
Regular",KHS 202 - PE/Indoor,In Person,TuTh 10:00-10:45AM
21353,RLST 246A - Basic Hatha Yoga,"13-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 2:00-2:30PM
21354,RLST 246A - Basic Hatha Yoga,"14-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 2:30-3:15PM
15937,RLST 246A - Basic Hatha Yoga,"15-DIS
Regular",KHS 202 - PE/Indoor,In Person,MoWe 11:00-11:30AM
15938,RLST 246A - Basic Hatha Yoga,"16-ACT
Regular",KHS 202 - PE/Indoor,In Person,MoWe 11:30AM-12:15PM
16610,RLST 250 - Introduction to Islam,"50-LEC
Regular",Online,Fully Online,TBA
15728,RLST 270T - Introduction to the Asian Religions,"50-LEC
Regular",Online,Fully Online,TBA
16564,RLST 306 - Contemporary Practices of the World's Religions,"01-LEC
Regular",KHS 270 - Lecture Room,In Person,TuTh 10:00-11:15AM
16282,"RLST 307 - Non-violence, Animal Rights and Diet in Jainism","50-LEC
Regular",Online,Fully Online,TBA
16238,RLST 321 - Psychology of Religion,"01-LEC
Regular",Hum 516 - Lecture Room,In Person,MoWe 1:00-2:15PM
21241,RLST 333 - Religion and Sexuality,"03-DIS
Regular",GH 252 - Lecture Room,In Person,Mo 4:00-6:45PM
15651,RLST 341 - Hindu Tradition to 400 B.C.E.,"50-LEC
Regular",Online,Fully Online,TBA
16239,RLST 351 - History and Development of Early Christian Thought,"50-LEC
Regular",Online,Fully Online,TBA
16054,RLST 352 - History and Development of Modern Christian Thought,"50-LEC
Regular",Online,Fully Online,TBA
21152,RLST 352 - History and Development of Modern Christian Thought,"51-LEC
Regular",Online,Fully Online,TBA
15664,RLST 361 - History and Development of Jewish Thought: Biblical and Rabbinical Eras,"50-LEC
Regular",Online,Fully Online,TBA
15654,RLST 371 - History and Development of Islamic Thought: The Beginning to 1258,"50-LEC
Regular",Online,Fully Online,TBA
15655,RLST 373 - Women in Islam,"50-LEC
Regular",Online,Fully Online,TBA
15656,RLST 375 - Conceptions of the Afterlife,"50-LEC
Regular",Online,Fully Online,TBA
16084,RLST 375 - Conceptions of the Afterlife,"51-LEC
Regular",Online,Fully Online,TBA
21346,RLST 380 - Religion and Violence,"50-LEC
Regular",Online,Fully Online,TBA
16565,RLST 381 - Religion and Politics in the United States,"01-DIS
Regular",LH 315A - Lecture Room,In Person,MoWe 11:30AM-12:45PM
