Class ID,Class Name,Section,Room,Instruction Type,Time
14113,EDSC 304 - Educational Technologies for Secondary Teachers,"50-DIS
Regular",Online,Fully Online,TBA
14137,EDSC 304 - Educational Technologies for Secondary Teachers,"51-ACT
Regular",Online,Fully Online,TBA
14180,EDSC 304 - Educational Technologies for Secondary Teachers,"52-DIS
Regular",Online,Fully Online,TBA
14181,EDSC 304 - Educational Technologies for Secondary Teachers,"53-ACT
Regular",Online,Fully Online,TBA
22182,EDSC 304 - Educational Technologies for Secondary Teachers,"56-DIS
Regular",Online,Fully Online,TBA
22183,EDSC 304 - Educational Technologies for Secondary Teachers,"57-ACT
Regular",Online,Fully Online,TBA
14138,EDSC 310 - The Teaching Experience: Participation,"02-ACT
Regular",EC 121 - Lecture Room,In Person,Tu 3:00-3:45PM
14391,EDSC 310 - The Teaching Experience: Participation,"03-SEM
Regular",CP 120 - Lecture Room,In Person,We 4:00-5:50PM
14392,EDSC 310 - The Teaching Experience: Participation,"04-ACT
Regular",CP 120 - Lecture Room,In Person,We 6:00-6:45PM
14145,EDSC 310 - The Teaching Experience: Participation,"52-SEM
Regular",Online,Fully Online,TBA
14146,EDSC 310 - The Teaching Experience: Participation,"53-ACT
Regular",Online,Fully Online,TBA
14453,EDSC 310 - The Teaching Experience: Participation,"54-SEM
Regular",Online,Fully Online,TBA
14454,EDSC 310 - The Teaching Experience: Participation,"55-ACT
Regular",Online,Fully Online,TBA
14471,EDSC 320 - Adolescent Development,"54-LEC
Regular",Online,Fully Online,TBA
14222,EDSC 330 - Developing Literacy in Secondary Schools,"01-SEM
Regular",CP 120 - Lecture Room,In Person,Tu 10:00AM-12:45PM
14394,EDSC 330 - Developing Literacy in Secondary Schools,"02-SEM
Regular",CP 120 - Lecture Room,In Person,Tu 1:00-3:45PM
14396,EDSC 340 - Diversity in Secondary Schools,"02-LEC
Regular",EC 121 - Lecture Room,In Person,Mo 4:00-6:45PM
14118,EDSC 440F - Supervised Fieldwork in Secondary Schools,"01-SUP
Regular",SGMH 1307 - Lecture,In Person,Fr 2:00-3:45PM
14253,EDSC 440F - Supervised Fieldwork in Secondary Schools,"02-SUP
Regular",SGMH 1308 - Lecture,In Person,Fr 2:00-3:45PM
14119,EDSC 440S - General Pedagogy in Secondary Schools,"01-SEM
Regular",CP 120 - Lecture Room,In Person,Fr 9:00AM-12:45PM
14157,EDSC 440S - General Pedagogy in Secondary Schools,"02-SEM
Regular",CP 125 - Lecture Room,In Person,Fr 9:00AM-12:45PM
20166,EDSC 442C - Teaching Science in the Secondary Schools,"01-DIS
Regular",MH 564 - Teaching Lab,In Person,Mo 5:30-8:15PM
14234,EDSC 442S - Teaching Social Science in Secondary Schools,"01-DIS
Regular","CP 120 - Lecture Room
Online",Mostly In-Person (Hybrid),Mo 4:00-6:45PM
14317,EDSC 449E - Externship in Single Subject Teaching,"01-SUP
Regular",See Class Note Mtg Location,In Person,TBA
20168,EDSC 449E - Externship in Single Subject Teaching,"10-SUP
Regular",See Class Note Mtg Location,In Person,TBA
14330,EDSC 449E - Externship in Single Subject Teaching,"20-SUP
Regular",See Class Note Mtg Location,In Person,TBA
14162,EDSC 449I - Second Semester Student Teaching,"01-SUP
Regular",See Class Note Mtg Location,In Person,TBA
14163,EDSC 449I - Second Semester Student Teaching,"10-SUP
Regular",See Class Note Mtg Location,In Person,TBA
22217,EDSC 449I - Second Semester Student Teaching,"14-SUP
Regular",TBA,In Person,TBA
14164,EDSC 449I - Second Semester Student Teaching,"20-SUP
Regular",See Class Note Mtg Location,In Person,TBA
14179,EDSC 449I - Second Semester Student Teaching,"30-SUP
Regular",See Class Note Mtg Location,In Person,TBA
14287,EDSC 449I - Second Semester Student Teaching,"40-SUP
Regular",See Class Note Mtg Location,In Person,TBA
14473,EDSC 449S - Seminar in Secondary Teaching,"01-SEM
Regular","CP 120 - Lecture Room
Online",Mostly In-Person (Hybrid),Tu 4:00-6:45PM
14207,EDSC 449S - Seminar in Secondary Teaching,"02-SEM
Regular",MH 564 - Teaching Lab,In Person,We 5:30-8:15PM
14198,EDSC 449S - Seminar in Secondary Teaching,"03-SEM
Regular",Hum 124 - Lecture Room,In Person,Tu 4:00-6:45PM
14463,EDSC 449S - Seminar in Secondary Teaching,"04-SEM
Regular","EC 121 - Lecture Room
Online",Mostly In-Person (Hybrid),Tu 4:30-7:15PM
14154,EDSC 460 - Teaching Performance Assessment Seminar,"01-DIS
Regular",Hum 110 - Lecture Room,In Person,Th 6:00-8:15PM
20167,EDSC 460A - Teaching Performance Assessment Seminar A,"01-LEC
Regular",Hum 110 - Lecture Room,In Person,Th 4:00-5:45PM
22215,EDSC 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
14313,"EDSC 522 - Family, Community, and Professional Partnerships","50-SEM
Regular",Online,Fully Online,TBA
14459,EDSC 524 - Assessing Student Learning,"50-SEM
Regular",Online,Fully Online,TBA
14203,EDSC 540 - Research and Pedagogy in Language Education,"50-SEM
Regular",Online,Fully Online,TBA
14252,EDSC 541 - Culture and Education of Latino Students,"50-SEM
Regular",Zoom,Fully Online,Fr 4:00-6:45PM
22024,EDSC 541 - Culture and Education of Latino Students,"51-SEM
Regular",Zoom,Fully Online,Fr 7:00-9:45PM
14175,EDSC 594 - Project Seminar,"50-SEM
Regular",Online,Fully Online,TBA
22158,EDSC 599 - Independent Graduate Research in Secondary Education,"50-SUP
Regular",Online,Fully Online,TBA
