Class ID,Class Name,Section,Room,Instruction Type,Time
10296,THTR 100 - Introduction to the Theatre,"01-LEC
Regular",CPAC 148 - Lecture Room,In Person,TuTh 9:00-10:15AM
11036,THTR 100 - Introduction to the Theatre,"02-LEC
Regular",CPAC 116 - Lecture Room,In Person,MoWe 8:30-9:45AM
11037,THTR 100 - Introduction to the Theatre,"03-LEC
Regular",CPAC 116 - Lecture Room,In Person,TuTh 8:30-9:45AM
11542,THTR 100 - Introduction to the Theatre,"04-LEC
Regular",CPAC 148 - Lecture Room,In Person,TuTh 10:30-11:45AM
20560,THTR 100 - Introduction to the Theatre,"05-LEC
Regular",Zoom,Fully Online,MoWe 10:00-11:15AM
20627,THTR 100 - Introduction to the Theatre,"06-LEC
Regular",Zoom,Fully Online,MoWe 10:00-11:15AM
10959,THTR 100 - Introduction to the Theatre,"50-LEC
Regular",Online,Fully Online,TBA
10960,THTR 100 - Introduction to the Theatre,"51-LEC
Regular",Online,Fully Online,TBA
11057,THTR 100 - Introduction to the Theatre,"52-LEC
Regular",Online,Fully Online,TBA
11124,THTR 100 - Introduction to the Theatre,"53-LEC
Regular",Online,Fully Online,TBA
11726,THTR 100 - Introduction to the Theatre,"54-LEC
Regular",Online,Fully Online,TBA
11039,THTR 110 - Oral Communication of Literature,"05-DIS
Regular",MH 047 - Lecture Room,In Person,MoWe 12:00-1:15PM
11540,THTR 110 - Oral Communication of Literature,"06-DIS
Regular",MH 504 - Lecture Room,In Person,TuTh 10:00-11:15AM
11483,THTR 110 - Oral Communication of Literature,"50-DIS
Regular",Online,Fully Online,TBA
10298,THTR 110 - Oral Communication of Literature,"51-DIS
Regular",Online,Fully Online,TBA
11704,THTR 110 - Oral Communication of Literature,"52-DIS
Regular",Online,Fully Online,TBA
21287,THTR 110 - Oral Communication of Literature,"53-DIS
Regular",Online,Fully Online,TBA
10301,THTR 141A - Voice/Movement I: Breath and Awareness,"01-ACT
Regular",CPAC 149 - Teaching Lab,In Person,MoWe 8:30-11:00AM
10302,THTR 141A - Voice/Movement I: Breath and Awareness,"03-ACT
Regular",CPAC 212 - Teaching Lab,In Person,MoWeFr 11:00AM-12:40PM
10303,THTR 160 - Introduction to Acting,"01-ACT
Regular",Zoom,Fully Online,MoWe 9:00-10:15AM
10304,THTR 160 - Introduction to Acting,"02-ACT
Regular",Zoom,Fully Online,TuTh 10:00-11:15AM
11058,THTR 160 - Introduction to Acting,"04-ACT
Regular",Zoom,Fully Online,MoWe 10:30-11:45AM
11602,THTR 160 - Introduction to Acting,"07-ACT
Regular",CPAC 121 - Teaching Lab,In Person,MoWe 9:30-10:45AM
11628,THTR 160 - Introduction to Acting,"08-ACT
Regular",CPAC 115 - Arena Theater,In Person,TuTh 2:30-3:45PM
11648,THTR 160 - Introduction to Acting,"09-ACT
Regular",CPAC 115 - Arena Theater,In Person,MoWe 1:00-2:15PM
11589,THTR 193 - Private Voice I - Foundations,"01-SUP
Regular",TBA,In Person,TBA
11670,THTR 193 - Private Voice I - Foundations,"02-SUP
Regular",TBA,In Person,TBA
11671,THTR 193 - Private Voice I - Foundations,"03-SUP
Regular",TBA,In Person,TBA
11799,THTR 193 - Private Voice I - Foundations,"04-SUP
Regular",TBA,In Person,TBA
11171,THTR 200 - Script Analysis,"01-LEC
Regular",CPAC 205 - Lecture Room,In Person,TuTh 1:00-2:15PM
10305,THTR 200 - Script Analysis,"02-LEC
Regular",CPAC 125 - Lecture Room,In Person,MoWe 11:30AM-12:45PM
10961,THTR 200 - Script Analysis,"03-LEC
Regular",CPAC 125 - Lecture Room,In Person,MoWe 10:00-11:15AM
10306,THTR 236A - Fundamentals of Musical Theatre Performance,"01-ACT
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,MoWe 9:00-10:40AM
10307,THTR 236A - Fundamentals of Musical Theatre Performance,"02-ACT
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,MoWe 1:00-2:40PM
10308,THTR 240A - Beginning Scene Study and Rehearsal Techniques,"01-ACT
Regular",CPAC 124 - Teaching Lab,In Person,MoWe 9:00-11:30AM
11370,THTR 240A - Beginning Scene Study and Rehearsal Techniques,"02-ACT
Regular",CPAC 117 - Teaching Lab,In Person,TuTh 1:00-3:30PM
11570,THTR 240A - Beginning Scene Study and Rehearsal Techniques,"03-ACT
Regular",CPAC 124 - Teaching Lab,In Person,TuTh 9:00-11:30AM
11603,THTR 240A - Beginning Scene Study and Rehearsal Techniques,"04-ACT
Regular",CPAC 124 - Teaching Lab,In Person,MoWe 12:00-2:30PM
10371,THTR 241A - Voice/Movement: Devised Theatre,"01-ACT
Regular",CPAC 212 - Teaching Lab,In Person,TuTh 9:00-11:30AM
11718,THTR 241A - Voice/Movement: Devised Theatre,"02-ACT
Regular",CPAC 115 - Arena Theater,In Person,TuTh 9:00-11:30AM
11169,THTR 275 - World Theatres I,"01-LEC
Regular",CPAC 116 - Lecture Room,In Person,TuTh 2:30-4:00PM
11495,THTR 275 - World Theatres I,"02-LEC
Regular",CPAC 217 - Lecture Room,In Person,MoWe 11:00AM-12:30PM
11719,THTR 275 - World Theatres I,"03-LEC
Regular",CPAC 217 - Lecture Room,In Person,MoWe 1:30-3:00PM
11761,THTR 275 - World Theatres I,"04-LEC
Regular",CPAC 125 - Lecture Room,In Person,TuTh 10:00-11:30AM
10309,THTR 276 - Introduction to Stagecraft,"01-ACT
Regular","CPAC 146 - Lecture Room
CPAC 154 - Scenic Lab THTR & D",In Person,"MoWe 11:30AM-12:50PM
MoWe 11:30AM-12:50PM"
10422,THTR 277 - Introduction to Costume Design,"01-LEC
Regular",CPAC 205 - Lecture Room,In Person,MoWe 1:00-2:15PM
11235,THTR 277 - Introduction to Costume Design,"02-LEC
Regular",CPAC 205 - Lecture Room,In Person,MoWe 2:30-3:45PM
21246,THTR 277 - Introduction to Costume Design,"03-LEC
Regular",CPAC 125 - Lecture Room,In Person,MoWe 2:30-3:45PM
11327,THTR 278B - Production,"01-ACT
Regular",CPAC 125 - Lecture Room,In Person,MoWeFr 6:45-11:00PM
11371,THTR 278B - Production,"02-ACT
Regular",CPAC 125 - Lecture Room,In Person,TuThSa 6:45-11:00PM
