Class ID,Class Name,Section,Room,Instruction Type,Time
15232,AGNG 133 - Introduction to Aging Studies,"01-LEC
Regular",KHS 164 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15771,AGNG 313 - California Gold: Diversity and Aging,"01-LEC
Regular",Hum 514 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
20142,AGNG 363 - Advanced Writing with a Focus on Aging,"01-LEC
Regular",Hum 409 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16304,AGNG 391 - Aging Science: Theoretical Foundations and Applications,"01-LEC
Regular",LH 315A - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16235,AGNG 450 - Applied Health Promotion in Aging Populations,"50-DIS
Regular",Online,Fully Online,TBA
16874,AGNG 493 - Aging Science: Research Evaluation and Implementation,"01-DIS
Regular",Hum 523 - Lecture Room,In Person,Fr 11:00AM - 1:45PM
15773,AGNG 495 - Gerontology Undergraduate Internship,"50-SUP
Regular",Online,Fully Online,TBA
16830,AGNG 503 - Aging and Public Policy,"50-SEM
Regular",Online,Fully Online,TBA
16572,AGNG 507 - Biopsychosocial Perspectives in Aging,"01-SEM
Regular","Hum 409 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 4:00PM - 6:45PM
TBA"
16077,AGNG 526 - Public Organizational Theory and Behavior,"01-SEM
Regular",GH 337 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
20237,"AGNG 593 - Research Methods in Gerontology, Project Development","01-SEM
Regular",Hum 414 - Lecture Room,In Person,We 4:00PM - 6:45PM
21154,"AGNG 593 - Research Methods in Gerontology, Project Development","02-SEM
Regular",Hum 512 - Self-Instruction Lab,In Person,Mo 4:00PM - 6:45PM
15359,AGNG 595 - Gerontology Internship,"01-SUP
Regular",TBA,In Person,TBA
