Class ID,Class Name,Section,Room,Instruction Type,Time
15731,AFAM 101 - Introduction to Ethnic Studies,"01-LEC
Regular",Hum 409 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
16109,AFAM 101 - Introduction to Ethnic Studies,"02-LEC
Regular",Hum 413 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16110,AFAM 101 - Introduction to Ethnic Studies,"03-LEC
Regular",MH 617 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16111,AFAM 101 - Introduction to Ethnic Studies,"04-LEC
Regular",MH 617 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
20766,AFAM 101 - Introduction to Ethnic Studies,"05-LEC
Regular",Hum 514 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
19568,AFAM 101 - Introduction to Ethnic Studies,"06-LEC
Regular",GH 335 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
19569,AFAM 101 - Introduction to Ethnic Studies,"07-LEC
Regular",KHS 160 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
19570,AFAM 101 - Introduction to Ethnic Studies,"08-LEC
Regular",MH 617 - Lecture Room,In Person,Th 4:00PM - 6:45PM
20770,AFAM 101 - Introduction to Ethnic Studies,"10-LEC
Regular",TBA,In Person,TuTh 11:30AM - 12:45PM
16142,AFAM 101 - Introduction to Ethnic Studies,"50-LEC
Regular",Online,Fully Online,TBA
16143,AFAM 101 - Introduction to Ethnic Studies,"51-LEC
Regular",Online,Fully Online,TBA
16144,AFAM 101 - Introduction to Ethnic Studies,"52-LEC
Regular",Online,Fully Online,TBA
15874,AFAM 107 - Introduction to African American Studies,"01-LEC
Regular",Hum 413 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15875,AFAM 107 - Introduction to African American Studies,"02-LEC
Regular",Hum 413 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16883,AFAM 107 - Introduction to African American Studies,"03-LEC
Regular",MH 617 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
20779,AFAM 107 - Introduction to African American Studies,"04-LEC
Regular",MH 617 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15396,AFAM 107 - Introduction to African American Studies,"50-LEC
Regular",Online,Fully Online,TBA
15873,AFAM 107 - Introduction to African American Studies,"51-LEC
Regular",Online,Fully Online,TBA
15996,AFAM 107 - Introduction to African American Studies,"52-LEC
Regular",Online,Fully Online,TBA
16707,AFAM 160 - Introduction to Black Creative Expression,"01-LEC
Regular",Online,Fully Online,TBA
15947,AFAM 160 - Introduction to Black Creative Expression,"50-LEC
Regular",Online,Fully Online,TBA
15948,AFAM 160 - Introduction to Black Creative Expression,"51-LEC
Regular",Online,Fully Online,TBA
15968,AFAM 160 - Introduction to Black Creative Expression,"52-LEC
Regular",Online,Fully Online,TBA
16146,AFAM 160 - Introduction to Black Creative Expression,"57-LEC
Regular",Online,Fully Online,TBA
16147,AFAM 160 - Introduction to Black Creative Expression,"60-LEC
Regular",Online,Fully Online,TBA
15998,AFAM 190 - Survey of American History with Emphasis on Ethnic Minorities,"01-DIS
Regular",EC 122 - Lecture Room,In Person,Fr 10:00AM - 12:45PM
15956,AFAM 190 - Survey of American History with Emphasis on Ethnic Minorities,"50-DIS
Regular",Online,Fully Online,TBA
15957,AFAM 190 - Survey of American History with Emphasis on Ethnic Minorities,"51-DIS
Regular",Online,Fully Online,TBA
16710,AFAM 250 - Introduction to Multi-Ethnic Literatures of the U.S.,"01-DIS
Regular",CP 127 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
15966,AFAM 260 - Black Lives Matter Creative and Critical Ideas,"50-DIS
Regular",Online,Fully Online,TBA
15967,AFAM 260 - Black Lives Matter Creative and Critical Ideas,"51-DIS
Regular",Online,Fully Online,TBA
16089,AFAM 307 - Research and Writing in Ethnic Studies,"01-LEC
Regular",Hum 224 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
21162,AFAM 310 - Black Women in America,"01-DIS
Regular",TBA,In Person,TuTh 2:30PM - 3:45PM
15770,AFAM 311 - Race and Relationships,"51-LEC
Regular",Online,Fully Online,TBA
21164,AFAM 314 - Pan-African Dance and Movement,"02-DIS
Regular",MH 617 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16267,"AFAM 321 - Activism, Engagement and Professional Development","01-DIS
Regular",MH 617 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16000,AFAM 322 - Black Psychology,"01-DIS
Regular",MH 617 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
16708,AFAM 356 - African American Music Appreciation,"01-DIS
Regular",Online,Fully Online,TBA
15398,AFAM 356 - African American Music Appreciation,"50-DIS
Regular",Online,Fully Online,TBA
16001,AFAM 357 - Blacks in the Performing Arts,"01-LEC
Regular",MH 617 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16003,AFAM 370 - Development of African American Children and Youth,"50-LEC
Regular",Online,Fully Online,TBA
16946,AFAM 370 - Development of African American Children and Youth,"51-LEC
Regular",Online,Fully Online,TBA
16004,AFAM 388 - Hip Hop Culture,"01-LEC
Regular",MH 617 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
20648,AFAM 410 - Language and Power in African American Culture,"01-DIS
Regular",MH 552 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
