Class ID,Class Name,Section,Room,Instruction Type,Time
18254,ASTR 101 - Introduction to Astronomy,"01-LEC
Regular",MOD 103 - Modular,In Person,MoWe 5:30PM - 6:45PM
18255,ASTR 101 - Introduction to Astronomy,"02-LEC
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
18377,ASTR 101 - Introduction to Astronomy,"03-LEC
Regular",Zoom,Fully Online,TuTh 8:30AM - 9:45AM
18420,ASTR 101 - Introduction to Astronomy,"04-LEC
Regular",SGMH 1406 - Lecture,In Person,MoWeFr 10:00AM - 10:50AM
18256,ASTR 101L - Introduction to Astronomy Laboratory,"01-LAB
Regular",MH 664 - Teaching Lab,In Person,Tu 11:30AM - 2:30PM
18257,ASTR 101L - Introduction to Astronomy Laboratory,"02-LAB
Regular",MH 664 - Teaching Lab,In Person,Tu 3:00PM - 5:50PM
18258,ASTR 101L - Introduction to Astronomy Laboratory,"03-LAB
Regular",MH 664 - Teaching Lab,In Person,Tu 7:00PM - 9:50PM
18850,ASTR 101L - Introduction to Astronomy Laboratory,"05-LAB
Regular",MH 664 - Teaching Lab,In Person,We 11:30AM - 2:20PM
18651,ASTR 101L - Introduction to Astronomy Laboratory,"06-LAB
Regular",MH 664 - Teaching Lab,In Person,We 3:00PM - 5:50PM
20950,ASTR 101L - Introduction to Astronomy Laboratory,"09-LAB
Regular",MH 664 - Teaching Lab,In Person,Th 11:30AM - 2:20PM
20973,ASTR 101L - Introduction to Astronomy Laboratory,"10-LAB
Regular",MH 664 - Teaching Lab,In Person,Th 3:00PM - 5:50PM
