Class ID,Class Name,Section,Room,Instruction Type,Time
12426,BUAD 100 - Foundations for College Success and Lifelong Learning,"01-LEC
Regular",SGMH 2109 - Computer Lab,In Person,MoWe 8:30AM - 9:45AM
12428,BUAD 100 - Foundations for College Success and Lifelong Learning,"03-LEC
Regular",SGMH 2308A - Computer Lab,In Person,TuTh 8:30AM - 9:45AM
11936,BUAD 201 - Business Writing,"01-SEM
Regular",SGMH 2108 - Computer Lab,In Person,MoWe 8:30AM - 9:45AM
11833,BUAD 201 - Business Writing,"02-SEM
Regular",SGMH 2108 - Computer Lab,In Person,MoWe 10:00AM - 11:15AM
11892,BUAD 201 - Business Writing,"03-SEM
Regular",SGMH 2112 - Computer Lab,In Person,MoWe 11:30AM - 12:45PM
11834,BUAD 201 - Business Writing,"04-SEM
Regular",SGMH 2112 - Computer Lab,In Person,MoWe 1:00PM - 2:15PM
11835,BUAD 201 - Business Writing,"05-SEM
Regular",SGMH 2112 - Computer Lab,In Person,MoWe 2:30PM - 3:45PM
11916,BUAD 201 - Business Writing,"07-SEM
Regular",SGMH 1109 - Lecture,In Person,TuTh 8:30AM - 9:45AM
11837,BUAD 201 - Business Writing,"10-SEM
Regular",SGMH 2108 - Computer Lab,In Person,TuTh 8:30AM - 9:45AM
11838,BUAD 201 - Business Writing,"11-SEM
Regular",SGMH 2311 - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
12048,BUAD 201 - Business Writing,"12-SEM
Regular",SGMH 2508 - Computer Lab,In Person,TuTh 11:30AM - 12:45PM
12053,BUAD 201 - Business Writing,"13-SEM
Regular",SGMH 2311 - Computer Lab,In Person,TuTh 1:00PM - 2:15PM
12103,BUAD 201 - Business Writing,"14-SEM
Regular",SGMH 2505 - Lecture,In Person,TuTh 2:30PM - 3:45PM
12104,BUAD 201 - Business Writing,"15-SEM
Regular",SGMH 2504 - Computer Lab,In Person,TuTh 2:30PM - 3:45PM
12254,BUAD 201 - Business Writing,"16-SEM
Regular",SGMH 2108 - Computer Lab,In Person,TuTh 4:00PM - 5:15PM
12258,BUAD 201 - Business Writing,"17-SEM
Regular",SGMH 2108 - Computer Lab,In Person,TuTh 5:30PM - 6:45PM
11978,BUAD 201 - Business Writing,"18-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12181,BUAD 201 - Business Writing,"19-SEM
Regular",SGMH 2508 - Computer Lab,In Person,Th 7:00PM - 9:45PM
12345,BUAD 201 - Business Writing,"20-SEM
Regular",SGMH 1108 - Lecture,In Person,Fr 8:00AM - 10:45AM
12460,BUAD 201 - Business Writing,"21-SEM
Regular",SGMH 2112 - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
12462,BUAD 201 - Business Writing,"22-SEM
Regular",SGMH 2105 - Computer Lab,In Person,MoWe 7:00AM - 8:15AM
12465,BUAD 201 - Business Writing,"23-SEM
Regular",SGMH 2113 - Computer Lab,In Person,TuTh 7:00AM - 8:15AM
12467,BUAD 201 - Business Writing,"24-SEM
Regular",SGMH 2108 - Computer Lab,In Person,TuTh 7:00AM - 8:15AM
12593,BUAD 201 - Business Writing,"25-SEM
Regular",SGMH 2311 - Computer Lab,In Person,TuTh 8:30AM - 9:45AM
12596,BUAD 201 - Business Writing,"26-SEM
Regular",SGMH 2505 - Lecture,In Person,Fr 8:00AM - 10:45AM
12597,BUAD 201 - Business Writing,"27-SEM
Regular",SGMH 2504 - Computer Lab,In Person,Fr 11:00AM - 1:45PM
12598,BUAD 201 - Business Writing,"28-SEM
Regular",SGMH 2504 - Computer Lab,In Person,Fr 8:00AM - 10:45AM
12599,BUAD 201 - Business Writing,"29-SEM
Regular",SGMH 2113 - Computer Lab,In Person,Fr 11:00AM - 1:45PM
12616,BUAD 201 - Business Writing,"30-SEM
Regular",SGMH 2311 - Computer Lab,In Person,TuTh 7:00AM - 8:15AM
20082,BUAD 201 - Business Writing,"31-SEM
Regular",SGMH 2505 - Lecture,In Person,Fr 11:00AM - 1:45PM
20083,BUAD 201 - Business Writing,"34-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Fr 8:00AM - 10:45AM
20084,BUAD 201 - Business Writing,"35-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Fr 11:00AM - 1:45PM
20085,BUAD 201 - Business Writing,"36-SEM
Regular",SGMH 2112 - Computer Lab,In Person,Fr 8:00AM - 10:45AM
