Class ID,Class Name,Section,Room,Instruction Type,Time
12201,BUAD 201 - Business Writing,"08-SEM
Regular",SGMH 2112 - Computer Lab,In Person,We 4:00PM - 6:45PM
12241,BUAD 201 - Business Writing,"10-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Fr 11:00AM - 1:45PM
12276,BUAD 201 - Business Writing,"11-SEM
Regular",SGMH 2311 - Computer Lab,In Person,Fr 11:00AM - 1:45PM
12317,BUAD 201 - Business Writing,"13-SEM
Regular",SGMH 2311 - Computer Lab,In Person,Tu 4:00PM - 6:45PM
12849,BUAD 201 - Business Writing,"18-SEM
Regular",SGMH 2108 - Computer Lab,In Person,We 7:00PM - 9:45PM
21275,BUAD 201 - Business Writing,"20-SEM
Regular",SGMH 2109 - Computer Lab,In Person,Fr 11:00AM - 1:45PM
12502,BUAD 201 - Business Writing,"41-SEM
Regular",SGMH 2112 - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
12191,BUAD 210 - Understanding Business,"01-LEC
Regular",LH 308 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
22002,BUAD 300 - Professional and Career Development,"17-DIS
Regular",SGMH 2105 - Computer Lab,In Person,MoWe 8:30AM - 9:45AM
12160,BUAD 301 - Advanced Business Communication,"01-SEM
Regular",SGMH 2112 - Computer Lab,In Person,MoWe 7:00AM - 8:15AM
12047,BUAD 301 - Advanced Business Communication,"02-SEM
Regular",SGMH 2112 - Computer Lab,In Person,MoWe 8:30AM - 9:45AM
12141,BUAD 301 - Advanced Business Communication,"04-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Mo 4:00PM - 6:45PM
12168,BUAD 301 - Advanced Business Communication,"06-SEM
Regular",SGMH 2112 - Computer Lab,In Person,Mo 4:00PM - 6:45PM
12051,BUAD 301 - Advanced Business Communication,"10-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Mo 7:00PM - 9:45PM
12263,BUAD 301 - Advanced Business Communication,"11-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Sa 10:00AM - 12:45PM
12268,BUAD 301 - Advanced Business Communication,"19-SEM
Regular",SGMH 2311 - Computer Lab,In Person,Fr 8:00AM - 10:45AM
12322,BUAD 301 - Advanced Business Communication,"25-SEM
Regular",SGMH 2112 - Computer Lab,In Person,Tu 4:00PM - 6:45PM
12348,BUAD 301 - Advanced Business Communication,"29-SEM
Regular",SGMH 2108 - Computer Lab,In Person,Fr 2:00PM - 4:45PM
12366,BUAD 301 - Advanced Business Communication,"30-SEM
Regular",SGMH 2311 - Computer Lab,In Person,MoWe 10:00AM - 11:15AM
12053,BUAD 301 - Advanced Business Communication,"40-SEM
Regular",SGMH 2108 - Computer Lab,In Person,TuTh 10:00AM - 11:15AM
12209,BUAD 360 - Entertainment Money Management,"01-LEC
Regular",SGMH 1108 - Lecture,In Person,TuTh 10:00AM - 11:15AM
12733,BUAD 410 - Starting and Managing a Professional Practice/Small Business,"01-LEC
Regular",SGMH 2505 - Lecture,In Person,We 7:00PM - 9:45PM
12630,BUAD 501A - Executive Communication,"02-LEC
Special",SGMH 2508 - Computer Lab,In Person,Th 7:00PM - 9:45PM
12054,BUAD 591 - Business Strategy Capstone,"01-SEM
Regular",SGMH 2205 - Lecture,In Person,Mo 7:00PM - 9:45PM
12639,BUAD 591 - Business Strategy Capstone,"02-SEM
Regular",SGMH 1506 - Lecture,In Person,Mo 7:00PM - 9:45PM
