Class ID,Class Name,Section,Room,Instruction Type,Time
15732,CHIC 101 - Introduction to Ethnic Studies,"01-LEC
Regular",EC 011 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15944,CHIC 101 - Introduction to Ethnic Studies,"02-LEC
Regular",Hum 322 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
16092,CHIC 101 - Introduction to Ethnic Studies,"03-LEC
Regular",Hum 322 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16093,CHIC 101 - Introduction to Ethnic Studies,"04-LEC
Regular",KHS 160 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16114,CHIC 101 - Introduction to Ethnic Studies,"05-LEC
Regular",EC 122 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16058,CHIC 101 - Introduction to Ethnic Studies,"07-LEC
Regular",EC 122 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
17004,CHIC 101 - Introduction to Ethnic Studies,"10-LEC
Regular",Hum 128 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
17005,CHIC 101 - Introduction to Ethnic Studies,"11-LEC
Regular",EC 122 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
17010,CHIC 101 - Introduction to Ethnic Studies,"12-LEC
Regular",MH 655 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16091,CHIC 101 - Introduction to Ethnic Studies,"50-LEC
Regular",Online,Fully Online,TBA
16937,CHIC 101 - Introduction to Ethnic Studies,"51-LEC
Regular",Online,Fully Online,TBA
15412,CHIC 102 - Communication Skills,"01-DIS
Regular",EC 122 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15551,CHIC 102 - Communication Skills,"03-DIS
Regular",EC 122 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16113,CHIC 102 - Communication Skills,"04-DIS
Regular",EC 122 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15814,CHIC 102 - Communication Skills,"05-DIS
Regular",GH 240 - Seminar,In Person,TuTh 2:30PM - 3:45PM
16877,CHIC 102 - Communication Skills,"06-DIS
Regular",Hum 413 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
16059,CHIC 106 - Introduction to Chicano Studies,"01-LEC
Regular",Hum 322 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
16060,CHIC 106 - Introduction to Chicano Studies,"02-LEC
Regular",EC 122 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
16061,CHIC 106 - Introduction to Chicano Studies,"03-LEC
Regular",EC 122 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16062,CHIC 106 - Introduction to Chicano Studies,"04-LEC
Regular",EC 122 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
16339,CHIC 106 - Introduction to Chicano Studies,"05-LEC
Regular",EC 122 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16192,CHIC 106 - Introduction to Chicano Studies,"06-LEC
Regular",Hum 322 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
16189,CHIC 106 - Introduction to Chicano Studies,"08-LEC
Regular",Hum 322 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16186,CHIC 106 - Introduction to Chicano Studies,"09-LEC
Regular",EC 122 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16187,CHIC 106 - Introduction to Chicano Studies,"10-LEC
Regular",Hum 322 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16188,CHIC 106 - Introduction to Chicano Studies,"11-LEC
Regular",Hum 128 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
16190,CHIC 106 - Introduction to Chicano Studies,"13-LEC
Regular",Hum 514 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
16191,CHIC 106 - Introduction to Chicano Studies,"15-LEC
Regular",Hum 322 - Lecture Room,In Person,Fr 9:00AM - 11:45AM
16881,CHIC 106 - Introduction to Chicano Studies,"16-LEC
Regular",Hum 426 - Lecture Room,In Person,Fr 1:00PM - 3:45PM
16882,CHIC 106 - Introduction to Chicano Studies,"17-LEC
Regular",Hum 322 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15285,CHIC 106 - Introduction to Chicano Studies,"50-LEC
Regular",Online,Fully Online,TBA
15903,CHIC 106 - Introduction to Chicano Studies,"51-LEC
Regular",Online,Fully Online,TBA
16063,CHIC 106 - Introduction to Chicano Studies,"52-LEC
Regular",Online,Fully Online,TBA
16135,CHIC 106 - Introduction to Chicano Studies,"53-LEC
Regular",Online,Fully Online,TBA
16193,CHIC 106 - Introduction to Chicano Studies,"54-LEC
Regular",Online,Fully Online,TBA
16194,CHIC 106 - Introduction to Chicano Studies,"55-LEC
Regular",Online,Fully Online,TBA
16195,CHIC 106 - Introduction to Chicano Studies,"56-LEC
Regular",Online,Fully Online,TBA
16196,CHIC 106 - Introduction to Chicano Studies,"57-LEC
Regular",Online,Fully Online,TBA
16338,CHIC 106 - Introduction to Chicano Studies,"58-LEC
Regular",Online,Fully Online,TBA
16936,CHIC 106 - Introduction to Chicano Studies,"59-LEC
Regular",Online,Fully Online,TBA
17006,CHIC 106 - Introduction to Chicano Studies,"60-LEC
Regular",Online,Fully Online,TBA
15250,CHIC 190 - Survey of American History with Emphasis on Ethnic Minorities,"50-DIS
Regular",Online,Fully Online,TBA
15815,CHIC 190 - Survey of American History with Emphasis on Ethnic Minorities,"51-DIS
Regular",Online,Fully Online,TBA
15942,CHIC 201 - Chicana and Chicano Environmentalisms,"50-LEC
Regular",Online,Fully Online,TBA
16781,CHIC 201 - Chicana and Chicano Environmentalisms,"51-LEC
Regular",Online,Fully Online,TBA
