Class ID,Class Name,Section,Room,Instruction Type,Time
19717,CAS 100 - Foundations for Success in CAS and College,"01-DIS
Regular","LH 403B - Lecture Room
Zoom",Mostly In-Person (Hybrid),"MoWe 10:00AM - 11:15AM
MoWe 10:00AM - 11:15AM"
19718,CAS 100 - Foundations for Success in CAS and College,"02-DIS
Regular",EC 165 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
14854,CAS 100 - Foundations for Success in CAS and College,"03-DIS
Regular",EC 165 - Lecture Room,In Person,Tu 10:00AM - 12:45PM
14617,CAS 100 - Foundations for Success in CAS and College,"50-DIS
Regular","Zoom
Online",Fully Online,"Tu 4:00PM - 6:45PM
TBA"
13764,CAS 101 - Introduction to Child and Adolescent Development,"03-LEC
Regular",LH 404 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
14662,CAS 101 - Introduction to Child and Adolescent Development,"04-LEC
Regular",GH 302 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
13739,CAS 101 - Introduction to Child and Adolescent Development,"50-LEC
Regular","Zoom
Online",Fully Online,"Tu 4:00PM - 5:15PM
TBA"
14499,CAS 101 - Introduction to Child and Adolescent Development,"51-LEC
Regular",Online,Fully Online,TBA
14500,CAS 101 - Introduction to Child and Adolescent Development,"52-LEC
Regular",Online,Fully Online,TBA
14687,CAS 101 - Introduction to Child and Adolescent Development,"53-LEC
Regular",Online,Fully Online,TBA
19722,CAS 131 - Explore Core: Migrant Lives,"01-LEC
Regular","EC 165 - Lecture Room
TBA",Mostly In-Person (Hybrid),"Mo 11:30AM - 12:45PM
TBA"
20792,CAS 200 - Thriving as a Transfer Student in CAS and College,"01-DIS
Regular","GH 305 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 4:00PM - 5:15PM
TBA"
20882,CAS 200 - Thriving as a Transfer Student in CAS and College,"02-DIS
Regular","EC 023 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 7:00PM - 8:15PM
TBA"
20881,CAS 200 - Thriving as a Transfer Student in CAS and College,"03-DIS
Regular","CP 125 - Lecture Room
Online",Mostly In-Person (Hybrid),"We 11:30AM - 12:45PM
TBA"
13769,"CAS 201 - Child, Family, and Community","01-LEC
Regular","LH 404 - Lecture Room
Online",Mostly In-Person (Hybrid),"TuTh 10:00AM - 11:15AM
TBA"
14618,"CAS 201 - Child, Family, and Community","02-LEC
Regular","GH 302 - Lecture Room
Online",Mostly In-Person (Hybrid),"MoWe 11:30AM - 12:45PM
TBA"
13746,"CAS 201 - Child, Family, and Community","51-LEC
Regular",Online,Fully Online,TBA
14421,"CAS 201 - Child, Family, and Community","52-LEC
Regular",Online,Fully Online,TBA
14491,"CAS 201 - Child, Family, and Community","53-LEC
Regular",Online,Fully Online,TBA
14872,"CAS 201 - Child, Family, and Community","54-LEC
Regular",Online,Fully Online,TBA
14707,CAS 206 - Health and Safety in Early Childhood,"01-LEC
Regular","Zoom
TBA",Fully Online,"Mo 5:15PM - 6:45PM
TBA"
14400,CAS 221 - Responsive Care and Practices for Infants and Toddlers,"50-LEC
Regular",Online,Fully Online,TBA
13753,CAS 250 - Introduction to Early Childhood Curriculum,"01-LEC
Regular","MOD 104 - Modular
Online",Mostly In-Person (Hybrid),"We 4:00PM - 6:45PM
TBA"
13696,CAS 300 - Elements of Effective Professional Communication,"02-SEM
Regular",EC 025 - Nurs Teaching Lab,In Person,Mo 1:00PM - 3:45PM
13697,CAS 300 - Elements of Effective Professional Communication,"04-SEM
Regular",EC 025 - Nurs Teaching Lab,In Person,We 10:00AM - 12:45PM
13698,CAS 300 - Elements of Effective Professional Communication,"06-SEM
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),"Tu 10:00AM - 11:30AM
TBA"
14623,CAS 300 - Elements of Effective Professional Communication,"08-SEM
Regular",EC 025 - Nurs Teaching Lab,In Person,Tu 4:00PM - 6:45PM
14584,CAS 300 - Elements of Effective Professional Communication,"10-SEM
Regular",EC 025 - Nurs Teaching Lab,In Person,Th 11:00AM - 1:45PM
14585,CAS 300 - Elements of Effective Professional Communication,"11-SEM
Regular","EC 109 - Lecture Room
Online",Mostly In-Person (Hybrid),"Th 1:00PM - 3:45PM
TBA"
14401,CAS 300 - Elements of Effective Professional Communication,"50-SEM
Regular","Zoom
Online",Fully Online,"Th 7:00PM - 9:45PM
TBA"
14402,CAS 300 - Elements of Effective Professional Communication,"51-SEM
Regular",Online,Fully Online,TBA
14403,CAS 300 - Elements of Effective Professional Communication,"52-SEM
Regular",Online,Fully Online,TBA
14404,CAS 300 - Elements of Effective Professional Communication,"53-SEM
Regular",Online,Fully Online,TBA
14570,CAS 300 - Elements of Effective Professional Communication,"54-SEM
Regular",Online,Fully Online,TBA
14571,CAS 300 - Elements of Effective Professional Communication,"55-SEM
Regular",Online,Fully Online,TBA
14709,CAS 301 - Inquiry and Methodology in Development,"01-SEM
Regular",EC 055 - Spec Computer Lab,In Person,MoWe 8:30AM - 9:45AM
14710,CAS 301 - Inquiry and Methodology in Development,"02-SEM
Regular",EC 055 - Spec Computer Lab,In Person,MoWe 10:00AM - 11:15AM
14711,CAS 301 - Inquiry and Methodology in Development,"03-SEM
Regular",EC 055 - Spec Computer Lab,In Person,MoWe 1:00PM - 2:15PM
14712,CAS 301 - Inquiry and Methodology in Development,"04-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"Th 8:30AM - 9:45AM
TBA"
14713,CAS 301 - Inquiry and Methodology in Development,"05-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"TuTh 10:30AM - 11:45AM
TBA"
14714,CAS 301 - Inquiry and Methodology in Development,"06-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"TuTh 1:00PM - 2:15PM
TBA"
14715,CAS 301 - Inquiry and Methodology in Development,"07-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"TuTh 2:30PM - 3:45PM
TBA"
14716,CAS 301 - Inquiry and Methodology in Development,"08-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"Tu 4:00PM - 5:30PM
TBA"
14717,CAS 301 - Inquiry and Methodology in Development,"09-SEM
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),"We 1:00PM - 2:30PM
TBA"
14718,CAS 301 - Inquiry and Methodology in Development,"10-SEM
Regular","EC 124 - Lecture Room
Online",Mostly In-Person (Hybrid),"We 4:00PM - 6:45PM
TBA"
14719,CAS 301 - Inquiry and Methodology in Development,"11-SEM
Regular",EC 055 - Spec Computer Lab,In Person,Th 4:00PM - 6:45PM
14720,CAS 301 - Inquiry and Methodology in Development,"12-SEM
Regular",EC 055 - Spec Computer Lab,In Person,Th 7:00PM - 9:45PM
14721,CAS 301 - Inquiry and Methodology in Development,"50-SEM
Regular","MH 047 - Lecture Room
Online",Mostly Online w/ In-Person Mtg,"Tu 7:00PM - 9:45PM
TBA"
14722,CAS 301 - Inquiry and Methodology in Development,"51-SEM
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"Mo 11:30AM - 12:45PM
TBA"
14723,CAS 301 - Inquiry and Methodology in Development,"52-SEM
Regular","EC 124 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 11:30AM - 12:45PM
TBA"
14724,CAS 301 - Inquiry and Methodology in Development,"53-SEM
Regular","EC 023 - Lecture Room
Online",Mostly In-Person (Hybrid),"We 10:00AM - 11:15AM
TBA"
14876,CAS 301 - Inquiry and Methodology in Development,"55-SEM
Regular","KHS 108 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 5:30PM - 6:45PM
TBA"
20657,CAS 302 - Cultural Competence in Developmental Contexts,"01-LEC
Regular","EC 109 - Lecture Room
Zoom",Mostly In-Person (Hybrid),"Tu 1:00PM - 2:15PM
TBA"
14831,CAS 305 - Advanced Assessment in Early Childhood,"02-LEC
Regular","Hum 322 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 7:00PM - 9:45PM
TBA"
14565,CAS 310 - Assessing and Observing Development,"02-LEC
Regular",Hum 412 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
14624,CAS 310 - Assessing and Observing Development,"03-LEC
Regular","EC 067 - Lecture Room
Online",Mostly In-Person (Hybrid),"We 10:00AM - 11:15AM
TBA"
14501,CAS 310 - Assessing and Observing Development,"04-LEC
Regular",EC 203 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
14405,CAS 310 - Assessing and Observing Development,"50-LEC
Regular",Online,Fully Online,TBA
14406,CAS 310 - Assessing and Observing Development,"51-LEC
Regular",Online,Fully Online,TBA
13700,CAS 312 - Human Growth and Development,"50-LEC
Regular",Online,Fully Online,TBA
14502,CAS 312 - Human Growth and Development,"52-LEC
Regular",Online,Fully Online,TBA
13701,CAS 315 - Child Development,"50-LEC
Regular",Online,Fully Online,TBA
14364,CAS 321 - Advanced Study of Infant and Toddler Development,"50-LEC
Regular",Online,Fully Online,TBA
14503,CAS 325A - Conception Through Age 8,"01-DIS
Regular",EC 008 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
14504,CAS 325A - Conception Through Age 8,"03-DIS
Regular","EC 067 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 10:00AM - 11:15AM
TBA"
13744,CAS 325A - Conception Through Age 8,"50-DIS
Regular",Online,Fully Online,TBA
13702,CAS 325A - Conception Through Age 8,"51-DIS
Regular",Online,Fully Online,TBA
14558,CAS 325A - Conception Through Age 8,"52-DIS
Regular",Online,Fully Online,TBA
14505,CAS 325B - Age 9 Through Adolescence,"01-DIS
Regular",EC 203 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
13766,CAS 325B - Age 9 Through Adolescence,"05-DIS
Regular","EC 203 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 1:00PM - 2:15PM
TBA"
14407,CAS 325B - Age 9 Through Adolescence,"51-DIS
Regular","Zoom
Online",Fully Online,"Th 4:00PM - 6:45PM
TBA"
14408,CAS 325B - Age 9 Through Adolescence,"52-DIS
Regular",Online,Fully Online,TBA
13750,CAS 325B - Age 9 Through Adolescence,"53-DIS
Regular",Online,Fully Online,TBA
14334,CAS 325B - Age 9 Through Adolescence,"54-DIS
Regular",Online,Fully Online,TBA
14625,CAS 325B - Age 9 Through Adolescence,"55-DIS
Regular",Online,Fully Online,TBA
14409,CAS 327 - Optimizing Development During Adolescence,"50-DIS
Regular",Online,Fully Online,TBA
20887,CAS 328 - Child Life Theory and Practice,"02-LEC
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"We 4:00PM - 6:45PM
TBA"
13748,CAS 330 - Adolescence and Early Adulthood,"50-DIS
Regular",Online,Fully Online,TBA
14507,CAS 330 - Adolescence and Early Adulthood,"51-DIS
Regular",Online,Fully Online,TBA
13747,CAS 340 - Parenting Today,"02-DIS
Regular",GH 302 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
13751,CAS 340 - Parenting Today,"50-DIS
Regular",Online,Fully Online,TBA
14412,CAS 340 - Parenting Today,"51-DIS
Regular",Online,Fully Online,TBA
13704,CAS 340 - Parenting Today,"52-DIS
Regular",Online,Fully Online,TBA
13768,CAS 345 - Child and Adolescent Development in Diverse Family Contexts,"01-LEC
Regular",KHS 108 - Lecture Room,In Person,We 10:00AM - 12:45PM
14410,CAS 346 - Advanced Study in Preschool Development,"50-LEC
Regular",Online,Fully Online,TBA
14626,CAS 353 - Learning and Motivation in Early Childhood,"50-LEC
Regular",Online,Fully Online,TBA
13706,CAS 360 - Adolescents and the Media,"50-LEC
Regular",Online,Fully Online,TBA
20795,CAS 360 - Adolescents and the Media,"51-LEC
Regular",Online,Fully Online,TBA
14411,CAS 370 - Development of African American Children and Youth,"50-LEC
Regular",Online,Fully Online,TBA
14706,CAS 380 - Adolescent Sexuality and Intimate Relationships,"50-DIS
Regular","Zoom
Online",Fully Online,"Th 7:00PM - 8:30PM
TBA"
14792,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"07-LEC
Regular","Zoom
Online",Fully Online,"We 4:00PM - 5:50PM
TBA"
14793,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"08-CLN
Regular",TBA,In Person,TBA
14790,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"30-LEC
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"We 11:30AM - 12:50PM
TBA"
14791,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"31-CLN
Regular",TBA,In Person,TBA
14798,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"50-LEC
Regular",Online,Fully Online,TBA
14799,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"51-CLN
Regular",TBA,In Person,TBA
14800,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"52-LEC
Regular",Online,Fully Online,TBA
14801,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"53-CLN
Regular",TBA,In Person,TBA
14802,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"54-LEC
Regular",Online,Fully Online,TBA
14803,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"55-CLN
Regular",TBA,In Person,TBA
14804,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"56-LEC
Regular",Online,Fully Online,TBA
14805,CAS 394 - Introductory Practicum in Child and Adolescent Studies,"57-CLN
Regular",TBA,In Person,TBA
14674,CAS 399 - Peer Mentoring Academy for Student Success,"02-SEM
Regular","EC 205 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 11:00AM - 12:50PM
TBA"
21244,CAS 454 - Practicum in Transitional Early Childhood Education,"01-LEC
Regular","EC 055 - Spec Computer Lab
Online",Mostly In-Person (Hybrid),"Mo 5:00PM - 6:50PM
TBA"
14820,CAS 464 - Practicum Seminar in Early Care and Education,"03-DIS
Regular","EC 025 - Nurs Teaching Lab
Online",Mostly In-Person (Hybrid),"We 7:00PM - 8:50PM
TBA"
14821,CAS 464 - Practicum Seminar in Early Care and Education,"04-CLN
Regular",TBA,In Person,TBA
13752,CAS 474 - Practicum in Development in School Settings,"50-DIS
Regular",Online,Fully Online,TBA
14414,CAS 474 - Practicum in Development in School Settings,"51-CLN
Regular",TBA,In Person,TBA
