Class ID,Class Name,Section,Room,Instruction Type,Time
12629,CTVA 100 - Introduction to Cinema and Television,"50-LEC
Regular",Online,Fully Online,TBA
13128,CTVA 102 - Inside The Movies,"01-LEC
Regular",Hum 123 - Lecture Room,In Person,We 7:00PM - 10:00PM
20358,CTVA 225 - Production for Non-Production Track,"01-DIS
Regular",EC 024A - Lecture Room,In Person,We 1:00PM - 2:40PM
20359,CTVA 225 - Production for Non-Production Track,"02-LAB
Regular",PLS049 - Television Studio,In Person,We 2:45PM - 5:15PM
12656,CTVA 250 - Writing Short Scripts,"01-SEM
Regular",CP 126 - Lecture Room,In Person,Th 4:00PM - 6:45PM
13010,CTVA 250 - Writing Short Scripts,"02-SEM
Regular",CP 126 - Lecture Room,In Person,Fr 10:00AM - 12:45PM
20274,CTVA 271 - American Cinema: Beginnings-1945,"01-LEC
Regular",CP 126 - Lecture Room,In Person,Th 1:00PM - 3:45PM
12630,CTVA 300 - Language of Film,"50-LEC
Regular",Online,Fully Online,TBA
13187,CTVA 300 - Language of Film,"51-LEC
Regular",Online,Fully Online,TBA
13188,CTVA 300 - Language of Film,"52-LEC
Regular",Online,Fully Online,TBA
13057,CTVA 301 - Critical Studies: Cinema,"01-LEC
Regular",CP 126 - Lecture Room,In Person,Tu 1:00PM - 3:45PM
13093,CTVA 301 - Critical Studies: Cinema,"02-LEC
Regular",CP 126 - Lecture Room,In Person,We 10:00AM - 12:45PM
12991,CTVA 301 - Critical Studies: Cinema,"50-LEC
Regular",Online,Fully Online,TBA
13243,CTVA 301 - Critical Studies: Cinema,"51-LEC
Regular",Online,Fully Online,TBA
13190,CTVA 302 - Critical Studies: Television,"01-LEC
Regular","Zoom
Online",Fully Online,"We 11:30AM - 12:45PM
TBA"
13008,CTVA 302 - Critical Studies: Television,"02-LEC
Regular","Zoom
Online",Fully Online,"We 1:00PM - 2:15PM
TBA"
13191,CTVA 302 - Critical Studies: Television,"03-LEC
Regular",EC 024A - Lecture Room,In Person,Th 4:00PM - 6:45PM
12818,CTVA 304 - Film and Television Narrative: The Writer's Perspective,"01-LEC
Regular",SGMH 1506 - Lecture,In Person,Mo 4:00PM - 6:45PM
13011,CTVA 305 - Diversity in Television,"01-LEC
Regular",MH 121 - Lecture Room,Mostly In-Person (Hybrid),Th 4:00PM - 5:15PM
12797,CTVA 310 - Audio Production,"01-DIS
Regular",PLS061 - Lecture,In Person,Mo 1:00PM - 2:40PM
12798,CTVA 310 - Audio Production,"02-LAB
Regular",PLS061 - Lecture,In Person,Mo 2:45PM - 5:15PM
12644,CTVA 325 - Production 1,"01-DIS
Regular",PLS061 - Lecture,In Person,Tu 8:30AM - 10:10AM
12645,CTVA 325 - Production 1,"02-LAB
Regular",PLS061 - Lecture,In Person,Tu 10:15AM - 12:45PM
13130,CTVA 325 - Production 1,"03-DIS
Regular",PLS061 - Lecture,In Person,Th 8:30AM - 10:10AM
13131,CTVA 325 - Production 1,"04-LAB
Regular",PLS061 - Lecture,In Person,Th 10:15AM - 12:45PM
13195,CTVA 325 - Production 1,"05-DIS
Regular",PLS061 - Lecture,In Person,Th 5:30PM - 7:10PM
13196,CTVA 325 - Production 1,"06-LAB
Regular",PLS061 - Lecture,In Person,Th 7:15PM - 9:45PM
12993,CTVA 325 - Production 1,"07-DIS
Regular",PLS061 - Lecture,In Person,Fr 1:00PM - 2:40PM
12994,CTVA 325 - Production 1,"08-LAB
Regular",PLS061 - Lecture,In Person,Fr 2:45PM - 5:15PM
12660,CTVA 341 - Business of Television,"01-LEC
Regular",MH 121 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
13052,CTVA 346 - Video Games and Storytelling,"01-LEC
Regular",KHS 199 - Lecture Room,In Person,Th 4:00PM - 6:45PM
12661,CTVA 349T - Writing about the Moving Image,"01-SEM
Regular",CP 126 - Lecture Room,In Person,Tu 10:00AM - 12:45PM
13063,CTVA 349T - Writing about the Moving Image,"03-SEM
Regular",CP 126 - Lecture Room,In Person,Th 10:00AM - 12:45PM
13134,CTVA 349T - Writing about the Moving Image,"04-SEM
Regular",GH 239 - Seminar,In Person,Mo 4:00PM - 6:45PM
21183,CTVA 349T - Writing about the Moving Image,"05-SEM
Regular",CP 128 - Lecture Room,In Person,We 7:00PM - 9:45PM
12651,CTVA 350 - Story Structure,"01-SEM
Regular",EC 024A - Lecture Room,In Person,Mo 1:00PM - 3:45PM
13056,CTVA 350 - Story Structure,"02-SEM
Regular",EC 024A - Lecture Room,In Person,Tu 7:00PM - 9:45PM
12655,CTVA 350 - Story Structure,"03-SEM
Regular",EC 024A - Lecture Room,In Person,We 10:00AM - 12:45PM
21348,CTVA 350 - Story Structure,"04-SEM
Regular",EC 024A - Lecture Room,In Person,Tu 1:00PM - 3:45PM
12646,CTVA 350 - Story Structure,"50-SEM
Regular",Online,Fully Online,TBA
20347,CTVA 350 - Story Structure,"51-SEM
Regular",Online,Fully Online,TBA
21349,CTVA 350 - Story Structure,"52-SEM
Regular",Online,Fully Online,TBA
12662,CTVA 351 - TV Scriptwriting: Sitcom,"50-SEM
Regular",Online,Fully Online,TBA
