Class ID,Class Name,Section,Room,Instruction Type,Time
13520,EGCE 104 - Computer-Aided Architectural and Civil Engineering Drafting,"01-LAB
Regular",CS 207 - Self Instruct Lab,In Person,Tu 7:00PM - 9:45PM
13808,EGCE 104 - Computer-Aided Architectural and Civil Engineering Drafting,"02-LAB
Regular",CS 207 - Self Instruct Lab,In Person,We 7:00PM - 9:45PM
13715,EGCE 110L - Engineering Surveying Laboratory,"03-LAB
Regular",CS 204 - Self Instruct Lab,In Person,Tu 8:30AM - 11:15AM
20534,EGCE 201 - Statics,"06-LEC
Regular",E 321 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
20986,EGCE 201 - Statics,"09-LEC
Regular",E 321 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
20853,EGCE 202 - Dynamics,"01-LEC
Regular",Hum 224 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
20855,EGCE 202 - Dynamics,"03-LEC
Regular",E 221 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
13585,EGCE 308 - Engineering Analysis,"01-DIS
Regular",E 221 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
13695,EGCE 311L - Civil Engineering Materials Laboratory,"01-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,"We 9:00AM - 9:50AM
We 10:00AM - 11:45AM"
13810,EGCE 320 - Structural Analysis,"02-LEC
Regular",CS 204 - Self Instruct Lab,In Person,TuTh 2:30PM - 3:45PM
13694,EGCE 321L - Structural Analysis Laboratory,"02-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,"Tu 9:00AM - 9:50AM
Tu 12:00PM - 1:45PM"
13739,EGCE 325 - Reinforced Concrete Design,"02-LEC
Regular",E 221 - Lecture Room,In Person,MoWe 4:00PM - 5:15PM
13740,EGCE 326 - Structural Steel Design,"03-LEC
Regular",CS 204 - Self Instruct Lab,In Person,TuTh 4:00PM - 5:15PM
13699,EGCE 331L - Engineering Hydraulics Laboratory,"03-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,"Th 9:00AM - 9:50AM
Th 2:15PM - 4:00PM"
13729,EGCE 341L - Soil Mechanics Laboratory,"03-LAB
Regular","E 221 - Lecture Room
E-SW011 - Lecture Room",In Person,"Mo 9:00AM - 9:50AM
Mo 2:15PM - 4:00PM"
20988,EGCE 370 - Environmental Engineering,"03-LEC
Regular",E 221 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
13828,EGCE 420 - Design of Highrise Structural Systems,"01-LEC
Regular",CS 204 - Self Instruct Lab,In Person,MoWe 5:30PM - 6:45PM
20884,EGCE 522 - Earthquake Engineering,"01-LEC
Regular",CS 204 - Self Instruct Lab,In Person,We 7:00PM - 9:45PM
20883,EGCE 525 - Advanced Topics in Reinforced Concrete Design,"01-LEC
Regular",CS 204 - Self Instruct Lab,In Person,Mo 7:00PM - 9:45PM
20885,EGCE 550 - Advanced Construction Methods and Techniques,"01-LEC
Regular",CS 207 - Self Instruct Lab,In Person,Th 7:00PM - 9:45PM
20900,"EGCE 572 - Water Supply, Treatment and System Design","50-DIS
Regular","Online
E 221 - Lecture Room",Mostly In-Person (Hybrid),"TBA
Su 10:00AM - 11:50AM"
13599,EGCE 583 - Air Pollution Control Engineering,"50-SEM
Regular","Online
E 201 - Teaching Lab",Mostly Online w/ In-Person Mtg,"TBA
Sa 10:00AM - 11:50AM"
13787,EGCE 597 - Graduate Projects,"50-LEC
Regular",Online,Fully Online,TBA
13538,EGCE 598 - Thesis,"01-SUP
Regular",TBA,In Person,TBA
