Class ID,Class Name,Section,Room,Instruction Type,Time
13269,COMD 300 - Introduction to Research in Communication Sciences and Disorders,"02-DIS
Regular",EC 122 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
13223,COMD 307 - Speech/Language Development,"01-DIS
Regular",KHS 108 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13156,COMD 352 - Child Language and Phonological Disorders,"01-DIS
Regular",LH 318 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
13159,COMD 465 - Aural Rehabilitation,"01-SEM
Regular",MH 513 - Lecture Room,In Person,Th 4:00PM - 6:45PM
13480,COMD 465 - Aural Rehabilitation,"02-SEM
Regular",Hum 522 - Lecture Room,In Person,We 4:00PM - 6:45PM
13354,COMD 472 - Voice and Craniofacial Disorders,"02-DIS
Regular",MH 213 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
13249,COMD 476 - Clinical Methods and Procedures,"02-DIS
Regular",LH 315B - Lecture Room,In Person,Tu 4:00PM - 6:45PM
13335,COMD 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
13336,COMD 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
13341,COMD 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
22055,"COMD 544 - Seminar in Neurogenic Speech, Language and Cognitive Disorders","03-SEM
Regular",LH 315A - Lecture Room,In Person,Tu 5:00PM - 7:45PM
22054,COMD 554 - Seminar in Multicultural Issues in Communicative Disorders,"02-SEM
Regular",MH 463 - Lecture Room,In Person,We 7:00PM - 9:45PM
13274,COMD 558B - Specialty Clinic,"01-SUP
Regular",TBA,In Person,TBA
13145,COMD 559A - Advanced Clinical Practicum: Communicative Disorders,"01-SUP
Regular",TBA,In Person,TBA
13146,COMD 559A - Advanced Clinical Practicum: Communicative Disorders,"02-SUP
Regular",TBA,In Person,TBA
13424,COMD 571 - Seminar in Fluency Disorders,"01-SEM
Regular",CP 127 - Lecture Room,In Person,Th 5:00PM - 7:45PM
21360,COMD 590 - Seminar: Speech and Hearing Service in Schools,"02-SEM
Regular",Zoom,Fully Online,Mo 5:00PM - 7:45PM
13282,COMD 599 - Independent Graduate Research,"01-SUP
Regular",TBA,In Person,TBA
13283,COMD 599 - Independent Graduate Research,"02-SUP
Regular",TBA,In Person,TBA
13284,COMD 599 - Independent Graduate Research,"03-SUP
Regular",TBA,In Person,TBA
13287,COMD 599 - Independent Graduate Research,"04-SUP
Regular",TBA,In Person,TBA
13500,COMD 599 - Independent Graduate Research,"05-SUP
Regular",TBA,In Person,TBA
