Class ID,Class Name,Section,Room,Instruction Type,Time
12690,COMM 101 - Writing for Mass Media,"01-DIS
Regular",Online,Fully Online,TBA
12691,COMM 101 - Writing for Mass Media,"02-ACT
Regular",CP 016B - Photo Studio,In Person,Mo 9:00AM - 10:50AM
12692,COMM 101 - Writing for Mass Media,"03-DIS
Regular",Online,Fully Online,TBA
12693,COMM 101 - Writing for Mass Media,"04-ACT
Regular",CP 022 - Computer Lab,In Person,Mo 11:00AM - 12:50PM
12694,COMM 101 - Writing for Mass Media,"05-DIS
Regular",Online,Fully Online,TBA
12695,COMM 101 - Writing for Mass Media,"06-ACT
Regular",CP 022 - Computer Lab,In Person,Mo 5:00PM - 6:50PM
12696,COMM 101 - Writing for Mass Media,"07-DIS
Regular",Online,Fully Online,TBA
12697,COMM 101 - Writing for Mass Media,"08-ACT
Regular",CP 022 - Computer Lab,In Person,Mo 7:00PM - 8:50PM
12715,COMM 101 - Writing for Mass Media,"09-DIS
Regular",Online,Fully Online,TBA
12716,COMM 101 - Writing for Mass Media,"10-ACT
Regular",CP 022 - Computer Lab,In Person,Tu 9:00AM - 10:50AM
12713,COMM 101 - Writing for Mass Media,"11-DIS
Regular",Online,Fully Online,TBA
12714,COMM 101 - Writing for Mass Media,"12-ACT
Regular",CP 022 - Computer Lab,In Person,Tu 11:00AM - 12:50PM
12875,COMM 101 - Writing for Mass Media,"15-DIS
Regular",Online,Fully Online,TBA
12876,COMM 101 - Writing for Mass Media,"16-ACT
Regular",CP 022 - Computer Lab,In Person,We 9:00AM - 10:50AM
12877,COMM 101 - Writing for Mass Media,"17-DIS
Regular",Online,Fully Online,TBA
12878,COMM 101 - Writing for Mass Media,"18-ACT
Regular",CP 022 - Computer Lab,In Person,We 11:00AM - 12:50PM
13012,COMM 101 - Writing for Mass Media,"19-DIS
Regular",Online,Fully Online,TBA
13013,COMM 101 - Writing for Mass Media,"20-ACT
Regular",CP 022 - Computer Lab,In Person,Fr 11:00AM - 12:50PM
12666,COMM 201 - Digital Reporting and Writing,"01-DIS
Regular",CP 023 - Computer Lab,In Person,MoWe 11:30AM - 12:45PM
13245,COMM 201 - Digital Reporting and Writing,"02-DIS
Regular",CP 019 - Computer Lab,In Person,Mo 4:00PM - 6:45PM
12668,COMM 202 - Digital Reporting and Production,"01-DIS
Regular",PLS046 - Television Studio,In Person,MoWe 10:00AM - 11:15AM
12667,COMM 202 - Digital Reporting and Production,"02-DIS
Regular",PLS046 - Television Studio,In Person,MoWe 11:30AM - 12:45PM
12669,COMM 233 - Mass Communication in Modern Society,"01-LEC
Regular",SGMH 1502 - Lecture,In Person,MoWe 1:00PM - 2:15PM
13228,COMM 233 - Mass Communication in Modern Society,"51-LEC
Regular",Zoom,Fully Online,TuTh 1:00PM - 2:15PM
12702,COMM 300 - Visual Communication,"01-LEC
Regular",RGC 013 - Auditorium,In Person,We 4:00PM - 6:45PM
12670,COMM 300 - Visual Communication,"50-LEC
Regular",Online,Fully Online,TBA
12682,COMM 301 - Writing for the Entertainment Industry,"01-DIS
Regular",CP 023 - Computer Lab,In Person,Mo 7:00PM - 9:45PM
12942,COMM 301 - Writing for the Entertainment Industry,"02-DIS
Regular",CP 019 - Computer Lab,In Person,Th 4:00PM - 6:45PM
12992,COMM 301 - Writing for the Entertainment Industry,"03-DIS
Regular",CP 019 - Computer Lab,In Person,Th 7:00PM - 9:45PM
20141,COMM 301 - Writing for the Entertainment Industry,"04-DIS
Regular",CP 022 - Computer Lab,In Person,Mo 1:00PM - 3:45PM
12879,COMM 310 - Mass Media Ethics,"01-LEC
Regular",Online,Fully Online,TBA
13094,COMM 315 - Mass Media and Diversity,"01-LEC
Regular",Hum 123 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
13124,COMM 315 - Mass Media and Diversity,"02-LEC
Regular","EC 024A - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 2:30PM - 3:45PM
TBA"
12931,COMM 317 - Digital Foundations,"01-LEC
Regular",Online,Fully Online,TBA
