Class ID,Class Name,Section,Room,Instruction Type,Time
12926,COMM 101 - Writing for Mass Media,"07-DIS
Regular",Online,Fully Online,TBA
12956,COMM 101 - Writing for Mass Media,"08-ACT
Regular",CP 022 - Computer Lab,In Person,Mo 7:00PM - 8:50PM
12969,COMM 101 - Writing for Mass Media,"15-DIS
Regular",Online,Fully Online,TBA
12970,COMM 101 - Writing for Mass Media,"16-ACT
Regular",CP 022 - Computer Lab,In Person,We 11:00AM - 12:50PM
20508,COMM 233 - Mass Communication in Modern Society,"02-LEC
Regular",Zoom,Fully Online,We 4:00PM - 6:45PM
22007,COMM 233 - Mass Communication in Modern Society,"03-LEC
Regular",Online,Fully Online,TBA
13498,COMM 233 - Mass Communication in Modern Society,"50-LEC
Regular",Online,Fully Online,TBA
13165,COMM 300 - Visual Communication,"01-LEC
Regular",RGC 013 - Auditorium,In Person,We 4:00PM - 6:45PM
12968,COMM 301 - Writing for Broadcasting and Film,"02-DIS
Regular",CP 022 - Computer Lab,In Person,Tu 1:00PM - 3:45PM
13428,COMM 301 - Writing for Broadcasting and Film,"04-DIS
Regular",CP 022 - Computer Lab,In Person,Th 7:00PM - 9:45PM
13212,COMM 317 - Digital Foundations,"07-LEC
Regular",Online,Fully Online,TBA
13213,COMM 317 - Digital Foundations,"08-SUP
Regular",CP 016B - Photo Studio,In Person,We 2:00PM - 2:50PM
12931,COMM 334 - Feature Article Writing,"01-DIS
Regular",CP 019 - Computer Lab,In Person,Mo 7:00PM - 9:45PM
12963,COMM 334 - Feature Article Writing,"02-DIS
Regular",CP 019 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
13238,COMM 346 - Principles of Entertainment and Tourism Communications,"01-LEC
Regular",LH 303 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
13271,COMM 350 - Principles of Advertising,"02-DIS
Regular",Hum 123 - Lecture Room,In Person,We 4:00PM - 6:45PM
12975,COMM 351 - Writing for the Advertising Industry,"02-DIS
Regular",CP 128 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
22157,COMM 351 - Writing for the Advertising Industry,"51-DIS
Regular",Zoom,Fully Online,We 7:00PM - 9:45PM
12965,COMM 352 - Advertising Media,"01-DIS
Regular",LH 303 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
13235,COMM 352 - Advertising Media,"03-DIS
Regular",LH 303 - Lecture Room,In Person,We 4:00PM - 6:45PM
13430,COMM 353 - Advertising Creative Strategy and Execution I,"01-DIS
Regular",CP 018 - Computer Lab,In Person,Mo 7:00PM - 9:45PM
13429,COMM 353 - Advertising Creative Strategy and Execution I,"05-DIS
Regular",CP 022 - Computer Lab,In Person,We 4:00PM - 6:45PM
20545,COMM 362 - Public Relations Writing I,"04-DIS
Regular",CP 023 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
13433,COMM 370 - Principles and History of American Mass Communication,"02-DIS
Regular",Hum 110 - Lecture Room,In Person,We 4:00PM - 6:45PM
20546,COMM 371 - Radio-Audio Operations,"01-DIS
Regular",PLS061 - Lecture,In Person,Tu 7:00PM - 9:45PM
13394,COMM 380 - Interactive Media Design,"05-DIS
Regular",CP 018 - Computer Lab,In Person,Tu 1:00PM - 2:20PM
13395,COMM 380 - Interactive Media Design,"06-ACT
Regular",CP 018 - Computer Lab,In Person,Tu 2:30PM - 4:00PM
13435,COMM 380 - Interactive Media Design,"07-DIS
Regular",CP 018 - Computer Lab,In Person,We 1:00PM - 2:20PM
13436,COMM 380 - Interactive Media Design,"08-ACT
Regular",CP 018 - Computer Lab,In Person,We 2:20PM - 4:00PM
13324,COMM 407 - Communications Law,"01-DIS
Regular",LH 303 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
20547,COMM 407 - Communications Law,"02-DIS
Regular","SGMH 1502 - Lecture
Online",Mostly In-Person (Hybrid),"MoWe 11:00AM - 11:50AM
TBA"
12964,COMM 407 - Communications Law,"03-DIS
Regular",LH 321 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
13326,COMM 407 - Communications Law,"51-DIS
Regular",Zoom,Fully Online,TuTh 2:30PM - 3:45PM
20563,COMM 410 - Principles of Communication Research,"01-DIS
Regular",Zoom,Fully Online,MoWe 1:00PM - 2:15PM
12980,COMM 421 - Advanced Studio Photography,"01-LEC
Regular",CP 016B - Photo Studio,In Person,Mo 7:00PM - 9:45PM
13327,COMM 422 - Communications Technologies,"50-LEC
Regular",Zoom,Fully Online,Th 7:00PM - 9:45PM
13438,COMM 434 - Magazine Editing and Production,"01-LEC
Regular",CP 019 - Computer Lab,In Person,Th 4:00PM - 6:45PM
13439,COMM 436 - Reporting on the Entertainment Industry,"01-LEC
Regular",CP 022 - Computer Lab,In Person,We 7:00PM - 9:45PM
12967,COMM 444 - Portfolio - Visual Communications,"01-LEC
Regular",CP 018 - Computer Lab,In Person,Th 1:00PM - 3:45PM
21279,COMM 445 - Sports Entertainment,"01-LEC
Regular",EC 008 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
12933,COMM 446 - Entertainment and Society,"01-LEC
Regular",LH 303 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
13440,COMM 446 - Entertainment and Society,"02-LEC
Regular",EC 008 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
20565,COMM 448T - Entertainment Industry Studies,"01-LEC
Regular",CS 110A - Lecture Room,In Person,Mo 4:00PM - 6:45PM
13319,COMM 449 - Capstone - Entertainment and Tourism Communications,"02-LEC
Regular",EC 008 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
12982,COMM 451 - Capstone - Advertising Campaigns,"01-LEC
Regular",CP 019 - Computer Lab,In Person,Mo 4:00PM - 6:45PM
12990,COMM 451 - Capstone - Advertising Campaigns,"02-LEC
Regular",CP 023 - Computer Lab,In Person,TuTh 2:30PM - 3:45PM
21630,COMM 451 - Capstone - Advertising Campaigns,"03-LEC
Regular",CS 102B - Lecture Room,In Person,Mo 1:00PM - 3:45PM
12986,COMM 455 - Internet Advertising and Promotional Communications,"01-LEC
Regular",CP 018 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12983,COMM 464 - Capstone - Public Relations Management,"01-DIS
Regular",CP 127 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
20622,COMM 464 - Capstone - Public Relations Management,"04-DIS
Regular",LH 404 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
21280,COMM 464 - Capstone - Public Relations Management,"05-DIS
Regular",CP 128 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13204,COMM 466T - Current Topics in Public Relations,"01-DIS
Regular",LH 303 - Lecture Room,In Person,Tu 7:00PM - 9:45PM
13385,COMM 468 - Corporate and Nonprofit Public Relations,"01-SEM
Regular",EC 121 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
20588,COMM 469 - Crisis Communications,"01-LEC
Regular",EC 044 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
12934,COMM 471 - Capstone - Daily Titan News,"01-ACT
Regular","CPAC 146 - Lecture Room
CP 023 - Computer Lab",In Person,"Mo 4:00PM - 6:45PM
We 4:00PM - 6:45PM"
12935,COMM 472 - Capstone - TV News,"01-LEC
Regular",PLS046 - Television Studio,In Person,We 2:00PM - 3:25PM
12960,COMM 472 - Capstone - TV News,"02-LAB
Regular",PLS046 - Television Studio,In Person,We 3:30PM - 6:15PM
13306,COMM 474 - Capstone - ADV/PR/ETC Student Agency,"01-DIS
Regular",CP 019 - Computer Lab,In Person,MoWe 1:00PM - 2:15PM
12981,COMM 495T - Mass Media Internship,"01-SUP
Regular",TBA,In Person,TBA
12977,COMM 495T - Mass Media Internship,"02-SUP
Regular",TBA,In Person,TBA
12978,COMM 495T - Mass Media Internship,"03-SUP
Regular",TBA,In Person,TBA
12979,COMM 495T - Mass Media Internship,"04-SUP
Regular",TBA,In Person,TBA
12937,COMM 496 - Student-to-Student Tutorial,"02-SUP
Regular",TBA,In Person,TBA
