Class ID,Class Name,Section,Room,Instruction Type,Time
17569,CPSC 120A - Introduction to Programming Lecture,"01-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 8:30AM - 9:20AM
17570,CPSC 120A - Introduction to Programming Lecture,"02-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 9:30AM - 10:20AM
17571,CPSC 120A - Introduction to Programming Lecture,"03-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 10:30AM - 11:20AM
17572,CPSC 120A - Introduction to Programming Lecture,"04-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 11:30AM - 12:20PM
17573,CPSC 120A - Introduction to Programming Lecture,"05-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 12:30PM - 1:20PM
17574,CPSC 120A - Introduction to Programming Lecture,"06-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 1:30PM - 2:20PM
17575,CPSC 120A - Introduction to Programming Lecture,"07-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 2:30PM - 3:20PM
17576,CPSC 120A - Introduction to Programming Lecture,"08-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 3:30PM - 4:20PM
17486,CPSC 120L - Introduction to Programming Lab,"01-LAB
Regular",MOD 109 - Computer Lab (PC),In Person,Mo 2:00PM - 3:50PM
17487,CPSC 120L - Introduction to Programming Lab,"02-LAB
Regular",MOD 109 - Computer Lab (PC),In Person,We 2:00PM - 3:50PM
17488,CPSC 120L - Introduction to Programming Lab,"03-LAB
Regular",CS 408 - Teaching Lab,In Person,Mo 2:00PM - 3:50PM
17489,CPSC 120L - Introduction to Programming Lab,"04-LAB
Regular",CS 408 - Teaching Lab,In Person,We 2:00PM - 3:50PM
17490,CPSC 120L - Introduction to Programming Lab,"05-LAB
Regular",MOD 109 - Computer Lab (PC),In Person,Mo 4:00PM - 5:50PM
17491,CPSC 120L - Introduction to Programming Lab,"06-LAB
Regular",MOD 109 - Computer Lab (PC),In Person,We 4:00PM - 5:50PM
