Class ID,Class Name,Section,Room,Instruction Type,Time
13906,CPSC 120A - Introduction to Programming Lecture,"01-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 8:30AM - 9:20AM
13907,CPSC 120A - Introduction to Programming Lecture,"02-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 9:30AM - 10:20AM
13908,CPSC 120A - Introduction to Programming Lecture,"03-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 10:30AM - 11:20AM
13909,CPSC 120A - Introduction to Programming Lecture,"04-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 11:30AM - 12:20PM
20336,CPSC 120A - Introduction to Programming Lecture,"05-LEC
Regular",E 202 - Lecture Room,In Person,MoWe 1:00PM - 1:50PM
13910,CPSC 120L - Introduction to Programming Lab,"01-LAB
Regular",CS 300 - Teaching Lab,In Person,Mo 11:30AM - 1:20PM
13911,CPSC 120L - Introduction to Programming Lab,"02-LAB
Regular",CS 300 - Teaching Lab,In Person,We 11:30AM - 1:20PM
13912,CPSC 120L - Introduction to Programming Lab,"03-LAB
Regular",CS 101 - Teaching Lab,In Person,Mo 11:30AM - 1:20PM
13913,CPSC 120L - Introduction to Programming Lab,"04-LAB
Regular",CS 101 - Teaching Lab,In Person,We 11:30AM - 1:20PM
13914,CPSC 120L - Introduction to Programming Lab,"05-LAB
Regular",CS 300 - Teaching Lab,In Person,Mo 1:30PM - 3:20PM
13915,CPSC 120L - Introduction to Programming Lab,"06-LAB
Regular",CS 300 - Teaching Lab,In Person,We 1:30PM - 3:20PM
13916,CPSC 120L - Introduction to Programming Lab,"07-LAB
Regular",CS 101 - Teaching Lab,In Person,Mo 1:30PM - 3:20PM
13917,CPSC 120L - Introduction to Programming Lab,"08-LAB
Regular",CS 101 - Teaching Lab,In Person,We 1:30PM - 3:20PM
13918,CPSC 120L - Introduction to Programming Lab,"09-LAB
Regular",CS 300 - Teaching Lab,In Person,Mo 3:30PM - 5:20PM
