Class ID,Class Name,Section,Room,Instruction Type,Time
10087,DANC 101 - Introduction to Dance,"01-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 8:00AM - 8:50AM
10088,DANC 101 - Introduction to Dance,"02-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 9:00AM - 9:50AM
10444,DANC 101 - Introduction to Dance,"03-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 10:00AM - 10:50AM
10089,DANC 101 - Introduction to Dance,"04-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 11:00AM - 11:50AM
10445,DANC 101 - Introduction to Dance,"05-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,TuTh 8:00AM - 9:15AM
10090,DANC 101 - Introduction to Dance,"06-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,TuTh 9:30AM - 10:45AM
10091,DANC 101 - Introduction to Dance,"07-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,TuTh 11:00AM - 12:15PM
10092,DANC 101 - Introduction to Dance,"08-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,TuTh 12:30PM - 1:45PM
11003,DANC 101 - Introduction to Dance,"09-LEC
Regular",CPAC 149 - Teaching Lab,In Person,MoWe 11:30AM - 12:45PM
11135,DANC 101 - Introduction to Dance,"10-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 12:00PM - 12:50PM
11136,DANC 101 - Introduction to Dance,"11-LEC
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 11:30AM - 12:45PM
11287,DANC 101 - Introduction to Dance,"12-LEC
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 3:00PM - 4:15PM
11652,DANC 101 - Introduction to Dance,"50-LEC
Regular",Online,Fully Online,TBA
11700,DANC 101 - Introduction to Dance,"51-LEC
Regular",Online,Fully Online,TBA
11677,DANC 112 - Ballet I,"02-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 3:00PM - 4:40PM
21173,DANC 112 - Ballet I,"04-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWe 3:00PM - 4:40PM
10093,DANC 122 - Contemporary Dance Practices I,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWe 9:00AM - 10:40AM
10094,DANC 122 - Contemporary Dance Practices I,"02-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,TuTh 9:00AM - 10:40AM
10095,DANC 126 - Dance Improvisation,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 11:00AM - 12:40PM
10096,DANC 132 - Jazz I,"01-ACT
Regular",CPAC 149 - Teaching Lab,In Person,MoWe 3:00PM - 4:40PM
10387,DANC 132 - Jazz I,"02-ACT
Regular",CPAC 149 - Teaching Lab,In Person,MoWe 1:00PM - 2:40PM
21175,DANC 142 - Tap Dance I,"02-ACT
Regular",CPAC 149 - Teaching Lab,In Person,TuTh 1:00PM - 2:40PM
10098,DANC 212 - Ballet II,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 1:00PM - 2:40PM
21247,DANC 212 - Ballet II,"03-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWe 11:00AM - 12:40PM
11064,DANC 222 - Contemporary. Dance Practices II,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWe 3:00PM - 4:40PM
10389,DANC 226 - Rhythmic Analysis,"01-LEC
Regular",CPAC 281 - Technique Dance Stu,In Person,Fr 3:00PM - 5:30PM
10099,DANC 232 - Jazz II,"01-ACT
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 1:00PM - 2:40PM
21174,DANC 242 - Tap Dance II,"02-ACT
Regular",CPAC 149 - Teaching Lab,In Person,TuTh 3:00PM - 4:40PM
20113,DANC 250 - Dance Styles from Hip Hop Culture,"01-ACT
Regular",CPAC 149 - Teaching Lab,In Person,TuTh 11:00AM - 12:40PM
10100,DANC 301 - Dance and Cultural Diversity,"01-LEC
Regular",CPAC 205 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
10101,DANC 301 - Dance and Cultural Diversity,"02-LEC
Regular",CPAC 205 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
11173,DANC 301 - Dance and Cultural Diversity,"04-LEC
Regular","Online
CPAC 148 - Lecture Room",Mostly In-Person (Hybrid),"MoWe 12:00PM - 1:15PM
MoWe 12:00PM - 1:15PM"
11040,DANC 301 - Dance and Cultural Diversity,"50-LEC
Regular",Online,Fully Online,TBA
11179,DANC 301 - Dance and Cultural Diversity,"51-LEC
Regular",Online,Fully Online,TBA
11496,DANC 301 - Dance and Cultural Diversity,"52-LEC
Regular",Online,Fully Online,TBA
11583,DANC 301 - Dance and Cultural Diversity,"53-LEC
Regular",Online,Fully Online,TBA
10102,DANC 301 - Dance and Cultural Diversity,"54-LEC
Regular",Online,Fully Online,TBA
10104,DANC 312 - Ballet III,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 9:00AM - 10:40AM
10105,DANC 322 - Contemporary Dance Practices III,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,TuTh 1:00PM - 2:40PM
10106,DANC 323A - Dance Composition,"01-ACT
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 1:00PM - 2:40PM
10107,DANC 336 - Dance for Musical Theatre,"01-ACT
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 9:00AM - 11:30AM
10108,DANC 412 - Ballet IV,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWeFr 9:00AM - 10:40AM
10109,DANC 422 - Contemporary Dance Practices IV,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWeFr 11:00AM - 12:40PM
11130,DANC 423 - Advanced Dance Composition,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWeFr 1:00PM - 2:40PM
10110,DANC 424 - Dance Pedagogy,"01-DIS
Regular",CPAC 272 - Perform Dance Studi,In Person,Th 3:00PM - 5:15PM
11288,DANC 471 - Creative Dance for Children,"01-DIS
Regular",CPAC 272 - Perform Dance Studi,In Person,Fr 3:00PM - 5:30PM
10388,DANC 478A - Performance,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWeFr 7:00PM - 9:45PM
11390,DANC 478A - Performance,"02-ACT
Regular",CPAC 149 - Teaching Lab,In Person,TuTh 7:00PM - 9:45PM
11065,DANC 479 - Repertory and Performance Techniques,"01-ACT
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWe 3:00PM - 5:00PM
10111,DANC 497 - Production and Performance Projects in Dance,"01-SUP
Regular",TBA,In Person,TBA
10112,DANC 497 - Production and Performance Projects in Dance,"02-SUP
Regular",TBA,In Person,TBA
10113,DANC 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
10114,DANC 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
10115,DANC 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
