Class ID,Class Name,Section,Room,Instruction Type,Time
10122,DANC 101 - Introduction to Dance,"01-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 12:00PM - 12:50PM
10484,DANC 101 - Introduction to Dance,"05-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,TuTh 8:30AM - 9:45AM
10485,DANC 101 - Introduction to Dance,"06-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 9:00AM - 9:50AM
10493,DANC 101 - Introduction to Dance,"07-LEC
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 8:30AM - 9:45AM
11421,DANC 101 - Introduction to Dance,"08-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 11:00AM - 11:50AM
11649,DANC 101 - Introduction to Dance,"10-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWeFr 10:00AM - 10:50AM
11795,DANC 101 - Introduction to Dance,"11-LEC
Regular",CPAC 272 - Perform Dance Studi,In Person,MoWe 1:00PM - 2:15PM
11839,DANC 112 - Ballet I,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWe 11:00AM - 12:40PM
11985,DANC 112 - Ballet I,"02-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 3:00PM - 4:40PM
11796,DANC 122 - Modern Dance I,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,TuTh 9:00AM - 10:40AM
11571,DANC 122 - Modern Dance I,"02-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWe 9:00AM - 10:40AM
10409,DANC 132 - Jazz I,"01-ACT
Regular",CPAC 149 - Teaching Lab,In Person,MoWe 11:00AM - 12:40PM
10382,DANC 142 - Tap Dance I,"01-ACT
Regular",CPAC 149 - Teaching Lab,In Person,TuTh 9:00AM - 10:40AM
21550,DANC 142 - Tap Dance I,"02-ACT
Regular",CPAC 149 - Teaching Lab,In Person,TuTh 1:00PM - 2:40PM
10126,DANC 212 - Ballet II,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 1:00PM - 2:40PM
11840,DANC 212 - Ballet II,"02-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWe 3:00PM - 4:40PM
11950,DANC 213 - Classical Pointe,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 11:00AM - 12:40PM
11569,DANC 222 - Modern Dance II,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,TuTh 3:00PM - 4:40PM
11923,DANC 222 - Modern Dance II,"02-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWe 3:00PM - 4:40PM
11563,DANC 232 - Jazz II,"01-ACT
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 4:00PM - 5:30PM
10129,DANC 301 - Dance and Cultural Diversity,"02-LEC
Regular",CPAC 205 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
11952,DANC 301 - Dance and Cultural Diversity,"03-LEC
Regular",CPAC 205 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
11570,DANC 312 - Ballet III,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWe 1:00PM - 2:40PM
11951,DANC 312 - Ballet III,"02-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,TuTh 9:00AM - 10:40AM
10131,DANC 322 - Modern Dance III,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,TuTh 1:00PM - 2:40PM
10132,DANC 323B - Dance Composition,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWeFr 11:00AM - 12:40PM
11564,DANC 324 - Forces and Figures in Dance,"01-DIS
Regular",CPAC 146 - Lecture Room,In Person,Tu 11:00AM - 12:40PM
20613,DANC 325 - Dance Theory and Criticism,"01-DIS
Regular","CPAC 205 - Lecture Room
Zoom",Mostly In-Person (Hybrid),"Th 3:00PM - 4:40PM
Th 3:00PM - 4:40PM"
10133,DANC 336 - Dance for Musical Theatre,"01-ACT
Regular",CPAC 294 - Mus Theatre Reh Stu,In Person,TuTh 1:00PM - 3:45PM
11392,DANC 372 - Dance Kinesiology,"01-DIS
Regular","CPAC 272 - Perform Dance Studi
CPAC 217 - Lecture Room",In Person,"Th 3:00PM - 5:30PM
Th 3:00PM - 5:30PM"
10134,DANC 412 - Ballet IV,"01-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,MoWeFr 9:00AM - 10:40AM
10135,DANC 422 - Modern Dance IV,"01-ACT
Regular",CPAC 281 - Technique Dance Stu,In Person,MoWeFr 1:00PM - 2:40PM
11841,DANC 478A - Performance,"01-ACT
Regular",CPAC 149 - Teaching Lab,In Person,Sa 8:00AM - 10:00PM
11730,DANC 478A - Performance,"02-ACT
Regular",CPAC 283 - Technique Dance Stu,In Person,Su 8:00AM - 10:00PM
10136,DANC 497 - Production and Performance Projects in Dance,"01-SUP
Regular",TBA,In Person,TBA
10137,DANC 497 - Production and Performance Projects in Dance,"02-SUP
Regular",TBA,In Person,TBA
10138,DANC 497 - Production and Performance Projects in Dance,"03-SUP
Regular",TBA,In Person,TBA
10139,DANC 497 - Production and Performance Projects in Dance,"04-SUP
Regular",TBA,In Person,TBA
10140,DANC 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
10141,DANC 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
