Class ID,Class Name,Section,Room,Instruction Type,Time
12525,ECON 202 - Principles of Macroeconomics,"06-LEC
Regular",SGMH 1406 - Lecture,In Person,MoWe 4:00PM - 5:15PM
12397,ECON 202 - Principles of Macroeconomics,"12-LEC
Regular",SGMH 2501 - Lecture,In Person,TuTh 4:00PM - 5:15PM
12453,ECON 202 - Principles of Macroeconomics,"13-LEC
Regular",SGMH 2501 - Lecture,In Person,TuTh 5:30PM - 6:45PM
12635,ECON 202 - Principles of Macroeconomics,"40-LEC
Regular",SGMH 2301 - Lecture,In Person,TuTh 11:30AM - 12:45PM
21049,ECON 202 - Principles of Macroeconomics,"55-LEC
Regular","Online
SGMH 1506 - Lecture",Mostly Online w/ In-Person Mtg,"TBA
Fr 10:00AM - 12:00PM"
12450,ECON 310 - Intermediate Microeconomic Analysis,"01-DIS
Regular",SGMH 1307 - Lecture,In Person,TuTh 10:00AM - 11:15AM
12437,ECON 315 - Intermediate Business Microeconomics,"01-DIS
Regular",SGMH 2501 - Lecture,In Person,MoWe 11:30AM - 12:45PM
12759,ECON 315 - Intermediate Business Microeconomics,"02-DIS
Regular",SGMH 1303 - Lecture,In Person,MoWe 2:30PM - 3:45PM
12665,ECON 315 - Intermediate Business Microeconomics,"53-DIS
Regular","Online
SGMH 1406 - Lecture",Mostly Online w/ In-Person Mtg,"TBA
Sa 10:00AM - 12:00PM"
12451,ECON 320 - Intermediate Macroeconomic Analysis,"01-DIS
Regular",SGMH 2301 - Lecture,In Person,MoWe 8:30AM - 9:45AM
12752,ECON 320 - Intermediate Macroeconomic Analysis,"05-DIS
Regular",GH 250 - Lecture Room,In Person,We 7:00PM - 9:45PM
21310,ECON 325 - Intermediate Macroeconomic Theory,"01-DIS
Regular",SGMH 2501 - Lecture,In Person,Mo 7:00PM - 9:45PM
12298,ECON 332 - Economies of the Pacific Rim,"01-DIS
Regular",SGMH 1303 - Lecture,In Person,MoWe 11:30AM - 12:45PM
21269,ECON 333 - Economic Development: Analysis and Case Studies,"05-DIS
Regular",SGMH 1313 - Lecture,In Person,Sa 8:00AM - 10:45AM
12631,ECON 335 - The International Economy,"06-DIS
Regular",SGMH 2211 - Lecture,In Person,Mo 7:00PM - 9:45PM
12401,ECON 335 - The International Economy,"08-DIS
Regular",SGMH 1303 - Lecture,In Person,TuTh 10:00AM - 11:15AM
21270,ECON 335 - The International Economy,"14-DIS
Regular",SGMH 1313 - Lecture,In Person,Sa 1:00PM - 3:45PM
12704,ECON 336 - Economies of the Middle East,"01-LEC
Regular",SGMH 1303 - Lecture,In Person,TuTh 4:00PM - 5:15PM
21263,ECON 340 - Economic Research Methods,"01-DIS
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 11:30AM - 12:45PM
12361,ECON 340 - Economic Research Methods,"02-DIS
Regular",SGMH 2113 - Computer Lab,In Person,TuTh 2:30PM - 3:45PM
21246,ECON 362 - Environmental Economics,"01-DIS
Regular",SGMH 1308 - Lecture,In Person,TuTh 11:30AM - 12:45PM
12782,ECON 417 - Public Finance,"01-DIS
Regular",SGMH 1303 - Lecture,In Person,We 7:00PM - 9:45PM
21262,ECON 421 - Monetary and Fiscal Policy,"01-DIS
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 10:00AM - 11:15AM
21261,ECON 433 - The Less Developed Countries and the World Economy,"01-LEC
Regular",SGMH 1303 - Lecture,In Person,TuTh 1:00PM - 2:15PM
12747,ECON 440 - Introduction to Econometrics,"01-DIS
Regular",SGMH 2113 - Computer Lab,In Person,Th 7:00PM - 9:45PM
12668,ECON 441 - Introduction to Mathematical Economics,"01-DIS
Regular",SGMH 1303 - Lecture,In Person,Tu 7:00PM - 9:45PM
21311,ECON 442 - Computational Tools for Economists,"01-LEC
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 5:30PM - 6:45PM
20871,ECON 490 - Economics Capstone,"02-DIS
Regular",SGMH 2504 - Computer Lab,In Person,Mo 7:00PM - 9:45PM
22216,ECON 495 - Internship,"02-SUP
Regular",SGMH 2504 - Computer Lab,In Person,TuTh 8:30AM - 9:45AM
12692,ECON 496 - Tutorial,"01-SUP
Regular",SGMH 2504 - Computer Lab,In Person,MoWe 4:00PM - 5:15PM
20814,ECON 499 - Independent Study,"01-SUP
Regular",SGMH 2501 - Lecture,In Person,MoWe 8:30AM - 9:45AM
12615,ECON 502 - Advanced Microeconomics,"01-SEM
Regular",SGMH 2501 - Lecture,In Person,We 7:00PM - 9:45PM
12616,ECON 503 - Advanced Macroeconomics,"01-SEM
Regular",SGMH 2504 - Computer Lab,In Person,Tu 7:00PM - 9:45PM
12414,ECON 504 - Advanced Microeconometrics: Causality and Policy Evaluation,"01-SEM
Regular",SGMH 2113 - Computer Lab,In Person,TuTh 5:30PM - 6:45PM
12462,ECON 521 - Macroeconomic Perspective for Managers,"01-SEM
Regular",SGMH 1303 - Lecture,In Person,Mo 7:00PM - 9:45PM
12618,ECON 598 - Thesis Research,"01-SUP
Regular",GH 203 - Seminar,In Person,TuTh 8:30AM - 9:30AM
12416,ECON 599 - Independent Graduate Research,"01-SUP
Regular",SGMH 2113 - Computer Lab,In Person,MoWe 4:00PM - 5:15PM
