Class ID,Class Name,Section,Room,Instruction Type,Time
13590,EDD 604 - Applications of Research: Forecasting and Planning,"08-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),We 7:00PM - 9:45PM
13591,EDD 605 - Applications of Research: Collection and Analysis of Assessment Data,"09-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),Mo 7:00PM - 9:45PM
13419,EDD 613 - Inquiry III,"29-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),Th 4:00PM - 6:45PM
13420,"EDD 621B - Higher Education, Community College Systems, Structures, and Cultures","25-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),Tu 7:00PM - 9:45PM
13589,EDD 622A - Human Dimensions of Educational Change,"08-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),We 4:00PM - 6:45PM
13418,EDD 624B - Student Learning and Development,"29-SEM
Regular","CP-550-01 - Conference Room
Online",Mostly Online w/ In-Person Mtg,"Th 7:00PM - 9:45PM
TBA"
13588,"EDD 627 - Epistemology, History and Structure of Contemporary Education","09-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),Mo 4:00PM - 6:45PM
13431,"EDD 627 - Epistemology, History and Structure of Contemporary Education","25-SEM
Regular",CP-550-01 - Conference Room,Mostly In-Person (Hybrid),Tu 4:00PM - 6:45PM
13346,EDD 670A - Linking Research to Problems of Practice,"01-SEM
Regular",TBA,In Person,TBA
13347,EDD 670A - Linking Research to Problems of Practice,"02-SEM
Regular",TBA,In Person,TBA
13348,EDD 670A - Linking Research to Problems of Practice,"03-SEM
Regular",TBA,In Person,TBA
13352,EDD 670A - Linking Research to Problems of Practice,"20-SEM
Regular",TBA,In Person,TBA
13353,EDD 670A - Linking Research to Problems of Practice,"21-SEM
Regular",TBA,In Person,TBA
13354,EDD 670A - Linking Research to Problems of Practice,"22-SEM
Regular",TBA,In Person,TBA
13392,EDD 670D - Refining Research Questions,"01-SEM
Regular",TBA,In Person,TBA
13345,EDD 670D - Refining Research Questions,"02-SEM
Regular",TBA,In Person,TBA
13410,EDD 670D - Refining Research Questions,"03-SEM
Regular",TBA,In Person,TBA
13349,EDD 670D - Refining Research Questions,"20-SEM
Regular",TBA,In Person,TBA
13350,EDD 670D - Refining Research Questions,"21-SEM
Regular",TBA,In Person,TBA
13351,EDD 670D - Refining Research Questions,"22-SEM
Regular",TBA,In Person,TBA
13387,EDD 697 - Seminar in Educational Research Design and Implementation,"02-SEM
Regular",Online,Fully Online,TBA
13427,EDD 698 - Dissertation Research,"06-SUP
Regular",TBA,In Person,TBA
13390,EDD 698 - Dissertation Research,"27-SUP
Regular",TBA,In Person,TBA
13391,EDD 699 - Independent Study,"08-SUP
Regular",TBA,In Person,TBA
13455,EDD 699 - Independent Study,"29-SUP
Regular",TBA,In Person,TBA
