Class ID,Class Name,Section,Room,Instruction Type,Time
13448,EDAD 502 - Clear Administrative Services Credential Program (CASC): Coaching,"01-SUP
Regular",Online,Fully Online,TBA
13449,EDAD 502 - Clear Administrative Services Credential Program (CASC): Coaching,"02-SUP
Regular",Online,Fully Online,TBA
13436,EDAD 503A - Organizational Leadership and Management A,"03-SEM
Regular",LH 315 - Lecture Room,In Person,We 4:00PM - 6:45PM
13475,EDAD 503A - Organizational Leadership and Management A,"04-SEM
Regular",LH 306 - Lecture Room,In Person,We 7:00PM - 9:45PM
13430,EDAD 504 - Organizational Leadership and Management B,"51-SEM
Regular",TBA,Mostly In-Person (Hybrid),TBA
13614,EDAD 505A - P-12 Instructional Leadership and Assessment A,"52-SEM
Regular",TBA,Mostly In-Person (Hybrid),TBA
13421,EDAD 505B - Instructional Leadership in Higher Education,"01-SEM
Regular",LH 315 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13476,EDAD 505B - Instructional Leadership in Higher Education,"02-SEM
Regular",LH 315 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
20344,EDAD 510 - Instructional Leadership and Assessment B,"02-SEM
Regular",LH 306 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
13453,EDAD 521 - History and Philosophy of Higher Education,"03-SEM
Regular",LH 315 - Lecture Room,In Person,We 7:00PM - 9:45PM
13454,EDAD 521 - History and Philosophy of Higher Education,"04-SEM
Regular",LH 306 - Lecture Room,In Person,We 4:00PM - 6:45PM
13474,EDAD 597 - Project,"01-SEM
Regular",TBA,Mostly Online w/ In-Person Mtg,TBA
