Class ID,Class Name,Section,Room,Instruction Type,Time
13607,EDEL 110 - The Teaching Experience: Exploration,"01-SEM
Regular",EC 049 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
13371,EDEL 315 - Introduction to Elementary Classroom Teaching,"50-LEC
Regular",Online,Fully Online,TBA
13374,EDEL 315 - Introduction to Elementary Classroom Teaching,"51-LEC
Regular",Online,Fully Online,TBA
13463,EDEL 315 - Introduction to Elementary Classroom Teaching,"52-LEC
Regular",Online,Fully Online,TBA
20441,EDEL 315 - Introduction to Elementary Classroom Teaching,"53-LEC
Regular",Online,Fully Online,TBA
13616,EDEL 315 - Introduction to Elementary Classroom Teaching,"54-LEC
Regular",Online,Fully Online,TBA
20443,EDEL 315 - Introduction to Elementary Classroom Teaching,"56-LEC
Regular",Online,Fully Online,TBA
20444,EDEL 315 - Introduction to Elementary Classroom Teaching,"57-LEC
Regular",Online,Fully Online,TBA
13269,EDEL 325 - Cultural Pluralism in Elementary Schools,"01-SEM
Regular",EC 049 - Lecture Room,Mostly In-Person (Hybrid),Tu 1:00PM - 3:45PM
20445,EDEL 325 - Cultural Pluralism in Elementary Schools,"02-SEM
Regular",EC 127 - Lecture Room,Mostly In-Person (Hybrid),We 1:00PM - 3:45PM
13268,EDEL 325 - Cultural Pluralism in Elementary Schools,"50-SEM
Regular",Online,Fully Online,TBA
13270,EDEL 325 - Cultural Pluralism in Elementary Schools,"51-SEM
Regular",Online,Fully Online,TBA
13446,EDEL 325 - Cultural Pluralism in Elementary Schools,"52-SEM
Regular",Online,Fully Online,TBA
13577,EDEL 325 - Cultural Pluralism in Elementary Schools,"53-SEM
Regular",Online,Fully Online,TBA
13593,EDEL 325 - Cultural Pluralism in Elementary Schools,"54-SEM
Regular",Online,Fully Online,TBA
13673,EDEL 325 - Cultural Pluralism in Elementary Schools,"55-SEM
Regular",Online,Fully Online,TBA
20470,EDEL 429 - Integrated Curriculum and Instruction in the Elementary School,"08-LEC
First 7","EC 167 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 8:30AM - 12:45PM
TBA"
20526,EDEL 436 - Science Curriculum and Instruction in Elementary School Teaching,"08-LEC
First 7",EC 066 - Teaching Lab,In Person,Tu 8:30AM - 12:45PM
20528,EDEL 437 - Social Studies Curriculum and Instruction in Elementary School Teaching,"08-LEC
First 7",EC 066 - Teaching Lab,In Person,Fr 8:30AM - 12:45PM
20533,EDEL 437 - Social Studies Curriculum and Instruction in Elementary School Teaching,"25-LEC
First 7",EC 066 - Teaching Lab,In Person,We 4:00PM - 8:15PM
13690,EDEL 439 - Student Teaching in the Elementary School,"70-SUP
Regular",TBA,In Person,TBA
20535,"EDEL 450 - Visual and Performing Arts Methods: Art, Dance, Drama and Music","26-SEM
Mini 1",EC 062 - Teaching Lab,In Person,Th 1:00PM - 3:45PM
20537,"EDEL 451 - Community, School, and Classroom Issues","08-SEM
Mini 1",EC 167 - Lecture Room,In Person,Mo 1:00PM - 3:45PM
20539,"EDEL 452 - P.E., Health and Mainstreaming Education","08-SEM
Mini 2",EC 167 - Lecture Room,In Person,Mo 1:00PM - 3:45PM
20545,EDEL 453B - Teaching Performance Assessment Support: Assessing Learning and Culminating Teaching Experience,"08-SEM
Regular","EC 127 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 1:00PM - 3:45PM
TBA"
20670,EDEL 453B - Teaching Performance Assessment Support: Assessing Learning and Culminating Teaching Experience,"22-SEM
Regular","EC 167 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 4:00PM - 6:45PM
TBA"
20549,EDEL 453B - Teaching Performance Assessment Support: Assessing Learning and Culminating Teaching Experience,"25-SEM
Regular","EC 127 - Lecture Room
Online",Mostly In-Person (Hybrid),"Tu 4:00PM - 6:45PM
TBA"
20569,EDEL 512 - Level Two Technology Proficiencies for Teachers in TK-8 Schools,"61-DIS
Regular",Online,Fully Online,TBA
20641,EDEL 556 - Foundations of Education for Social Justice,"25-SEM
Regular",Online,Fully Online,TBA
20550,EDEL 594 - Culminating Project,"25-SEM
Regular","EC 049 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 4:00PM - 6:45PM
TBA"
20551,EDEL 594 - Culminating Project,"26-SEM
Regular","EC 062 - Teaching Lab
Online",Mostly In-Person (Hybrid),"Mo 7:00PM - 9:45PM
TBA"
20552,EDEL 599 - Independent Graduate Research,"01-SUP
Regular",EC 127 - Lecture Room,In Person,Th 4:00PM - 6:45PM
20553,EDEL 599 - Independent Graduate Research,"03-SUP
Regular",EC 062 - Teaching Lab,In Person,Fr 4:00PM - 6:45PM
