Class ID,Class Name,Section,Room,Instruction Type,Time
14187,EDEL 315 - Introduction to Elementary Classroom Teaching,"51-LEC
Regular",Online,Fully Online,TBA
14249,EDEL 315 - Introduction to Elementary Classroom Teaching,"52-LEC
Regular",Online,Fully Online,TBA
14470,EDEL 315 - Introduction to Elementary Classroom Teaching,"54-LEC
Regular",Online,Fully Online,TBA
21735,EDEL 315 - Introduction to Elementary Classroom Teaching,"55-LEC
Regular",Online,Fully Online,TBA
14400,EDEL 325 - Cultural Pluralism in Elementary Schools,"54-SEM
Regular",Online,Fully Online,TBA
14474,EDEL 325 - Cultural Pluralism in Elementary Schools,"56-SEM
Regular",Online,Fully Online,TBA
21709,EDEL 434 - Methods and Inquiry for Teaching English Learners,"08-DIS
First 10",EC 062 - Teaching Lab,In Person,Th 1:00PM - 3:45PM
20553,EDEL 436 - Science Curriculum and Instruction in Elementary School Teaching,"25-LEC
First 7",EC 062 - Teaching Lab,In Person,Tu 4:00PM - 8:15PM
20575,EDEL 438 - Supervised Fieldwork in Elementary Teacher Education,"39-SUP
Regular",See Class Note Mtg Location,In Person,TBA
22208,EDEL 439 - Student Teaching in the Elementary School,"57-SUP
Regular",See Class Note Mtg Location,In Person,TBA
22210,EDEL 439 - Student Teaching in the Elementary School,"59-SUP
Regular",See Class Note Mtg Location,In Person,TBA
22211,EDEL 439 - Student Teaching in the Elementary School,"60-SUP
Regular",See Class Note Mtg Location,In Person,TBA
21708,"EDEL 450 - Visual and Performing Arts Methods: Art, Dance, Drama and Music","08-SEM
Mini 1",EC 127 - Lecture Room,In Person,Mo 1:00PM - 3:45PM
21704,EDEL 515 - Technology and Problem Solving in Schools,"50-SEM
Special",Online,Fully Online,TBA
21705,EDEL 518A - Issues in the Instructional Design of Software for use in Schools,"51-SEM
Special",Online,Fully Online,TBA
21706,EDEL 518A - Issues in the Instructional Design of Software for use in Schools,"52-SEM
Special",Online,Fully Online,TBA
21915,EDEL 518B - Multimedia Development and Instruction in the Classroom,"51-SEM
Special",Online,Fully Online,TBA
21916,EDEL 518B - Multimedia Development and Instruction in the Classroom,"52-SEM
Special",Online,Fully Online,TBA
21707,EDEL 523 - Distance Education Issues and Trends in Schools,"50-SEM
Special",Online,Fully Online,TBA
21917,EDEL 529 - Graduate Studies: Learning Theory for Classroom Use,"51-SEM
Regular",Online,Fully Online,TBA
21918,EDEL 529 - Graduate Studies: Learning Theory for Classroom Use,"52-SEM
Regular",Online,Fully Online,TBA
21693,EDEL 590 - Technology Professional Development in Schools,"55-SEM
Regular",Online,Fully Online,TBA
21692,EDEL 594 - Culminating Project,"55-SEM
Regular",Online,Fully Online,TBA
