Class ID,Class Name,Section,Room,Instruction Type,Time
21293,ENGL 101 - Beginning College Writing,"1A-DIS
Regular",GH 336 - Lecture Room,In Person,MoWeFr 8:00AM - 8:50AM
16844,ENGL 101 - Beginning College Writing,"20-DIS
Regular",CP 130 - Lecture Room,In Person,MoWeFr 12:00PM - 12:50PM
16686,ENGL 101 - Beginning College Writing,"27-DIS
Regular",LH 301 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
17369,ENGL 101 - Beginning College Writing,"45-DIS
Regular",Hum 415 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
17374,ENGL 101 - Beginning College Writing,"50-DIS
Regular",MH 465 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
17627,ENGL 101 - Beginning College Writing,"79-DIS
Regular",GH 203 - Seminar,In Person,TuTh 1:00PM - 2:15PM
17633,ENGL 101 - Beginning College Writing,"85-DIS
Regular",GH 207 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
20111,ENGL 101 - Beginning College Writing,"97-DIS
Regular",GH 240 - Seminar,In Person,TuTh 4:00PM - 5:15PM
17602,ENGL 101P - Preparatory College Writing,"06-LEC
Regular",GH 203 - Seminar,In Person,MoWeFr 8:00AM - 8:50AM
17603,ENGL 101P - Preparatory College Writing,"07-LEC
Regular",Hum 124 - Lecture Room,In Person,MoWeFr 9:00AM - 9:50AM
17607,ENGL 101P - Preparatory College Writing,"11-LEC
Regular",Hum 124 - Lecture Room,In Person,MoWeFr 10:00AM - 10:50AM
17608,ENGL 101P - Preparatory College Writing,"12-LEC
Regular",Hum 415 - Lecture Room,In Person,MoWeFr 10:00AM - 10:50AM
20053,ENGL 101P - Preparatory College Writing,"16-LEC
Regular",Hum 415 - Lecture Room,In Person,MoWeFr 11:00AM - 11:50AM
20056,ENGL 101P - Preparatory College Writing,"19-LEC
Regular",Hum 415 - Lecture Room,In Person,MoWeFr 12:00PM - 12:50PM
20060,ENGL 101P - Preparatory College Writing,"23-LEC
Regular",Hum 513 - Lecture Room,In Person,MoWeFr 1:00PM - 1:50PM
20064,ENGL 101P - Preparatory College Writing,"27-LEC
Regular",GH 239 - Seminar,In Person,MoWe 10:00AM - 11:15AM
20073,ENGL 101P - Preparatory College Writing,"36-LEC
Regular",GH 239 - Seminar,In Person,MoWe 2:30PM - 3:45PM
20076,ENGL 101P - Preparatory College Writing,"39-LEC
Regular",Hum 124 - Lecture Room,In Person,TuTh 8:30AM - 9:45AM
20080,ENGL 101P - Preparatory College Writing,"43-LEC
Regular",Hum 124 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
20086,ENGL 101P - Preparatory College Writing,"49-LEC
Regular",Hum 530 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
20088,ENGL 101P - Preparatory College Writing,"51-LEC
Regular",Hum 124 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
20090,ENGL 101P - Preparatory College Writing,"53-LEC
Regular",GH 239 - Seminar,In Person,TuTh 1:00PM - 2:15PM
20092,ENGL 101P - Preparatory College Writing,"55-LEC
Regular",Hum 124 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
20094,ENGL 101P - Preparatory College Writing,"57-LEC
Regular",GH 239 - Seminar,In Person,TuTh 2:30PM - 3:45PM
20151,ENGL 200 - Literature and Popular Culture,"01-LEC
Regular",LH 404 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
20152,ENGL 200 - Literature and Popular Culture,"02-LEC
Regular",GH 339 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
20164,ENGL 206 - Introduction to Language Structure and Language Use,"01-LEC
Regular",GH 208 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15790,ENGL 222 - American Literature from 1865,"01-LEC
Regular",MH 552 - Lecture Room,In Person,MoWe 8:30AM - 9:45AM
17052,ENGL 300 - Analysis of Literary Forms,"01-LEC
Regular",LH 404 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
