Class ID,Class Name,Section,Room,Instruction Type,Time
15496,GSS 100 - Introduction to Gender Studies in the Humanities,"01-LEC
Regular",EC 034 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
15735,GSS 100 - Introduction to Gender Studies in the Humanities,"02-LEC
Regular",EC 034 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16250,GSS 100 - Introduction to Gender Studies in the Humanities,"04-LEC
Regular",EC 034 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16577,GSS 100 - Introduction to Gender Studies in the Humanities,"05-LEC
Regular",MOD 106 - Modular,In Person,TuTh 2:30PM - 3:45PM
16725,GSS 100 - Introduction to Gender Studies in the Humanities,"06-LEC
Regular",MH 663 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15497,GSS 100 - Introduction to Gender Studies in the Humanities,"50-LEC
Regular",Online,Fully Online,TBA
15498,GSS 100 - Introduction to Gender Studies in the Humanities,"51-LEC
Regular",Online,Fully Online,TBA
16098,GSS 100 - Introduction to Gender Studies in the Humanities,"52-LEC
Regular",Online,Fully Online,TBA
15687,GSS 105 - Introduction to Queer Studies,"01-LEC
Regular",EC 034 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15499,GSS 205 - Gender and Globalization,"01-DIS
Regular",CPAC 148 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
15500,GSS 205 - Gender and Globalization,"02-DIS
Regular",GH 335 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15501,GSS 205 - Gender and Globalization,"50-DIS
Regular",Online,Fully Online,TBA
15610,GSS 205 - Gender and Globalization,"51-DIS
Regular",Online,Fully Online,TBA
16099,GSS 205 - Gender and Globalization,"52-DIS
Regular",Online,Fully Online,TBA
15611,GSS 302 - Gender and Sexuality Studies,"01-DIS
Regular",Hum 226 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
19866,GSS 302 - Gender and Sexuality Studies,"02-DIS
Regular",EC 034 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
19868,GSS 302 - Gender and Sexuality Studies,"03-DIS
Regular",EC 034 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
19881,GSS 302 - Gender and Sexuality Studies,"04-DIS
Regular",MH 663 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15688,GSS 302 - Gender and Sexuality Studies,"50-DIS
Regular",Online,Fully Online,TBA
15751,GSS 302 - Gender and Sexuality Studies,"51-DIS
Regular",Online,Fully Online,TBA
16116,GSS 302 - Gender and Sexuality Studies,"52-DIS
Regular",Online,Fully Online,TBA
15926,"GSS 320 - Digital Culture, Gender and Sexuality","01-SEM
Regular",MH 663 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
16578,"GSS 320 - Digital Culture, Gender and Sexuality","02-SEM
Regular",EC 034 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16724,"GSS 320 - Digital Culture, Gender and Sexuality","50-SEM
Regular",Online,Fully Online,TBA
19878,"GSS 350 - Research, Methodology, and Writing","01-SEM
Regular",MOD 108 - Modular,In Person,TuTh 2:30PM - 3:45PM
15927,GSS 360 - Politics of Sexuality,"01-LEC
Regular",Hum 521 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
19879,GSS 360 - Politics of Sexuality,"50-LEC
Regular",Online,Fully Online,TBA
20663,GSS 430 - Women and Crime,"01-DIS
Regular",Hum 516 - Lecture Room,In Person,Mo 7:00PM - 9:45PM
20664,GSS 430 - Women and Crime,"50-DIS
Regular","LH 401 - Lecture Room
Online",Mostly In-Person (Hybrid),"Mo 1:00PM - 2:15PM
TBA"
20665,GSS 430 - Women and Crime,"51-DIS
Regular","LH 401 - Lecture Room
Online",Mostly In-Person (Hybrid),"We 1:00PM - 2:15PM
TBA"
15675,GSS 480 - Feminist Theories,"01-DIS
Regular",EC 167 - Lecture Room,In Person,Th 4:00PM - 6:45PM
15542,GSS 495 - Internship and Community Service,"01-SUP
Regular",TBA,In Person,TBA
15543,GSS 495 - Internship and Community Service,"02-SUP
Regular",TBA,In Person,TBA
15544,GSS 495 - Internship and Community Service,"03-SUP
Regular",TBA,In Person,TBA
15928,GSS 495 - Internship and Community Service,"04-SUP
Regular",TBA,In Person,TBA
15929,GSS 495 - Internship and Community Service,"05-SUP
Regular",TBA,In Person,TBA
16251,GSS 495 - Internship and Community Service,"07-SUP
Regular",TBA,In Person,TBA
15568,GSS 499 - Independent Study,"01-SUP
Regular",TBA,In Person,TBA
15569,GSS 499 - Independent Study,"02-SUP
Regular",TBA,In Person,TBA
15570,GSS 499 - Independent Study,"03-SUP
Regular",TBA,In Person,TBA
15931,GSS 499 - Independent Study,"04-SUP
Regular",TBA,In Person,TBA
15932,GSS 499 - Independent Study,"05-SUP
Regular",TBA,In Person,TBA
16252,GSS 499 - Independent Study,"07-SUP
Regular",TBA,In Person,TBA
