Class ID,Class Name,Section,Room,Instruction Type,Time
14989,GEOG 100 - Global Geography,"50-LEC
Regular",Online,Fully Online,TBA
15745,GEOG 100 - Global Geography,"51-LEC
Regular",Online,Fully Online,TBA
15391,GEOG 110 - Intro to Natural Environment,"01-LEC
Regular",Hum 412 - Lecture Room,In Person,MoWe 2:30PM - 3:45PM
16052,GEOG 110 - Intro to Natural Environment,"02-LEC
Regular",Hum 412 - Lecture Room,In Person,MoWe 10:00AM - 11:15AM
16053,GEOG 110 - Intro to Natural Environment,"04-LEC
Regular",Hum 412 - Lecture Room,In Person,TuTh 11:30AM - 12:45PM
16137,GEOG 110 - Intro to Natural Environment,"05-LEC
Regular",Hum 412 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
16826,GEOG 110 - Intro to Natural Environment,"50-LEC
Regular",Online,Fully Online,TBA
16827,GEOG 110 - Intro to Natural Environment,"51-LEC
Regular",Online,Fully Online,TBA
16200,GEOG 110 - Intro to Natural Environment,"52-LEC
Regular",Online,Fully Online,TBA
15890,GEOG 110 - Intro to Natural Environment,"53-LEC
Regular",Online,Fully Online,TBA
16566,GEOG 110 - Intro to Natural Environment,"54-LEC
Regular",Online,Fully Online,TBA
16104,GEOG 110L - Introduction to the Natural Environment: Laboratory,"01-LAB
Special",Hum 422 - Geography Lab,Mostly Online w/ In-Person Mtg,Fr 9:00AM - 11:45AM
16568,GEOG 110L - Introduction to the Natural Environment: Laboratory,"02-LAB
Regular",Online,Fully Online,TBA
16120,GEOG 120 - Global Environmental Problems,"01-LEC
Regular",Hum 409 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
19861,GEOG 120 - Global Environmental Problems,"02-LEC
Regular",Hum 409 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
16325,GEOG 160 - Human Geography,"01-LEC
Regular",Hum 409 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
15723,GEOG 180 - Digital Earth: Introduction to Geospatial Technologies,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,MoWe 10:00AM - 11:15AM
21153,GEOG 183 - Welcome to Geography: Mapping the First Year,"02-LEC
Regular",H 419 - Remote Sensing Lab,In Person,Th 4:00PM - 6:45PM
15939,GEOG 281 - Map Making with Geographic Information Systems,"50-DIS
Regular",Online,Fully Online,TBA
15960,GEOG 281 - Map Making with Geographic Information Systems,"51-ACT
Regular",Online,Fully Online,TBA
19863,GEOG 283 - Introduction to Spatial Data,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,MoWe 2:30PM - 3:45PM
15701,GEOG 311 - Weather and Climate,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,MoWe 11:30AM - 12:45PM
16326,GEOG 321 - Nature and Society,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,TuTh 10:00AM - 11:15AM
15505,GEOG 329 - Cities and Nature,"01-DIS
Regular",Hum 412 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
19882,GEOG 329 - Cities and Nature,"02-DIS
Regular",Hum 412 - Lecture Room,In Person,MoWe 11:30AM - 12:45PM
15595,GEOG 329 - Cities and Nature,"03-DIS
Regular",Hum 412 - Lecture Room,In Person,TuTh 10:00AM - 11:15AM
15746,GEOG 329 - Cities and Nature,"04-DIS
Regular",Hum 412 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
15891,GEOG 329 - Cities and Nature,"50-DIS
Regular",Online,Fully Online,TBA
15892,GEOG 329 - Cities and Nature,"51-DIS
Regular",Online,Fully Online,TBA
15893,GEOG 329 - Cities and Nature,"52-DIS
Regular",Online,Fully Online,TBA
15894,GEOG 329 - Cities and Nature,"53-DIS
Regular",Online,Fully Online,TBA
15895,GEOG 330 - California,"50-LEC
Regular",Online,Fully Online,TBA
15747,GEOG 340 - Asia,"50-LEC
Regular",Online,Fully Online,TBA
19883,GEOG 360 - The Global Economy,"01-LEC
Regular",Hum 422 - Geography Lab,In Person,TuTh 1:00PM - 2:15PM
19884,GEOG 362 - Population Geography,"01-LEC
Regular",Online,Fully Online,TBA
15941,GEOG 371 - The National Parks,"50-LEC
Regular",Online,Fully Online,TBA
16201,GEOG 372 - Geography of Illegal Drugs,"01-LEC
Regular",Hum 409 - Lecture Room,In Person,Tu 4:00PM - 6:45PM
15896,GEOG 373 - Global Cuisines,"50-LEC
Regular",Online,Fully Online,TBA
19885,GEOG 400A - Geographic Thought,"01-DIS
Regular",Hum 409 - Lecture Room,In Person,MoWe 1:00PM - 2:15PM
15801,GEOG 426 - The Coastal Environment,"01-SEM
Regular",Hum 412 - Lecture Room,In Person,Mo 4:00PM - 6:45PM
16202,GEOG 478 - Urban Planning Principles,"01-SEM
Regular",Hum 412 - Lecture Room,In Person,We 7:00PM - 9:45PM
16203,GEOG 481 - Geographic Information Systems: Introduction,"01-DIS
Regular",Hum 422 - Geography Lab,In Person,Tu 7:00PM - 8:15PM
16204,GEOG 481 - Geographic Information Systems: Introduction,"02-LAB
Regular",Hum 422 - Geography Lab,In Person,Tu 8:30PM - 9:45PM
15737,GEOG 485 - Geographic Information Systems: Principles and Applications,"01-ACT
Regular",Hum 422 - Geography Lab,In Person,Th 7:00PM - 9:45PM
15940,GEOG 486 - Environmental Remote Sensing,"01-DIS
Regular",H 419 - Remote Sensing Lab,In Person,Mo 4:00PM - 6:45PM
14991,GEOG 495 - Internship in Applied Geography,"01-SUP
Regular",TBA,In Person,TBA
16055,GEOG 495 - Internship in Applied Geography,"02-SUP
Regular",TBA,In Person,TBA
15839,GEOG 495 - Internship in Applied Geography,"03-SUP
Regular",TBA,In Person,TBA
15811,GEOG 598 - Thesis,"09-SUP
Regular",TBA,In Person,TBA
