Class ID,Class Name,Section,Room,Instruction Type,Time
19740,GEOL 100 - Introduction to Earth Sciences,"01-LEC
Regular",MH 121 - Lecture Room,In Person,TuTh 2:30PM - 3:45PM
18215,GEOL 101 - Introduction to Geology,"02-LEC
Regular",RGC 013 - Auditorium,In Person,MoWe 1:00PM - 2:15PM
17873,GEOL 101 - Introduction to Geology,"03-LEC
Regular",RGC 013 - Auditorium,In Person,MoWe 2:30PM - 3:45PM
17874,GEOL 101 - Introduction to Geology,"04-LEC
Regular",SGMH 1506 - Lecture,In Person,TuTh 2:30PM - 3:45PM
17875,GEOL 101 - Introduction to Geology,"06-LEC
Regular",RGC 013 - Auditorium,In Person,TuTh 8:30AM - 9:45AM
17876,GEOL 101 - Introduction to Geology,"08-LEC
Regular",MH 121 - Lecture Room,In Person,TuTh 1:00PM - 2:15PM
18303,GEOL 101 - Introduction to Geology,"09-LEC
Regular",GH 252 - Lecture Room,In Person,TuTh 4:00PM - 5:15PM
18800,GEOL 101 - Introduction to Geology,"11-LEC
Regular",Online,Fully Online,TBA
18834,GEOL 101 - Introduction to Geology,"50-LEC
Regular",Online,Fully Online,TBA
18978,GEOL 101 - Introduction to Geology,"51-LEC
Regular",Online,Fully Online,TBA
17877,GEOL 101L - Introduction to Geology Laboratory,"01-LAB
Regular",MH 203 - Geology Lab,In Person,Mo 9:00AM - 11:50AM
18250,GEOL 101L - Introduction to Geology Laboratory,"02-LAB
Regular",MH 203 - Geology Lab,In Person,Mo 1:00PM - 3:50PM
17878,GEOL 101L - Introduction to Geology Laboratory,"03-LAB
Regular",MH 203 - Geology Lab,In Person,Mo 5:00PM - 7:50PM
17879,GEOL 101L - Introduction to Geology Laboratory,"04-LAB
Regular",MH201 - Geol Teaching Lab,In Person,Mo 5:00PM - 7:50PM
17880,GEOL 101L - Introduction to Geology Laboratory,"05-LAB
Regular",MH 203 - Geology Lab,In Person,Tu 9:00AM - 11:50AM
17881,GEOL 101L - Introduction to Geology Laboratory,"06-LAB
Regular",MH 203 - Geology Lab,In Person,Tu 1:00PM - 3:50PM
17882,GEOL 101L - Introduction to Geology Laboratory,"07-LAB
Regular",MH 203 - Geology Lab,In Person,Tu 5:00PM - 7:50PM
17883,GEOL 101L - Introduction to Geology Laboratory,"09-LAB
Regular",MH 203 - Geology Lab,In Person,We 9:00AM - 11:50AM
18544,GEOL 101L - Introduction to Geology Laboratory,"11-LAB
Regular",MH 203 - Geology Lab,In Person,We 1:00PM - 3:50PM
17884,GEOL 101L - Introduction to Geology Laboratory,"13-LAB
Regular",MH 203 - Geology Lab,In Person,Th 9:00AM - 11:50AM
17885,GEOL 101L - Introduction to Geology Laboratory,"14-LAB
Regular",MH 203 - Geology Lab,In Person,Th 1:00PM - 3:50PM
17886,GEOL 101L - Introduction to Geology Laboratory,"15-LAB
Regular",MH 203 - Geology Lab,In Person,Th 5:00PM - 7:50PM
